file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,class,1,2,1,1,2,5,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,class,1,2,1,1,4,5,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\VectorDrawableTest.java,brut.androlib.VectorDrawableTest,class,7,8,1,7,2,2,0,4,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,13,0,0,0,0,0,5,0,3,1,3,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,class,5,8,3,5,12,4,0,11,28,0.875,0.0,0.0,8,0,5,1,2,0,7,0,0,0,1,1,0,1,0,0,1,0,6,35,6,0,1,0,0,6,0,1,1,1,1,0,0,0,44,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\LargeCompactResourceTest.java,brut.androlib.LargeCompactResourceTest,class,10,10,0,10,2,2,0,7,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,16,0,0,0,0,0,5,1,6,1,6,0,0,0,0,42,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.xml\src\main\java\brut\xml\XmlUtils.java,brut.xml.XmlUtils$Anonymous1,anonymous,2,2,0,2,4,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,12,3,0,1,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.xml\src\main\java\brut\xmlpull\XmlPullUtils.java,brut.xmlpull.XmlPullUtils$EventHandler,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\res\xml\ResXmlEncodersTest.java,brut.androlib.res.xml.ResXmlEncodersTest,class,8,9,1,8,3,2,0,7,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,17,1,3,1,3,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\arsc\ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,class,3,6,3,3,6,1,0,10,0,0.8717948,0.0,0.0,3,1,3,0,0,0,3,0,0,0,26,21,25,1,0,0,26,0,3,60,2,0,0,1,1,2,24,32,3,32,2,0,0,0,72,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\meta\ApkInfoReaderTest.java,brut.androlib.meta.ApkInfoReaderTest,class,8,9,1,8,7,2,0,31,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0,0,37,20,6,0,6,0,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\CantFindFrameworkResException.java,brut.androlib.exceptions.CantFindFrameworkResException,class,1,3,2,1,3,5,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResFileValue.java,brut.androlib.res.data.value.ResFileValue,class,1,5,4,1,2,3,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResArrayValue.java,brut.androlib.res.data.value.ResArrayValue,class,9,13,4,9,18,3,0,16,0,0.375,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,1,0,2,0,0,2,0,0,60,8,4,2,0,1,18,3,8,2,5,2,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\ReferenceVersionCodeTest.java,brut.androlib.ReferenceVersionCodeTest,class,9,10,1,9,2,2,0,6,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,13,0,0,0,0,0,4,0,4,1,4,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\CantFind9PatchChunkException.java,brut.androlib.exceptions.CantFind9PatchChunkException,class,1,2,1,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResBagValue.java,brut.androlib.res.data.value.ResBagValue,class,13,19,6,13,5,2,4,15,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,27,3,0,0,0,0,7,0,3,0,3,1,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\ARSCDecoder.java,brut.androlib.res.decoder.ARSCDecoder,class,28,31,3,28,112,1,0,97,0,0.8350168,0.0,0.0,22,0,2,20,0,0,2,0,0,0,27,10,0,27,0,0,18,0,18,515,16,9,24,2,23,27,115,183,29,131,3,0,0,0,213,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\meta\DoNotCompressHieroglyphTest.java,brut.androlib.meta.DoNotCompressHieroglyphTest,class,3,3,0,3,1,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,5,3,1,0,1,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\MissingVersionManifestTest.java,brut.androlib.MissingVersionManifestTest,class,9,11,2,9,2,2,0,6,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,13,0,0,0,0,0,3,0,4,1,4,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\AaptInvoker.java,brut.androlib.AaptInvoker,class,9,11,2,9,54,1,0,45,0,0.16666667,0.0,0.0,4,0,2,2,0,0,2,0,0,0,3,1,0,3,0,0,3,0,12,247,1,3,27,4,0,60,10,17,2,11,3,0,0,0,70,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\res\xml\PositionalEnumerationTest.java,brut.androlib.res.xml.PositionalEnumerationTest,class,4,5,1,4,8,2,0,3,28,0.0,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0,0,14,0,0,0,0,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\axml\NamespaceStack.java,brut.androlib.res.data.axml.NamespaceStack,class,2,4,2,2,37,1,0,5,0,0.37777779,0.0,0.0,15,0,12,3,0,0,12,0,0,0,3,0,0,3,0,0,0,0,1,151,21,4,15,0,7,0,70,50,29,23,4,0,0,0,76,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResPluralsValue.java,brut.androlib.res.data.value.ResPluralsValue,class,9,11,2,9,5,3,0,10,0,0.33333334,0.0,0.0,2,0,1,0,0,1,2,0,0,0,3,2,0,3,0,0,3,0,1,27,0,2,1,0,0,12,3,6,1,5,2,0,0,0,41,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\ExtFile.java,brut.directory.ExtFile,class,4,52,48,4,12,2,0,5,26,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,43,2,0,2,1,0,0,0,3,0,1,2,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResFlagsAttr.java,brut.androlib.res.data.value.ResFlagsAttr,class,12,14,2,12,32,4,0,29,2,0.6,0.0,0.0,5,0,1,2,1,1,3,0,0,0,4,1,0,4,0,0,2,0,10,113,7,7,14,0,5,8,16,35,0,24,4,0,0,2,55,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStyleValue.java,brut.androlib.res.data.value.ResStyleValue,class,14,17,3,14,14,3,0,31,0,0.25,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,1,0,2,0,0,2,0,2,62,0,2,4,0,0,11,2,16,1,12,2,0,0,0,42,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.util\src\main\java\brut\util\ExtDataInput.java,brut.util.ExtDataInput,interface,2,8,6,2,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ninepatch\OpticalInset.java,brut.androlib.res.data.ninepatch.OpticalInset,class,2,4,2,2,2,1,0,2,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,4,16,1,0,0,0,0,0,0,8,0,8,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\AXmlDecodingException.java,brut.androlib.exceptions.AXmlDecodingException,class,1,3,2,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\AndrolibException.java,brut.androlib.exceptions.AndrolibException,class,1,33,32,1,4,4,7,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResValueFactory.java,brut.androlib.res.data.value.ResValueFactory,class,22,28,6,22,32,1,0,6,9,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,2,78,23,0,4,0,0,6,3,3,2,3,2,0,0,0,38,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\ApkBuilder.java,brut.androlib.ApkBuilder,class,18,42,24,18,105,1,0,94,0,0.64285713,0.0,0.0,18,0,2,16,0,0,2,0,0,0,7,1,0,7,0,0,4,0,39,408,18,9,17,14,2,70,13,59,13,52,5,0,0,1,136,1,18
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\AbstractDirectory.java,brut.directory.AbstractDirectory$SubPath,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,10,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\BuildAndDecodeJarTest.java,brut.androlib.BuildAndDecodeJarTest,class,8,9,1,8,2,2,0,6,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,7,0,3,0,1,0,0,0,0,22,1,3
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathNotExist.java,brut.directory.PathNotExist,class,1,3,2,1,4,5,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ResPackage.java,brut.androlib.res.data.ResPackage,class,16,30,14,16,35,1,0,30,96,0.8388889,0.0,0.0,20,0,19,0,0,1,20,0,0,0,9,1,0,9,0,0,8,0,3,131,18,4,8,0,0,5,0,21,4,19,4,0,0,0,66,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\SparseFlagTest.java,brut.androlib.SparseFlagTest,class,10,11,1,10,3,2,0,8,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,14,0,6,2,6,0,0,0,0,29,1,5
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.yaml\src\main\java\brut\yaml\YamlReader.java,brut.yaml.YamlReader$Updater,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\arsc\FlagItem.java,brut.androlib.res.data.arsc.FlagItem,class,3,4,1,3,4,1,0,5,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,2,0,1,18,2,0,1,0,0,1,0,3,0,3,2,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\res\decoder\StringBlockWithSurrogatePairInUtf8Test.java,brut.androlib.res.decoder.StringBlockWithSurrogatePairInUtf8Test,class,4,4,0,4,5,2,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,17,50,16,0,16,0,0,0,0,49,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\Config.java,brut.androlib.Config$DecodeSources,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResEnumAttr.java,brut.androlib.res.data.value.ResEnumAttr,class,11,13,2,11,15,4,0,21,0,0.5,0.0,0.0,4,0,1,1,1,1,3,0,0,0,3,1,0,3,0,0,3,0,4,52,3,2,7,0,1,6,0,12,0,10,3,0,0,0,41,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\xml\ResXmlUtils.java,brut.androlib.res.xml.ResXmlUtils,class,7,10,3,7,55,1,0,36,78,1.0,0.0,0.0,13,12,10,3,0,0,10,0,0,0,1,1,0,1,0,0,1,0,28,241,9,4,10,9,0,48,10,81,1,54,3,0,0,0,172,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.util\src\main\java\brut\util\OSDetection.java,brut.util.OSDetection,class,1,7,6,1,7,1,0,7,3,0.5833333,0.0,0.0,6,5,5,1,0,0,5,0,0,0,2,2,0,2,0,0,2,0,5,26,6,0,2,0,0,13,0,4,0,4,1,0,0,0,18,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\DexStaticFieldValueTest.java,brut.androlib.DexStaticFieldValueTest,class,9,10,1,9,2,2,0,9,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,24,0,6,1,4,0,0,0,0,41,1,3
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.xml\src\main\java\brut\xmlpull\XmlPullUtils.java,brut.xmlpull.XmlPullUtils,class,4,7,3,4,25,1,0,33,6,0.75,0.0,0.0,4,3,2,2,0,0,2,0,0,0,1,1,0,1,0,0,1,0,4,88,2,3,6,0,0,2,3,12,2,12,4,0,1,0,64,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\SkipAssetTest.java,brut.androlib.SkipAssetTest,class,8,9,1,8,3,2,0,7,1,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,24,0,0,0,0,0,8,0,5,2,5,0,0,0,0,31,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\meta\SdkInfo.java,brut.androlib.meta.SdkInfo,class,5,15,10,5,40,1,0,11,0,0.46153846,0.0,0.0,13,1,13,0,0,0,13,0,0,0,3,0,0,3,0,0,0,0,7,106,19,0,8,0,0,22,1,13,0,7,1,0,0,0,31,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\meta\YamlLineTest.java,brut.androlib.meta.YamlLineTest,class,3,3,0,3,4,2,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,39,14,15,0,4,0,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.yaml\src\main\java\brut\yaml\YamlStringEscapeUtils.java,brut.yaml.YamlStringEscapeUtils,class,1,4,3,1,25,1,0,9,10,0.0,0.0,0.0,5,4,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,90,5,1,4,1,0,6,10,4,6,4,4,0,0,0,69,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ResID.java,brut.androlib.res.data.ResID,class,1,8,7,1,14,2,0,3,0,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,1,0,0,1,0,0,1,0,3,46,13,0,2,0,2,1,5,2,2,2,1,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResIntBasedValue.java,brut.androlib.res.data.value.ResIntBasedValue,class,1,8,7,1,2,2,2,0,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-cli\src\main\java\brut\apktool\Main.java,brut.apktool.Main$Verbosity,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ResType.java,brut.androlib.res.data.ResType,class,6,12,6,6,9,1,0,6,3,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,30,3,0,2,0,0,2,0,4,0,4,1,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\mod\SmaliMod.java,brut.androlib.mod.SmaliMod,class,8,9,1,8,8,1,0,17,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,2,1,0,1,4,10,1,10,4,0,0,0,38,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\DirUtils.java,brut.directory.DirUtils,class,5,8,3,5,21,1,0,26,36,0.8888889,0.0,0.0,9,8,8,1,0,0,8,0,0,0,1,1,0,1,0,0,1,0,15,72,0,4,0,2,0,5,0,4,2,3,3,0,0,0,28,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StyledString.java,brut.androlib.res.decoder.StyledString$Span,innerclass,2,2,0,2,12,1,0,11,0,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,1,0,4,0,0,4,0,2,39,8,0,4,0,0,1,8,8,2,7,1,0,0,0,32,9,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.xml\src\main\java\brut\xml\XmlUtils.java,brut.xml.XmlUtils,class,6,10,4,6,15,1,0,27,36,0.8888889,0.0,0.0,9,8,7,2,0,0,7,0,0,0,3,3,0,3,0,0,3,0,12,92,7,0,5,4,0,11,0,19,1,15,1,1,0,0,81,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-cli\src\main\java\brut\apktool\Main.java,brut.apktool.Main$Anonymous1,anonymous,0,0,0,0,8,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2,1,0,0,0,2,0,2,2,1,0,0,18,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\ApktoolProperties.java,brut.androlib.ApktoolProperties,class,2,7,5,2,12,4,0,13,15,0.8333333,0.0,0.0,6,5,3,3,0,0,3,0,0,0,2,2,0,2,0,0,1,0,7,53,4,0,2,1,0,17,0,8,2,7,2,0,0,0,39,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ResTable.java,brut.androlib.res.data.ResTable,class,19,31,12,19,57,1,0,57,120,0.8148148,0.0,0.0,21,0,15,6,0,0,15,0,0,0,9,1,0,9,0,0,8,0,4,222,19,7,14,1,2,18,25,52,11,40,3,0,0,0,96,1,2
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StyledString.java,brut.androlib.res.decoder.StyledString$Decoder,innerclass,5,5,0,5,14,1,0,24,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,5,52,2,3,2,0,0,5,3,11,3,9,2,0,0,0,25,10,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\meta\InvalidSdkBoundingTest.java,brut.androlib.meta.InvalidSdkBoundingTest,class,3,3,0,3,7,2,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,18,0,7,0,7,0,0,0,0,26,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\UnknownCompressionTest.java,brut.androlib.UnknownCompressionTest,class,10,11,1,10,5,2,0,12,10,0.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0,0,10,4,15,2,13,0,0,0,0,39,1,2
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResDimenValue.java,brut.androlib.res.data.value.ResDimenValue,class,2,3,1,2,2,5,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StyledString.java,brut.androlib.res.decoder.StyledString,class,3,6,3,3,4,1,0,3,2,0.6666667,0.0,0.0,4,0,2,0,0,2,4,0,0,0,3,1,0,3,0,0,3,0,1,109,3,0,0,0,0,0,0,3,0,3,0,0,2,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\DecodeResourcesTest.java,brut.androlib.DecodeResourcesTest,class,9,10,1,9,4,2,0,10,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,5,34,0,0,0,0,0,11,9,8,3,8,0,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.util\src\main\java\brut\util\BackgroundWorker.java,brut.util.BackgroundWorker,class,2,5,3,2,11,1,0,8,0,0.41666666,0.0,0.0,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,2,0,1,49,2,1,0,1,0,1,0,7,0,4,2,0,0,0,32,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResAttr.java,brut.androlib.res.data.value.ResAttr,class,14,20,6,14,36,3,2,18,11,0.8055555,0.0,0.0,6,1,3,0,2,1,6,0,0,0,18,14,0,18,0,0,18,0,0,122,6,2,15,0,8,17,30,36,1,32,2,0,0,0,91,1,0
