file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\test\java\org\axonframework\eventhandling\processors\streaming\segmenting\SequenceCachingEventHandlingComponentTest.java,org.axonframework.eventhandling.processors.streaming.segmenting.SequenceCachingEventHandlingComponentTest$ComplexScenariosTest,innerclass,6,6,0,6,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,6,3,7,0,7,0,0,0,0,26,0,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\integrationtests\src\test\java\org\axonframework\integrationtests\polymorphic\CommonCommand.java,org.axonframework.integrationtests.polymorphic.CommonCommand,class,1,3,2,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\test\src\main\java\org\axonframework\test\matchers\ListMatcher.java,org.axonframework.test.matchers.ListMatcher,class,5,10,5,5,18,2,0,13,33,0.7,0.0,0.0,10,0,2,0,8,0,10,2,0,0,2,0,0,2,0,0,2,0,1,57,6,2,2,0,0,12,5,4,2,4,2,0,0,0,115,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\eventsourcing\src\test\java\org\axonframework\eventsourcing\SpawningNewAggregateTest.java,org.axonframework.eventsourcing.SpawningNewAggregateTest,class,26,27,1,26,8,1,0,28,10,0.625,0.0,0.0,8,0,0,4,0,4,4,0,0,0,6,0,0,6,0,0,0,0,0,78,0,0,0,0,0,17,5,12,0,18,0,0,2,2,64,0,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\eventsourcing\src\test\java\org\axonframework\eventsourcing\AbstractAggregateFactoryTest.java,org.axonframework.eventsourcing.AbstractAggregateFactoryTest$LeafOneAggregate,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\test\java\org\axonframework\eventhandling\AbstractEventBusTest.java,org.axonframework.eventhandling.AbstractEventBusTest$StubNumberedEvent,innerclass,3,3,0,3,7,2,0,4,6,0.75,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,1,0,1,0,0,1,0,2,22,5,0,3,0,0,3,0,2,1,2,1,0,0,0,25,10,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\main\java\org\axonframework\common\stream\StreamUtils.java,org.axonframework.common.stream.StreamUtils,class,2,3,1,2,2,1,0,2,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,53,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\test\java\org\axonframework\messaging\ClassBasedMessageTypeResolverTest.java,org.axonframework.messaging.ClassBasedMessageTypeResolverTest$Resolve,innerclass,7,7,0,7,5,1,0,5,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,6,2,19,0,19,0,0,0,0,43,0,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\main\java\org\axonframework\eventhandling\GenericDomainEventMessage.java,org.axonframework.eventhandling.GenericDomainEventMessage,class,7,12,5,7,16,3,1,16,0,0.33333334,0.0,0.0,12,0,10,0,2,0,12,0,0,0,3,0,0,3,0,0,3,0,0,54,8,0,1,0,0,4,0,6,0,3,1,0,0,0,80,1,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\eventsourcing\src\main\java\org\axonframework\eventsourcing\eventstore\AbstractLegacyEventStore.java,org.axonframework.eventsourcing.eventstore.AbstractLegacyEventStore$Builder,innerclass,5,5,0,5,3,2,0,3,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,16,2,0,0,0,0,2,0,1,0,1,0,0,0,0,65,1033,0
D:\laboratorio-02-repositorios-java\.\repositories\AxonFramework\messaging\src\main\java\org\axonframework\common\property\MethodAccessedProperty.java,org.axonframework.common.property.MethodAccessedProperty,class,5,6,1,5,4,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,3,19,1,0,0,1,0,4,0,2,1,2,1,0,0,0,51,1,0
