file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\foundation\mixin\client\GameRendererMixin.java,com.simibubi.create.foundation.mixin.client.GameRendererMixin,class,5,5,0,5,1,1,0,2,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\contraptions\piston\LinearActuatorBlockEntity.java,com.simibubi.create.content.contraptions.piston.LinearActuatorBlockEntity,class,18,24,6,18,97,2,2,60,359,0.8556149,0.0,0.0,34,0,17,0,17,0,34,7,0,0,11,0,5,0,6,0,0,0,8,263,31,0,20,1,3,12,29,56,14,25,4,0,0,1,123,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\api\boiler\BoilerHeater.java,com.simibubi.create.api.boiler.BoilerHeater,interface,6,7,1,6,3,1,0,3,0,0.6,0.0,0.0,2,1,0,0,0,2,2,0,0,0,5,0,0,0,0,5,0,0,1,12,1,0,1,0,0,0,2,6,0,6,0,0,0,0,100,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\kinetics\simpleRelays\AbstractSimpleShaftBlock.java,com.simibubi.create.content.kinetics.simpleRelays.AbstractSimpleShaftBlock,class,14,18,4,14,12,3,2,12,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,26,6,0,4,0,1,0,0,3,0,4,1,0,0,1,57,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\foundation\data\recipe\CreateStandardRecipeGen.java,com.simibubi.create.foundation.data.recipe.CreateStandardRecipeGen,class,23,27,4,23,33,2,0,88,364,0.99909586,0.0,0.0,28,0,12,2,2,12,27,0,0,0,18,0,0,8,0,10,1,0,0,288,22,3,1,0,2,374,66,258,10,439,1,0,2,228,118,17,1
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\decoration\TrainTrapdoorBlock.java,com.simibubi.create.content.decoration.TrainTrapdoorBlock,class,15,17,2,15,21,2,0,13,21,0.0,0.0,0.0,7,3,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,37,10,0,10,0,2,2,1,6,0,3,1,0,0,0,57,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\logistics\item\filter\attribute\attributes\ShulkerFillLevelAttribute.java,com.simibubi.create.content.logistics.item.filter.attribute.attributes.ShulkerFillLevelAttribute,class,7,10,3,7,11,1,0,7,1,0.2857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,70,4,0,3,0,0,7,0,4,1,2,1,0,2,0,55,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\kinetics\press\BeltPressingCallbacks.java,com.simibubi.create.content.kinetics.press.BeltPressingCallbacks,class,6,6,0,6,14,1,0,21,1,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,40,10,0,4,0,0,0,7,9,1,7,2,0,0,1,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\kinetics\mixer\MixerVisual.java,com.simibubi.create.content.kinetics.mixer.MixerVisual,class,9,10,1,9,8,2,0,25,0,0.45833334,0.0,0.0,8,0,4,3,1,0,5,0,0,0,3,0,0,3,0,0,3,0,0,43,0,0,0,0,0,0,5,5,1,5,0,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Create\src\main\java\com\simibubi\create\content\kinetics\transmission\sequencer\Instruction.java,com.simibubi.create.content.kinetics.transmission.sequencer.Instruction,class,6,10,4,6,29,1,0,16,0,0.44444442,0.0,0.0,12,4,6,0,0,6,12,0,0,0,3,0,0,0,0,3,0,0,4,98,18,0,1,0,0,6,11,15,5,13,1,0,0,2,38,1,0
