file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,interface,1,3,2,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,class,14,24,10,14,24,1,0,44,0,0.6111111,0.0,0.0,6,5,4,1,0,1,6,0,0,0,9,9,4,5,0,0,8,0,28,97,16,0,2,0,2,28,0,18,7,20,3,0,0,4,82,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\Accounts.java,org.jackhuang.hmcl.setting.Accounts$Anonymous1,anonymous,5,5,0,5,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,1,2,0,0,0,0,0,0,0,0,3,0,0,0,9,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\download\java\JavaPackageType.java,org.jackhuang.hmcl.download.java.JavaPackageType,enum,1,6,5,1,7,1,0,0,0,0.25,0.0,0.0,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,17,4,0,0,0,0,0,0,2,0,2,1,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\util\platform\NativeUtils.java,org.jackhuang.hmcl.util.platform.NativeUtils,class,4,7,3,4,15,1,0,11,6,0.75,0.0,0.0,4,3,2,2,0,0,2,0,0,0,1,1,1,0,0,0,1,0,5,42,9,0,2,2,0,9,0,3,2,3,4,0,0,0,30,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\main\JavaDownloadDialog.java,org.jackhuang.hmcl.ui.main.JavaDownloadDialog$DiscoJavaVersionList$Status,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\game\LoggingInfo.java,org.jackhuang.hmcl.game.LoggingInfo,class,5,9,4,5,10,1,0,2,0,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,2,33,3,0,0,0,0,7,0,3,0,3,1,0,0,0,19,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\util\platform\windows\WinTypes.java,org.jackhuang.hmcl.util.platform.windows.WinTypes$PROCESSOR_RELATIONSHIP,innerclass,4,4,0,4,5,2,0,3,6,0.9,0.0,0.0,4,0,3,0,1,0,4,0,0,0,5,0,5,0,0,0,0,0,1,22,1,0,1,0,0,6,2,3,0,5,1,0,0,0,34,16,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\buildSrc\src\main\java\org\jackhuang\hmcl\gradle\javafx\JavaFXUtils.java,org.jackhuang.hmcl.gradle.javafx.JavaFXUtils,class,10,11,1,10,26,1,0,55,0,0.25,NaN,NaN,4,4,1,3,0,0,1,0,0,0,1,1,1,0,0,0,1,0,8,104,3,3,2,4,0,38,2,24,5,28,4,0,0,7,75,17,2
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngChunkProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngChunkProcessor,interface,8,12,4,8,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\util\PngContainerBuilder.java,org.jackhuang.hmcl.ui.image.apng.util.PngContainerBuilder,class,2,3,1,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\download\neoforge\NeoForgeOldInstallTask.java,org.jackhuang.hmcl.download.neoforge.NeoForgeOldInstallTask$ProcessorTask,innerclass,14,14,0,14,19,2,0,37,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,18,82,1,4,4,3,1,14,2,25,6,21,3,0,0,0,63,2,2
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\test\java\org\jackhuang\hmcl\util\i18n\LocaleUtilsTest.java,org.jackhuang.hmcl.util.i18n.LocaleUtilsTest,class,3,4,1,3,5,1,0,32,10,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,172,110,0,0,0,1,0,314,0,4,0,4,1,0,0,0,35,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\util\Lazy.java,org.jackhuang.hmcl.util.Lazy,class,1,5,4,1,3,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,14,1,0,1,0,0,0,0,4,0,2,1,0,0,0,12,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\download\forge\ForgeInstallProfile.java,org.jackhuang.hmcl.download.forge.ForgeInstallProfile,class,6,7,1,6,6,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,18,2,0,2,0,0,4,0,2,0,2,1,0,0,0,17,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\Settings.java,org.jackhuang.hmcl.setting.Settings,class,10,14,4,10,9,1,0,20,8,0.6,0.0,0.0,5,3,3,1,0,1,4,0,0,0,1,1,0,1,0,0,0,0,11,43,7,0,1,0,0,1,0,1,0,1,2,0,0,1,17,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\test\java\org\jackhuang\hmcl\util\StringUtilsTest.java,org.jackhuang.hmcl.util.StringUtilsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,32,0,0,0,0,0,0,0,0,13,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\game\GameRepository.java,org.jackhuang.hmcl.game.GameRepository,interface,10,24,14,10,30,1,0,13,325,0.0,0.0,0.0,26,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,3,45,6,1,0,0,0,0,0,2,0,2,3,0,0,0,175,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\test\java\org\jackhuang\hmcl\util\tree\ZipFileTreeTest.java,org.jackhuang.hmcl.util.tree.ZipFileTreeTest,class,6,7,1,6,4,1,0,16,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,33,1,0,0,5,0,9,2,8,2,8,2,0,0,0,35,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\util\url\data\DataURLHandle.java,org.jackhuang.hmcl.util.url.data.DataURLHandle,class,2,3,1,2,3,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,1,0,1,0,1,1,1,2,0,0,0,23,17,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\download\forge\ForgeOldInstallTask.java,org.jackhuang.hmcl.download.forge.ForgeOldInstallTask,class,8,9,1,8,6,2,0,22,2,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,5,0,0,5,0,0,5,0,3,39,2,0,1,2,0,3,1,13,0,13,2,0,0,0,45,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\buildSrc\src\main\java\org\jackhuang\hmcl\gradle\mod\ParseModDataTask.java,org.jackhuang.hmcl.gradle.mod.ParseModDataTask$ModData$Name,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,25,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\account\AccountListItem.java,org.jackhuang.hmcl.ui.account.AccountListItem,class,28,31,3,28,31,2,0,52,24,0.64102566,0.0,0.0,13,0,12,0,1,0,13,0,0,0,3,0,0,3,0,0,3,0,9,131,15,0,2,3,1,22,0,15,5,16,3,0,0,6,82,1,1
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\mod\curse\CurseForgeRemoteModRepository.java,org.jackhuang.hmcl.mod.curse.CurseForgeRemoteModRepository$FingerprintMatch,innerclass,1,1,0,1,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,10,0
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCLCore\src\main\java\org\jackhuang\hmcl\util\platform\windows\Advapi32.java,org.jackhuang.hmcl.util.platform.windows.Advapi32,interface,7,9,2,7,6,1,0,2,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,43,1,0
