file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,resizePanel/0,false,116,0,2,2,0,1,5,11,0,2,0,5,0,0,0,0,0,7,0,14,2,7,0,0,0,0,9,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,setAutoMatch/0,false,141,0,2,1,1,1,5,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,handleComboBoxAction/1[java.awt.event.ActionEvent],false,171,2,3,1,2,6,10,15,0,1,1,10,1,1,0,2,0,0,0,0,2,0,3,0,0,0,19,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,handleKeyEvents/1[java.awt.event.KeyEvent],false,191,1,2,1,1,6,8,18,0,1,1,8,1,2,0,3,0,0,0,0,4,0,1,0,0,0,16,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,applyHostFilter/1[java.lang.String],false,291,1,3,1,2,3,5,28,0,2,1,5,0,0,0,1,0,0,2,0,3,0,1,1,0,0,18,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,"setProgressBar/3[boolean,java.lang.String,int]",false,128,0,2,2,0,4,6,12,0,0,3,6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,7,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,initComponents/0,false,49,4,4,1,3,1,16,49,0,10,0,16,1,1,0,0,0,4,5,106,17,0,1,1,0,1,48,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,clearCacheActionPerformed/1[java.awt.event.ActionEvent],false,332,1,1,0,1,2,2,6,0,1,1,2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,11,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,clearDataActionPerformed/1[java.awt.event.ActionEvent],false,340,2,2,0,2,8,25,28,1,12,1,25,0,0,0,3,0,0,10,3,6,0,3,0,0,6,23,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,"getSelectedMapByHost/2[java.lang.String,hae.component.board.Databoard.DataLoadingWorker]",false,215,2,3,1,2,14,14,43,1,11,2,14,0,0,3,5,0,3,3,6,12,4,5,0,0,0,22,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,filterComboBoxList/0,false,268,1,4,3,1,6,12,21,0,2,0,12,1,1,1,0,0,0,0,2,4,0,4,0,0,0,15,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,getHostByList/0,false,323,0,2,2,0,2,2,7,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,2,0,false
