file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_31_validate_stack_sequences_s1\sfo_31_validate_stack_sequences_s1.java,sfo_31_validate_stack_sequences_s1.sfo_31_validate_stack_sequences_s1,main/1[java.lang.String[]],false,29,2,2,0,2,1,2,7,0,4,1,2,0,0,0,0,0,0,0,10,4,0,0,0,0,0,7,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_06_print_a_linked_list_in_reverse_order_s1\sfo_06_print_a_linked_list_in_reverse_order_s1.java,sfo_06_print_a_linked_list_in_reverse_order_s1.sfo_06_print_a_linked_list_in_reverse_order_s1,main/1[java.lang.String[]],false,33,3,3,0,3,1,4,6,0,3,1,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_38_all_permutations_of_a_string_s1\sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,dfs/1[int],false,23,1,4,2,2,4,6,14,1,2,1,6,2,1,1,1,0,0,0,2,2,2,2,0,0,0,6,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_38_all_permutations_of_a_string_s1\sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,"swap/2[int,int]",false,39,0,1,1,0,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_38_all_permutations_of_a_string_s1\sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,permutation/1[java.lang.String],false,17,1,2,1,1,1,4,5,1,0,1,4,1,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_61_straight_in_poker_s2\sfo_61_straight_in_poker_s2.java,sfo_61_straight_in_poker_s2.sfo_61_straight_in_poker_s2,main/1[java.lang.String[]],false,28,2,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_13_range_of_motion_of_a_robot_s2\sfo_13_range_of_motion_of_a_robot_s2.java,sfo_13_range_of_motion_of_a_robot_s2.Solution,"movingCount/3[int,int,int]",false,14,2,1,1,0,8,3,16,1,8,3,3,0,0,1,2,0,2,0,22,9,11,2,0,0,0,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_27_mirror_of_a_binary_tree_s1\sfo_27_mirror_of_a_binary_tree_s1.java,sfo_27_mirror_of_a_binary_tree_s1.sfo_27_mirror_of_a_binary_tree_s1,main/1[java.lang.String[]],false,25,3,4,0,4,1,3,6,0,3,1,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,8,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_60_probabilities_for_rolling_n_dices_s1\sfo_60_probabilities_for_rolling_n_dices_s1.java,sfo_60_probabilities_for_rolling_n_dices_s1.Solution,dicesProbability/1[int],false,14,1,1,1,0,4,1,14,1,5,1,1,0,0,3,0,0,0,0,10,7,5,3,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\LeetCode-Book\sword_for_offer\codes\java\sfo_14i_cut_the_rope_i_s1\sfo_14i_cut_the_rope_i_s1.java,sfo_14i_cut_the_rope_i_s1.Solution,cuttingRope/1[int],false,14,0,1,1,0,4,1,7,4,2,1,1,0,0,0,2,0,0,0,12,2,6,1,0,0,0,5,1,0,false
