file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\controllers\RemoteConfigControllerV1Test.java,org.whispersystems.textsecuregcm.controllers.RemoteConfigControllerV1Test,class,20,20,0,20,13,1,0,46,0,0.625,0.0,0.0,8,0,0,0,0,8,8,0,0,0,4,4,0,4,0,0,4,0,10,124,0,4,2,0,4,45,58,23,5,22,3,1,0,0,93,0,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\push\MessageTooLargeException.java,org.whispersystems.textsecuregcm.push.MessageTooLargeException,class,1,2,1,1,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\util\InstantAdapter.java,org.whispersystems.textsecuregcm.util.InstantAdapter$EpochSecondSerializer,innerclass,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,class,244,248,4,244,19,4,0,337,10,0.8,0.0,0.0,5,1,4,1,0,0,4,0,0,0,2,2,1,1,0,0,2,0,75,412,8,2,5,2,0,64,45,189,0,196,3,2,2,14,477,1,9
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,class,6,13,7,6,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,14,3,0,0,0,0,0,14,3,6,3,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\BufferingInterceptorIntegrationTest.java,org.whispersystems.textsecuregcm.BufferingInterceptorIntegrationTest$TestApplication,innerclass,6,6,0,6,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,16,9,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\storage\RedisDynamoDbMessagePublisherTest.java,org.whispersystems.textsecuregcm.storage.RedisDynamoDbMessagePublisherTest,class,28,29,1,28,25,1,0,72,0,0.6166667,0.0,0.0,18,3,0,5,0,13,13,0,0,0,10,6,0,8,0,2,4,0,41,200,3,0,0,4,0,4,22,48,0,52,2,0,0,8,105,0,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\storage\S3LocalStackExtension.java,org.whispersystems.textsecuregcm.storage.S3LocalStackExtension,class,10,16,6,10,7,1,0,32,0,0.60714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,2,0,4,0,0,2,0,2,30,2,0,0,0,0,2,2,4,0,5,0,0,0,2,36,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\controllers\PaymentsControllerTest.java,org.whispersystems.textsecuregcm.controllers.PaymentsControllerTest,class,16,16,0,16,5,1,0,32,0,0.6,0.0,0.0,5,0,0,0,0,5,5,0,0,0,4,3,0,4,0,0,4,0,10,29,0,0,0,0,0,24,4,8,0,8,0,0,0,0,44,0,0
D:\laboratorio-02-repositorios-java\.\repositories\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\storage\LinkDeviceTokenAlreadyUsedException.java,org.whispersystems.textsecuregcm.storage.LinkDeviceTokenAlreadyUsedException,class,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
