file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\proprietary\src\main\java\stirling\software\proprietary\security\filter\FirstLoginFilter.java,stirling.software.proprietary.security.filter.FirstLoginFilter,class,12,13,1,12,10,2,0,27,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,31,2,0,1,0,1,7,0,10,2,10,2,0,0,0,42,1,1
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\core\src\main\java\stirling\software\SPDF\config\ExternalAppDepConfig.java,stirling.software.SPDF.config.ExternalAppDepConfig$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\test\java\stirling\software\common\util\ProcessExecutorTest.java,stirling.software.common.util.ProcessExecutorTest,class,4,4,0,4,3,1,0,12,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,24,0,0,0,0,0,6,1,6,1,6,1,0,0,1,32,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,class,4,8,4,4,12,2,0,8,18,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,5,0,5,0,0,5,0,0,37,7,0,2,0,1,14,0,7,1,6,1,0,0,0,45,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\core\src\main\java\stirling\software\SPDF\controller\web\UploadLimitService.java,stirling.software.SPDF.controller.web.UploadLimitService,class,5,7,2,5,7,1,0,16,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,6,28,6,0,1,0,1,11,6,6,5,7,1,0,0,0,22,1,1
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\proprietary\src\test\java\stirling\software\proprietary\security\JwtAuthenticationEntryPointTest.java,stirling.software.proprietary.security.JwtAuthenticationEntryPointTest,class,9,9,0,9,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,4,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,5,0,0,0,0,23,0,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\ApplicationProperties.java,stirling.software.common.model.ApplicationProperties$Security$SAML2,innerclass,9,9,0,9,12,1,0,8,6,0.9166667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,12,0,0,12,0,0,0,0,0,56,11,0,3,1,0,15,0,7,1,15,1,0,0,0,52,9,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\core\src\main\java\stirling\software\SPDF\model\PipelineResult.java,stirling.software.SPDF.model.PipelineResult,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\proprietary\src\main\java\stirling\software\proprietary\security\oauth2\CustomOAuth2AuthenticationFailureHandler.java,stirling.software.proprietary.security.oauth2.CustomOAuth2AuthenticationFailureHandler,class,11,11,0,11,7,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,0,0,11,0,3,1,2,2,0,0,0,32,1,5
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\util\PdfAttachmentHandler.java,stirling.software.common.util.PdfAttachmentHandler$AttachmentMarkerPositionFinder,innerclass,7,7,0,7,23,2,0,29,7,0.7321429,0.0,0.0,7,0,3,1,3,0,6,0,0,0,8,2,0,7,1,0,4,0,4,76,6,2,2,0,3,8,8,23,2,19,3,0,0,1,70,9,0
