file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\uitls\ClassUtils.java,cn.surveyking.server.core.uitls.ClassUtils,"flatClassFields/3[java.lang.Class,java.util.List<java.lang.String>,int]",false,21,1,3,2,1,5,12,15,1,2,3,12,1,0,1,0,0,0,1,1,2,1,2,0,0,0,13,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\config\WebSecurityConfig.java,cn.surveyking.server.core.config.WebSecurityConfig$UrlTokenAuthentication,setEnabled/1[boolean],false,113,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\config\WebSecurityConfig.java,cn.surveyking.server.core.config.WebSecurityConfig$UrlTokenAuthentication,isEnabled/0,false,109,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\mapper\RepoMapper.java,cn.surveyking.server.mapper.RepoMapper,selectRepoQuestionTypes/1[java.lang.String],false,25,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,23,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\rdbms\src\main\java\cn\surveyking\server\mapper\RepoMapper.java,cn.surveyking.server.mapper.RepoMapper,selectRepoTemplateTags/1[java.lang.String],false,16,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,25,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\listener\ProcessSuspendedListener.java,cn.surveyking.server.flow.listener.ProcessSuspendedListener,onEvent/1[cn.surveyking.server.flow.listener.FlowableEvent],false,18,6,3,0,3,1,7,9,0,3,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\listener\ProcessSuspendedListener.java,cn.surveyking.server.flow.listener.ProcessSuspendedListener,isFireOnTransactionLifecycleEvent/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\listener\ProcessSuspendedListener.java,cn.surveyking.server.flow.listener.ProcessSuspendedListener,isFailOnException/0,false,30,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\flow\src\main\java\cn\surveyking\server\flow\listener\ProcessSuspendedListener.java,cn.surveyking.server.flow.listener.ProcessSuspendedListener,getOnTransaction/0,false,40,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\SurveyKing\server\shared\src\main\java\cn\surveyking\server\core\security\PreAuthorizeAnnotationExtractor.java,cn.surveyking.server.core.security.PreAuthorizeAnnotationExtractor,extractAllApiPermissions/0,false,30,3,3,1,2,2,2,8,1,1,0,2,1,2,0,1,0,0,0,0,2,0,1,0,0,0,8,9,0,true
