file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,deleteNote_throwsIfNotFound/0,false,181,2,0,0,0,1,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,deleteNote_deletesIfExists/0,false,171,2,0,0,0,1,10,6,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,getNotesForBook_returnsMappedNotes/0,false,53,3,0,0,0,1,13,9,0,3,0,13,0,0,0,0,0,0,0,1,3,0,0,0,0,0,17,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,createOrUpdateNote_throwsIfBookNotFound/0,false,123,2,0,0,0,1,15,6,0,2,0,15,0,0,0,0,0,0,4,0,2,0,0,0,0,1,26,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,createOrUpdateNote_throwsIfNoteNotFoundForUpdate/0,false,155,3,0,0,0,1,14,7,0,1,0,14,0,0,0,0,0,0,2,0,1,0,0,0,0,1,20,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,createOrUpdateNote_updatesExistingNote_whenIdIsPresent/0,false,97,4,0,0,0,1,18,15,0,5,0,18,0,0,0,0,0,0,10,0,5,0,0,0,0,0,24,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,setUp/0,false,39,8,0,0,0,1,5,11,0,2,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,createOrUpdateNote_throwsIfUserNotFound/0,false,141,3,0,0,0,1,13,6,0,1,0,13,0,0,0,0,0,0,2,0,1,0,0,0,0,1,19,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\test\java\com\adityachandel\booklore\service\BookNoteServiceTest.java,com.adityachandel.booklore.service.BookNoteServiceTest,createOrUpdateNote_createsNewNote_whenIdIsNull/0,false,67,7,0,0,0,1,24,20,0,8,0,24,0,0,0,0,0,0,4,0,8,0,0,0,0,0,30,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\model\entity\BookMetadataEntity.java,com.adityachandel.booklore.model.entity.BookMetadataEntity,areAllFieldsLocked/0,false,252,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\model\entity\BookMetadataEntity.java,com.adityachandel.booklore.model.entity.BookMetadataEntity,applyLockToAllFields/1[boolean],false,221,0,0,0,0,1,0,30,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\repository\ShelfRepository.java,com.adityachandel.booklore.repository.ShelfRepository,"findByUserIdAndName/2[java.lang.Long,java.lang.String]",false,20,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\repository\ShelfRepository.java,com.adityachandel.booklore.repository.ShelfRepository,"existsByUserIdAndName/2[java.lang.Long,java.lang.String]",false,16,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\repository\ShelfRepository.java,com.adityachandel.booklore.repository.ShelfRepository,findByUserId/1[java.lang.Long],false,18,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\metadata\writer\MetadataWriterFactory.java,com.adityachandel.booklore.service.metadata.writer.MetadataWriterFactory,getWriter/1[com.adityachandel.booklore.service.metadata.writer.BookFileType],false,23,2,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\metadata\writer\MetadataWriterFactory.java,com.adityachandel.booklore.service.metadata.writer.MetadataWriterFactory,MetadataWriterFactory/1[java.util.List<com.adityachandel.booklore.service.metadata.writer.MetadataWriter>],true,18,1,0,0,0,1,4,3,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\bookdrop\BookdropMetadataService.java,com.adityachandel.booklore.service.bookdrop.BookdropMetadataService,extractAndSaveCover/1[com.adityachandel.booklore.model.entity.BookdropFileEntity],false,109,4,3,1,2,3,9,14,0,3,1,9,0,0,0,1,1,0,2,0,3,0,2,0,0,1,22,2,1,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\bookdrop\BookdropMetadataService.java,com.adityachandel.booklore.service.bookdrop.BookdropMetadataService,attachFetchedMetadata/1[java.lang.Long],false,60,9,3,1,2,3,25,23,1,9,1,25,1,1,0,0,1,0,0,2,9,0,2,0,0,0,42,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\bookdrop\BookdropMetadataService.java,com.adityachandel.booklore.service.bookdrop.BookdropMetadataService,getOrThrow/1[java.lang.Long],false,95,2,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,13,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\booklore\booklore-api\src\main\java\com\adityachandel\booklore\service\bookdrop\BookdropMetadataService.java,com.adityachandel.booklore.service.bookdrop.BookdropMetadataService,attachInitialMetadata/1[java.lang.Long],false,49,4,4,1,3,1,8,9,1,3,1,8,3,1,0,0,0,0,0,0,3,0,0,0,0,0,22,1,0,false
