file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\buck\test\com\facebook\buck\rules\modern\builders\HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous5,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\format\DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,innerclass,12,12,0,12,21,2,0,20,6,0.6,0.0,0.0,5,0,2,2,0,1,3,0,0,0,3,0,0,0,0,3,1,0,3,68,3,2,6,0,0,7,15,14,3,11,2,1,1,0,61,8,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\test\com\facebook\buck\rules\modern\builders\HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous3,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\src\com\facebook\buck\rules\keys\DefaultDependencyFileRuleKeyFactory.java,com.facebook.buck.rules.keys.DefaultDependencyFileRuleKeyFactory$Result,innerclass,3,3,0,3,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,15,10,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\src\com\facebook\buck\features\rust\PrebuiltRustLibraryDescription.java,com.facebook.buck.features.rust.PrebuiltRustLibraryDescription$AbstractPrebuiltRustLibraryDescriptionArg,interface,8,8,0,8,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\test\com\facebook\buck\rules\modern\builders\HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\test\com\facebook\buck\rules\modern\builders\HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,class,10,15,5,10,11,2,0,14,0,0.125,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,41,6,1,2,0,0,4,2,4,0,4,1,0,0,0,78,17,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\src\com\facebook\buck\query\QueryException.java,com.facebook.buck.query.QueryException,class,1,7,6,1,5,3,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\buck\src\com\facebook\buck\util\versioncontrol\VersionControlCommandFailedException.java,com.facebook.buck.util.versioncontrol.VersionControlCommandFailedException,class,0,3,3,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
