file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-pm-core\src\main\java\org\apereo\cas\pm\impl\history\AmnesiacPasswordHistoryService.java,org.apereo.cas.pm.impl.history.AmnesiacPasswordHistoryService,class,3,5,2,3,6,2,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-ldap-core\src\main\java\org\apereo\cas\authorization\EndpointLdapAuthenticationProvider.java,org.apereo.cas.authorization.EndpointLdapAuthenticationProvider,class,22,27,5,22,16,1,0,55,2,0.6666667,0.0,0.0,9,1,3,6,0,0,3,0,0,0,4,0,0,4,0,0,4,0,7,94,11,0,0,1,0,15,0,21,0,30,3,0,0,5,105,1,12
D:\laboratorio-02-repositorios-java\.\repositories\cas\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,class,12,15,3,12,9,1,1,26,7,0.7857143,0.0,0.0,7,1,5,0,2,0,7,0,0,0,6,4,0,6,0,0,4,0,1,61,9,0,0,0,0,10,3,15,0,15,2,0,0,3,91,1,5
D:\laboratorio-02-repositorios-java\.\repositories\cas\api\cas-server-core-api-configuration-model\src\main\java\org\apereo\cas\configuration\model\support\influxdb\InfluxDbProperties.java,org.apereo.cas.configuration.model.support.influxdb.InfluxDbProperties,class,6,6,0,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,7,0,0,0,0,0,3,1,3,0,5,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,class,18,21,3,18,9,1,0,30,4,0.8,0.0,0.0,4,0,2,0,2,0,4,0,0,0,5,0,0,5,0,0,5,0,5,49,6,0,3,0,0,6,0,7,0,15,3,0,0,5,87,1,6
D:\laboratorio-02-repositorios-java\.\repositories\cas\core\cas-server-core-tickets-api\src\main\java\org\apereo\cas\ticket\expiration\FixedInstantExpirationPolicy.java,org.apereo.cas.ticket.expiration.FixedInstantExpirationPolicy,class,17,19,2,17,3,2,0,8,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,4,16,3,0,0,0,0,0,1,4,0,5,0,0,0,0,46,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-redis-service-registry\src\test\java\org\apereo\cas\adaptors\redis\services\RedisServerServiceRegistryTests.java,org.apereo.cas.adaptors.redis.services.RedisServerServiceRegistryTests,class,6,6,0,6,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,13,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-aup-core\src\main\java\org\apereo\cas\aup\AcceptableUsagePolicyRepository.java,org.apereo.cas.aup.AcceptableUsagePolicyRepository$Anonymous1,anonymous,4,4,0,4,3,1,0,4,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,13,3,0,0,0,0,0,1,2,0,2,0,0,0,0,20,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\api\cas-server-core-api-util\src\main\java\org\apereo\cas\util\thread\Cleanable.java,org.apereo.cas.util.thread.Cleanable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\core\cas-server-core-util-api\src\test\java\org\apereo\cas\util\spring\boot\CasFeatureEnabledConditionTests.java,org.apereo.cas.util.spring.boot.CasFeatureEnabledConditionTests,class,4,4,0,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,0,10,0,9,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-oidc-core-api\src\main\java\org\apereo\cas\oidc\jwks\rotation\OidcJsonWebKeystoreRotationService.java,org.apereo.cas.oidc.jwks.rotation.OidcJsonWebKeystoreRotationService$JsonWebKeyLifecycleStates,enum,5,5,0,5,10,1,0,8,8,0.6,0.0,0.0,5,2,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,21,4,0,5,0,0,0,3,1,0,3,0,0,0,1,72,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-passwordless-api\src\main\java\org\apereo\cas\impl\account\RestfulPasswordlessUserAccountStore.java,org.apereo.cas.impl.account.RestfulPasswordlessUserAccountStore,class,11,11,0,11,5,1,0,34,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,0,1,2,0,3,0,2,28,2,0,2,2,2,2,0,8,0,9,3,0,0,0,43,1,1
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-token-core-api\src\main\java\org\apereo\cas\nativex\JwtTokenRuntimeHints.java,org.apereo.cas.nativex.JwtTokenRuntimeHints,class,3,4,1,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-reports\src\test\java\org\apereo\cas\web\report\AuditLogEndpointTests.java,org.apereo.cas.web.report.AuditLogEndpointTests,class,10,10,0,10,2,2,0,22,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,2,14,0,0,0,0,0,11,0,4,1,4,0,0,0,0,38,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-qr-authentication\src\test\java\org\apereo\cas\qr\authentication\JsonResourceQRAuthenticationDeviceRepositoryTests.java,org.apereo.cas.qr.authentication.JsonResourceQRAuthenticationDeviceRepositoryTests,class,9,9,0,9,1,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,8,2,4,0,4,0,0,0,0,26,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-pac4j-oidc\src\test\java\org\apereo\cas\support\pac4j\clients\RestfulDelegatedIdentityProviderFactoryOidcTests.java,org.apereo.cas.support.pac4j.clients.RestfulDelegatedIdentityProviderFactoryOidcTests,class,4,5,1,4,1,4,0,5,0,1.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,28,1,0,0,0,0,3,0,1,0,1,0,0,2,0,21,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-ldap-service-registry\src\main\java\org\apereo\cas\adaptors\ldap\services\LdapRegisteredServiceMapper.java,org.apereo.cas.adaptors.ldap.services.LdapRegisteredServiceMapper,interface,2,6,4,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\support\cas-server-support-saml\src\main\java\org\apereo\cas\config\SamlUniqueTicketIdGeneratorConfiguration.java,org.apereo.cas.config.SamlUniqueTicketIdGeneratorConfiguration,class,12,13,1,12,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,2,0,1,0,1,0,0,0,1,24,0,0
D:\laboratorio-02-repositorios-java\.\repositories\cas\core\cas-server-core-authentication-mfa-api\src\main\java\org\apereo\cas\authentication\bypass\BaseMultifactorAuthenticationProviderBypassEvaluator.java,org.apereo.cas.authentication.bypass.BaseMultifactorAuthenticationProviderBypassEvaluator,class,17,28,11,17,18,1,10,45,36,0.9444444,0.0,0.0,9,2,5,0,4,0,9,1,0,0,4,1,0,4,0,0,4,0,5,75,13,0,1,0,0,8,1,12,0,18,3,0,0,5,109,1025,7
