file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,class,7,8,1,7,3,2,0,5,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,1,1,0,0,0,1,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\BoatEntity.java,org.geysermc.geyser.entity.type.BoatEntity$BoatVariant,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,class,5,5,0,5,2,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,1,0,1,1,0,0,0,26,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\level\block\type\BlockState.java,org.geysermc.geyser.level.block.type.BlockState,class,7,40,33,7,29,1,0,17,8,0.5641026,0.0,0.0,13,1,10,2,0,1,11,0,0,0,3,0,0,3,0,0,3,0,1,101,17,3,12,0,2,6,8,18,8,16,3,0,0,0,94,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\ap\src\main\java\org\geysermc\geyser\processor\PacketTranslatorProcessor.java,org.geysermc.geyser.processor.PacketTranslatorProcessor,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\api\src\main\java\org\geysermc\geyser\api\bedrock\camera\CameraFade.java,org.geysermc.geyser.api.bedrock.camera.CameraFade,interface,3,7,4,3,5,1,0,2,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,49,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,class,25,27,2,25,47,2,0,79,148,0.81746036,0.0,0.0,21,0,18,3,0,0,18,0,0,0,6,0,0,6,0,0,1,0,6,176,20,1,7,4,0,34,3,15,5,18,4,0,0,5,123,1,8
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\translator\level\block\entity\SpawnerBlockEntityTranslator.java,org.geysermc.geyser.translator.level.block.entity.SpawnerBlockEntityTranslator,class,13,14,1,13,16,2,0,18,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,67,3,0,12,0,7,24,4,15,0,9,2,0,0,0,32,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\item\type\BoatItem.java,org.geysermc.geyser.item.type.BoatItem,class,2,3,1,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\inventory\CartographyContainer.java,org.geysermc.geyser.inventory.CartographyContainer,class,3,3,0,3,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\extension\command\GeyserExtensionCommand.java,org.geysermc.geyser.extension.command.GeyserExtensionCommand$Builder$Anonymous1,anonymous,7,7,0,7,6,1,0,14,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,8,0,3,1,4,1,0,0,1,27,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\bootstrap\mod\src\main\java\org\geysermc\geyser\platform\mod\mixin\server\BlockPlaceMixin.java,org.geysermc.geyser.platform.mod.mixin.server.BlockPlaceMixin,class,13,13,0,13,3,1,0,18,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,2,0,0,4,1,3,0,3,1,0,0,0,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,class,4,6,2,4,5,1,0,4,4,0.5625,0.0,0.0,4,2,4,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,2,24,5,0,1,0,0,1,4,4,1,6,1,0,0,0,47,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\scoreboard\display\score\PlayerlistDisplayScore.java,org.geysermc.geyser.scoreboard.display.score.PlayerlistDisplayScore,class,5,6,1,5,8,2,0,3,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,20,3,0,3,0,0,0,0,2,0,2,0,0,0,0,16,17,0
D:\laboratorio-02-repositorios-java\.\repositories\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\monster\raid\VindicatorEntity.java,org.geysermc.geyser.entity.type.living.monster.raid.VindicatorEntity,class,7,8,1,7,4,8,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,1,0,2,1,0,1,0,0,0,0,25,1,0
