file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard,class,11,17,6,11,55,6,0,96,36,0.8165681,NaN,NaN,13,0,1,12,0,0,1,0,0,0,13,1,0,13,0,0,5,0,12,331,3,4,15,0,14,22,134,59,11,56,5,4,1,7,116,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\utils\string\HashCalculator.java,hae.utils.string.HashCalculator,class,2,4,2,2,5,1,0,8,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,3,1,1,1,0,2,2,4,0,4,2,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\utils\DataManager.java,hae.utils.DataManager,class,9,13,4,9,23,1,0,48,0,0.4375,0.0,0.0,8,0,3,5,0,0,3,0,0,2,2,0,0,2,0,0,2,0,6,91,2,1,7,3,0,6,4,19,3,20,4,0,0,3,50,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,1,0,1,0,0,9,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard$Anonymous3,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\Databoard.java,hae.component.board.Databoard$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\rule\Display.java,hae.component.rule.Display,class,2,4,2,2,6,5,0,14,10,0.8000001,NaN,NaN,5,0,1,4,0,0,1,0,0,0,8,0,8,0,0,0,0,0,0,60,2,0,0,0,0,10,20,20,0,14,1,0,0,1,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\message\MessageTableModel.java,hae.component.board.message.MessageTableModel,class,16,30,14,16,68,6,0,84,86,0.8319327,0.0,0.0,17,0,11,6,0,0,11,0,0,1,7,0,0,7,0,0,6,0,15,383,26,5,8,8,2,39,15,77,4,65,7,2,1,5,159,1,0
D:\laboratorio-02-repositorios-java\.\repositories\HaE\src\main\java\hae\component\board\table\Datatable.java,hae.component.board.table.Datatable$Anonymous5,anonymous,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,1,0,1,1,0,0,0,19,-1,0
