file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\util\validation\validator\OrderByValidatorTest.java,net.sf.jsqlparser.util.validation.validator.OrderByValidatorTest,class,2,2,0,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,2,2,2,0,2,0,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\parser\CCJSqlParserTest.java,net.sf.jsqlparser.parser.CCJSqlParserTest,class,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,2,0,2,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,class,6,12,6,6,6,3,0,3,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\util\AddAliasesVisitor.java,net.sf.jsqlparser.util.AddAliasesVisitor,class,16,17,1,16,19,1,0,13,37,0.7818182,0.0,0.0,11,0,10,0,1,0,11,0,0,0,5,1,0,5,0,0,2,0,0,73,6,4,2,0,0,2,2,10,1,6,4,0,0,0,67,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\statement\merge\MergeTest.java,net.sf.jsqlparser.statement.merge.MergeTest,class,11,11,0,11,18,1,0,21,153,0.0,0.0,0.0,18,2,12,2,0,4,16,0,0,0,0,0,0,0,0,0,0,0,25,90,2,0,0,0,0,201,0,26,12,26,0,0,0,0,165,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\CaseExpression.java,net.sf.jsqlparser.expression.CaseExpression,class,9,14,5,9,26,2,0,15,117,0.75,0.0,0.0,22,0,22,0,0,0,22,0,0,0,4,0,0,4,0,0,0,0,7,80,15,0,2,0,6,12,0,11,3,6,0,0,0,0,46,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\delete\DeleteModifierPriority.java,net.sf.jsqlparser.statement.delete.DeleteModifierPriority,enum,1,3,2,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\NotExpression.java,net.sf.jsqlparser.expression.NotExpression,class,7,14,7,7,13,2,0,6,18,0.5416666,0.0,0.0,12,0,12,0,0,0,12,0,1,0,2,0,0,2,0,0,0,0,0,42,7,0,0,0,1,2,0,4,1,2,0,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\select\SetOperation.java,net.sf.jsqlparser.statement.select.SetOperation,class,2,7,5,2,12,2,4,3,0,0.35714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,1,0,1,1,0,0,25,4,0,4,0,0,6,0,3,1,2,0,0,0,0,22,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\ReferentialAction.java,net.sf.jsqlparser.statement.ReferentialAction$Action,enum,1,1,0,1,5,1,0,3,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,3,1,0,0,0,5,0,1,0,1,2,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\CastExpression.java,net.sf.jsqlparser.expression.CastExpression,class,14,20,6,14,55,2,0,26,104,0.8063492,0.0,0.0,45,9,45,0,0,0,45,0,0,0,7,1,1,6,0,0,1,0,22,198,35,0,4,0,0,14,1,35,5,8,2,0,1,0,75,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\expression\OracleNamedFunctionParameterTest.java,net.sf.jsqlparser.expression.OracleNamedFunctionParameterTest,class,7,7,0,7,4,1,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,14,2,7,1,6,0,0,0,0,65,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\util\deparser\MergeDeParser.java,net.sf.jsqlparser.util.deparser.MergeDeParser,class,17,19,2,17,25,2,0,37,11,0.55,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,2,0,1,99,5,1,11,0,0,21,0,5,0,6,3,0,0,1,45,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\FileSourceDestination.java,net.sf.jsqlparser.statement.FileSourceDestination,class,7,9,2,7,25,1,2,5,88,0.82352936,0.0,0.0,17,0,15,0,2,0,17,0,0,0,8,0,0,8,0,0,0,0,5,91,9,0,6,0,0,7,0,9,0,9,2,0,0,0,35,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\statement\drop\DropTest.java,net.sf.jsqlparser.statement.drop.DropTest,class,6,6,0,6,18,1,0,16,147,0.8333333,0.0,0.0,18,0,17,0,0,1,18,0,0,0,1,0,0,1,0,0,1,0,25,84,0,0,0,0,0,38,1,15,2,15,0,0,0,0,95,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\create\table\CreateTable.java,net.sf.jsqlparser.statement.create.table.CreateTable,class,11,17,6,11,69,1,0,42,940,0.90816337,0.0,0.0,49,0,49,0,0,0,49,0,0,0,14,0,0,14,0,0,0,0,17,224,35,0,8,0,8,31,1,44,7,25,2,0,0,0,87,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\ExplainStatement.java,net.sf.jsqlparser.statement.ExplainStatement$OptionType,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\conditional\OrExpression.java,net.sf.jsqlparser.expression.operators.conditional.OrExpression,class,6,12,6,6,6,3,0,5,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\AnyType.java,net.sf.jsqlparser.expression.AnyType,enum,1,3,2,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\merge\MergeOperationVisitorAdapter.java,net.sf.jsqlparser.statement.merge.MergeOperationVisitorAdapter,class,9,10,1,9,6,1,0,13,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,30,3,0,0,0,0,1,0,3,0,1,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\select\First.java,net.sf.jsqlparser.statement.select.First$Keyword,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\util\validation\ValidationContext.java,net.sf.jsqlparser.util.validation.ValidationContext,class,6,16,10,6,12,1,0,8,35,0.76666665,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,45,10,0,1,0,0,1,0,5,1,4,1,0,0,0,31,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\statement\UseStatementTest.java,net.sf.jsqlparser.statement.UseStatementTest,class,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\OracleNamedFunctionParameter.java,net.sf.jsqlparser.expression.OracleNamedFunctionParameter,class,6,10,4,6,6,2,0,7,5,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,24,5,0,0,0,0,3,0,2,0,2,0,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\statement\piped\LimitPipeOperatorTest.java,net.sf.jsqlparser.statement.piped.LimitPipeOperatorTest,class,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,18,0,2,2,2,0,0,0,0,32,0,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\execute\Execute.java,net.sf.jsqlparser.statement.execute.Execute$ExecType,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\relational\NamedExpressionList.java,net.sf.jsqlparser.expression.operators.relational.NamedExpressionList,class,3,6,3,3,9,5,0,14,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,40,5,1,0,0,0,5,2,5,0,5,2,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\statement\select\AllTableColumnsTest.java,net.sf.jsqlparser.statement.select.AllTableColumnsTest,class,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,4,0,2,2,2,0,0,0,0,32,0,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\select\PlainSelect.java,net.sf.jsqlparser.statement.select.PlainSelect,class,29,46,17,29,158,3,0,80,6383,0.96288747,0.0,0.0,118,0,118,0,0,0,118,0,0,0,29,0,0,29,0,0,0,0,17,581,82,4,26,0,0,41,0,55,0,36,4,0,1,0,166,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\relational\InExpression.java,net.sf.jsqlparser.expression.operators.relational.InExpression,class,8,13,5,8,31,2,0,14,232,0.83199996,0.0,0.0,25,0,24,1,0,0,24,0,1,0,5,0,0,5,0,0,0,0,0,105,18,0,2,0,1,9,2,11,2,6,1,0,0,0,56,1,0
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\statement\create\table\PartitionDefinition.java,net.sf.jsqlparser.statement.create.table.PartitionDefinition,class,1,2,1,1,11,1,0,3,3,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,1,44,5,0,1,0,0,5,0,9,0,5,1,0,0,0,22,1,0
