file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\event\PeerBanEvent.java,com.ghostchu.peerbanhelper.event.PeerBanEvent,class,7,8,1,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,17,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\biglybt\network\BiglyBTTorrent.java,com.ghostchu.peerbanhelper.downloader.impl.biglybt.network.BiglyBTTorrent,class,3,4,1,3,11,1,0,0,35,0.8181819,0.0,0.0,11,0,11,0,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,54,10,0,0,0,0,0,0,10,0,10,0,0,0,0,27,17,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\downloader\impl\bitcomet\resp\BCTaskPeersResponse.java,com.ghostchu.peerbanhelper.downloader.impl.bitcomet.resp.BCTaskPeersResponse$PeerCountDTO,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,9,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\metric\impl\persist\PersistMetrics.java,com.ghostchu.peerbanhelper.metric.impl.persist.PersistMetrics,class,20,21,1,20,20,1,0,57,0,0.6833333,0.0,0.0,12,0,11,1,0,0,11,0,0,0,5,0,0,5,0,0,5,0,6,78,7,0,2,3,0,5,3,10,0,10,3,0,0,0,53,17,4
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\database\dao\impl\TrafficJournalDao.java,com.ghostchu.peerbanhelper.database.dao.impl.TrafficJournalDao$TrafficData,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,9,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\raccoonfink\deluge\responses\PBHActiveTorrentsResponse.java,raccoonfink.deluge.responses.PBHActiveTorrentsResponse$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\platform\win32\ecoqos\EcoModeNative.java,com.ghostchu.peerbanhelper.platform.win32.ecoqos.EcoModeNative,interface,4,6,2,4,4,1,0,1,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\config\MainConfigUpdateScript.java,com.ghostchu.peerbanhelper.config.MainConfigUpdateScript,class,7,9,2,7,70,1,0,22,0,0.057142857,0.0,0.0,35,0,34,1,0,0,34,0,0,0,1,0,0,1,0,0,1,0,8,241,6,6,15,0,0,112,45,25,0,25,4,0,0,0,141,17,1
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\ExternalSwitch.java,com.ghostchu.peerbanhelper.ExternalSwitch,class,2,20,18,2,31,1,0,25,153,0.0,0.0,0.0,18,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,26,83,27,1,11,0,0,5,8,11,2,9,3,0,0,0,17,17,0
D:\laboratorio-02-repositorios-java\.\repositories\PeerBanHelper\src\main\java\com\ghostchu\peerbanhelper\util\push\impl\TelegramPushProvider.java,com.ghostchu.peerbanhelper.util.push.impl.TelegramPushProvider$Config,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,9,0
