file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\TV\forcetech\src\main\java\com\forcetech\service\P2PService.java,com.forcetech.service.P2PService,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\leanback\java\com\fongmi\android\tv\ui\adapter\KeyboardAdapter.java,com.fongmi.android.tv.ui.adapter.KeyboardAdapter$OnClickListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\chaquo\src\main\java\com\fongmi\chaquo\Loader.java,com.fongmi.chaquo.Loader,class,7,9,2,7,4,1,0,8,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,12,1,0,1,0,0,2,0,2,0,2,1,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\mobile\java\com\fongmi\android\tv\utils\PiP.java,com.fongmi.android.tv.utils.PiP,class,14,15,1,14,27,1,0,24,24,0.5555556,0.0,0.0,9,1,6,3,0,0,6,0,0,0,1,0,0,1,0,0,0,0,7,67,13,0,2,3,0,1,12,6,0,6,3,0,0,0,36,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\mobile\java\com\fongmi\android\tv\Product.java,Product,class,0,0,0,0,12,1,0,13,28,0.0,0.0,0.0,8,8,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,0,3,0,12,8,11,6,1,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\leanback\java\com\fongmi\android\tv\ui\dialog\SiteDialog.java,com.fongmi.android.tv.ui.dialog.SiteDialog,class,16,21,5,16,34,1,0,52,58,0.77310926,0.0,0.0,17,1,6,11,0,0,6,0,0,0,7,0,0,7,0,0,4,0,9,93,9,0,6,0,2,0,22,10,6,12,1,0,0,5,56,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\catvod\src\main\java\com\github\catvod\utils\Path.java,com.github.catvod.utils.Path,class,5,38,33,5,59,1,0,53,630,0.9722222,0.0,0.0,36,36,35,1,0,0,35,0,0,0,1,1,0,1,0,0,1,0,47,181,40,2,5,7,1,18,6,11,11,12,2,0,0,1,50,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\mobile\java\com\fongmi\android\tv\ui\adapter\WordAdapter.java,ViewHolder,innerclass,3,22,10,12,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,8,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\leanback\java\com\fongmi\android\tv\ui\activity\SettingActivity.java,com.fongmi.android.tv.ui.activity.SettingActivity,class,37,42,5,37,53,3,0,97,559,0.8034188,0.0,0.0,39,1,6,30,3,0,9,0,0,0,3,0,0,3,0,0,0,0,70,260,10,1,4,0,1,3,26,13,3,14,1,6,0,3,61,1,0
D:\laboratorio-02-repositorios-java\.\repositories\TV\app\src\main\java\com\fongmi\android\tv\bean\Device.java,com.fongmi.android.tv.bean.Device,class,16,31,15,16,36,1,0,39,339,0.9382715,0.0,0.0,27,5,27,0,0,0,27,0,0,0,9,0,0,9,0,0,0,0,14,117,19,0,4,0,1,16,4,11,0,11,1,0,1,0,50,1,0
