file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\MethodCallBlocker.java,io.aeron.cluster.MethodCallBlocker$Controller,innerclass,0,0,0,0,9,1,0,4,0,0.3125,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,3,0,4,0,0,4,0,0,29,0,2,3,0,0,2,5,4,0,4,2,0,0,0,27,25,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,class,9,17,8,9,93,1,0,68,213,0.8901097,0.0,0.0,26,10,1,19,0,6,7,0,0,0,21,0,0,0,0,21,0,0,33,307,7,0,36,4,7,95,15,71,34,50,4,0,0,0,162,16,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-cluster\src\main\java\io\aeron\cluster\ClusterBackup.java,io.aeron.cluster.ClusterBackup$SourceType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-cluster\src\main\java\io\aeron\cluster\service\BoundedLogAdapter.java,io.aeron.cluster.service.BoundedLogAdapter,class,18,20,2,18,28,1,0,45,10,0.8240741,0.0,0.0,9,0,2,1,0,6,8,0,0,0,12,0,0,12,0,0,10,0,1,111,6,0,9,0,3,3,2,23,11,20,3,0,0,0,88,16,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-client\src\test\java\io\aeron\ClientConductorTest.java,io.aeron.ClientConductorTest$PrintError,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-samples\src\main\java\io\aeron\samples\security\SimpleAuthenticator.java,io.aeron.samples.security.SimpleAuthenticator,class,8,10,2,8,10,1,0,7,6,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,73,0,1,2,0,0,0,0,5,0,5,2,0,3,0,47,17,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-cluster\src\main\java\io\aeron\cluster\ConsensusModuleSnapshotTaker.java,io.aeron.cluster.ConsensusModuleSnapshotTaker,class,17,20,3,17,19,2,0,40,28,0.875,0.0,0.0,8,1,2,2,0,4,6,0,0,0,6,1,0,6,0,0,6,0,1,88,2,4,0,0,0,3,8,19,7,19,3,0,0,0,85,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-client\src\test\java\io\aeron\CommonContextTest.java,io.aeron.CommonContextTest,class,12,12,0,12,13,1,0,50,66,0.6923077,0.0,0.0,13,0,0,0,0,13,13,0,0,0,1,0,0,1,0,0,0,0,22,140,0,0,0,4,2,21,4,35,1,38,1,0,0,2,139,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\SubscriptionReconnectTest.java,io.aeron.SubscriptionReconnectTest,class,18,18,0,18,10,1,0,26,0,0.5,0.0,0.0,4,1,0,1,0,3,3,0,0,0,3,1,0,2,0,1,2,0,7,47,1,5,0,1,0,3,7,11,0,15,4,0,0,1,50,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-archive\src\test\java\io\aeron\archive\ArchiveCountersTest.java,io.aeron.archive.ArchiveCountersTest,class,13,13,0,13,6,1,0,29,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,9,71,0,0,0,0,0,13,30,27,8,33,1,0,0,6,78,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\CongestionControlSupplier.java,io.aeron.driver.CongestionControlSupplier,interface,5,10,5,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-agent\src\main\java\io\aeron\agent\ClusterInterceptor.java,io.aeron.agent.ClusterInterceptor$NewElection,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-client\src\main\java\io\aeron\security\NullCredentialsSupplier.java,io.aeron.security.NullCredentialsSupplier,class,2,6,4,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\FailedFirstElectionClusterTest.java,io.aeron.cluster.FailedFirstElectionClusterTest$FailFirstElectionIntercept,innerclass,4,4,0,4,3,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,1,1,1,1,1,0,0,0,16,9,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\AsyncResourceTest.java,io.aeron.AsyncResourceTest,class,24,24,0,24,17,1,0,35,2,0.5625,0.0,0.0,8,1,0,1,0,7,7,0,0,0,4,2,0,3,0,1,3,0,1,142,1,7,7,7,5,15,6,31,1,35,3,3,1,4,83,0,0
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-client\src\main\java\io\aeron\ControlledFragmentAssembler.java,io.aeron.ControlledFragmentAssembler,class,7,18,11,7,20,1,0,20,0,0.5833334,0.0,0.0,9,0,8,1,0,0,8,0,0,0,4,0,0,4,0,0,4,0,0,73,5,0,8,0,3,0,2,13,0,10,5,0,0,0,148,1,0
