file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,innerclass,5,5,0,5,17,2,0,20,4,0.5833333,0.0,0.0,4,0,0,1,3,0,3,0,0,0,3,1,0,3,0,0,3,0,0,74,1,1,8,2,0,4,2,15,1,12,3,0,0,0,68,2,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,class,13,15,2,13,10,6,0,25,0,0.5714286,0.0,0.0,7,1,4,3,0,0,4,0,0,0,7,1,0,7,0,0,6,0,1,328,2,0,2,0,0,0,0,15,0,31,2,0,4,9,51,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,class,99,106,7,99,393,2,1,347,3880,0.96277773,0.0,0.0,108,0,69,29,10,0,79,0,0,0,50,22,13,10,16,11,21,0,21,1531,89,6,164,6,22,58,17,201,19,173,5,1,2,21,559,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\test\java\com\owncloud\android\authentication\AuthenticatorDataUrlTest.java,com.owncloud.android.authentication.AuthenticatorDataUrlTest,class,5,5,0,5,17,1,0,7,0,0.4285714,0.0,0.0,7,0,7,0,0,0,7,0,0,0,11,2,0,11,0,0,2,0,14,102,0,9,0,1,0,14,0,28,54,23,2,0,0,0,60,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\asynctasks\RichDocumentsLoadUrlTask.java,com.owncloud.android.ui.asynctasks.RichDocumentsLoadUrlTask,class,6,6,0,6,6,2,0,7,0,0.22222222,0.0,0.0,3,0,1,0,2,0,3,0,0,0,3,0,0,3,0,0,1,0,0,28,4,0,2,0,0,2,1,6,0,6,1,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\activity\ContactsPreferenceActivity.java,com.owncloud.android.ui.activity.ContactsPreferenceActivity$Anonymous1,anonymous,0,0,0,0,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\activity\OnEnforceableRefreshListener.java,com.owncloud.android.ui.activity.OnEnforceableRefreshListener,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\ui\adapter\FeaturesViewAdapter.java,com.owncloud.android.ui.adapter.FeaturesViewAdapter,class,6,6,0,6,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\utils\EncryptionUtils.java,com.owncloud.android.utils.EncryptionUtils,class,45,57,12,45,144,1,0,210,2406,0.9494047,0.0,0.0,72,71,71,1,0,0,71,0,0,0,14,14,10,4,0,0,14,0,138,768,85,11,29,9,9,70,51,241,24,230,3,8,0,0,315,17,0
D:\laboratorio-02-repositorios-java\.\repositories\android\app\src\main\java\com\owncloud\android\utils\FileUtil.java,com.owncloud.android.utils.FileUtil,class,3,5,2,3,6,1,0,9,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,27,5,0,0,1,0,3,0,1,1,1,2,0,0,0,36,17,0
