file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,class,32,33,1,32,12,1,0,43,28,0.875,0.0,0.0,8,7,2,6,0,0,2,0,0,0,1,1,1,0,0,0,1,0,4,72,3,0,2,0,2,0,0,15,0,37,1,0,0,11,78,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\resolvers\type\ResultsTypeResolver.java,com.linkedin.datahub.graphql.resolvers.type.ResultsTypeResolver,class,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,11,1,0,0,0,0,2,0,1,1,1,1,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-io\src\main\java\com\linkedin\metadata\search\elasticsearch\query\request\SearchAfterWrapper.java,com.linkedin.metadata.search.elasticsearch.query.request.SearchAfterWrapper,class,4,11,7,4,4,1,0,7,1,1.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,2,21,2,0,0,2,0,2,0,0,2,3,1,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-io\src\test\java\com\linkedin\metadata\trace\MCLTraceReaderTest.java,com.linkedin.metadata.trace.MCLTraceReaderTest,class,11,12,1,11,6,2,0,35,15,0.0,0.0,0.0,6,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,3,9,0,9,0,0,0,1,53,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-integration\java\acryl-spark-lineage\src\main\java\io\openlineage\spark\api\VendorsContext.java,io.openlineage.spark.api.VendorsContext,class,0,3,3,0,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\resolvers\mutate\MoveDomainResolver.java,com.linkedin.datahub.graphql.resolvers.mutate.MoveDomainResolver,class,17,17,0,17,11,1,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,7,47,2,0,3,1,0,10,0,6,0,8,4,0,0,1,56,1,1
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-jobs\mae-consumer\src\main\java\com\linkedin\metadata\kafka\listener\mcl\MCLKafkaListenerRegistrar.java,com.linkedin.metadata.kafka.listener.mcl.MCLKafkaListenerRegistrar,class,19,21,2,19,6,2,0,7,7,0.75,0.0,0.0,6,0,2,0,4,0,6,0,0,0,6,0,0,6,0,0,2,0,1,29,5,0,0,0,0,8,0,3,2,7,0,0,0,0,56,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-service\factories\src\test\java\com\linkedin\gms\factory\system_telemetry\RequestMetricsConfigurationTest.java,com.linkedin.gms.factory.system_telemetry.RequestMetricsConfigurationTest$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\test\java\com\linkedin\datahub\graphql\resolvers\versioning\VersionsSearchResolverTest.java,com.linkedin.datahub.graphql.resolvers.versioning.VersionsSearchResolverTest,class,25,26,1,25,4,1,0,62,0,0.6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,5,5,0,5,0,0,5,0,16,61,1,0,0,0,0,44,17,29,0,31,0,0,0,3,80,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-upgrade\src\main\java\com\linkedin\datahub\upgrade\config\SystemUpdateConfig.java,com.linkedin.datahub.upgrade.config.SystemUpdateConfig,class,29,29,0,29,8,1,0,4,20,0.7083333,0.0,0.0,8,0,5,0,3,0,8,0,0,0,3,0,0,3,0,0,0,0,1,31,8,0,0,0,0,21,0,2,0,5,0,0,0,0,81,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\test\java\com\linkedin\datahub\graphql\resolvers\link\AddLinkResolverTest.java,com.linkedin.datahub.graphql.resolvers.link.AddLinkResolverTest,class,15,16,1,15,8,1,0,21,6,0.625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,4,4,0,4,0,0,4,0,29,128,0,0,0,0,0,9,7,61,0,61,0,0,0,2,66,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-frontend\app\controllers\SsoCallbackController.java,controllers.SsoCallbackController$SsoCallbackLogic,innerclass,10,10,0,10,3,1,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,1,0,1,1,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-integration\java\datahub-client\src\main\java\datahub\client\rest\RestEmitterConfig.java,datahub.client.rest.RestEmitterConfig,class,7,12,5,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,14,4,4,0,0,10,4,0,0,38,0,0,0,0,0,2,4,12,0,14,0,0,1,0,49,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-integration\java\datahub-event\src\main\java\datahub\event\MetadataChangeProposalWrapper.java,datahub.event.MetadataChangeProposalWrapper$Build,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-frontend\app\security\PropertyFileLoginModule.java,security.PropertyFileLoginModule,class,4,7,3,4,25,1,0,19,0,0.4571429,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,1,0,7,0,0,1,0,0,86,9,0,4,2,0,16,0,20,2,15,2,0,0,1,57,1,9
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-graphql-core\src\test\java\com\linkedin\datahub\graphql\resolvers\role\AcceptRoleResolverTest.java,com.linkedin.datahub.graphql.resolvers.role.AcceptRoleResolverTest,class,11,11,0,11,5,1,0,24,0,0.38181818,0.0,0.0,5,0,5,0,0,0,5,0,0,0,11,4,0,11,0,0,4,0,0,69,0,0,0,0,0,7,2,20,0,20,0,0,0,2,65,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-upgrade\src\main\java\com\linkedin\datahub\upgrade\system\restoreindices\domaindescription\ReindexDomainDescriptionStep.java,com.linkedin.datahub.upgrade.system.restoreindices.domaindescription.ReindexDomainDescriptionStep,class,7,8,1,7,4,2,0,0,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,3,0,0,1,0,0,0,0,0,32,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-integration\java\datahub-client\src\test\java\datahub\client\rest\RestEmitterTest.java,datahub.client.rest.RestEmitterTest,class,22,23,1,22,27,1,0,91,91,0.0,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,33,251,5,4,0,9,6,119,27,105,27,121,3,1,0,19,120,1,1
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-io\src\main\java\com\linkedin\metadata\timeline\eventgenerator\EntityChangeEventGenerator.java,com.linkedin.metadata.timeline.eventgenerator.EntityChangeEventGenerator,class,10,33,23,10,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-io\src\test\java\com\linkedin\metadata\ingestion\validators\ModifyIngestionSourceAuthValidatorTest.java,com.linkedin.metadata.ingestion.validators.ModifyIngestionSourceAuthValidatorTest,class,15,15,0,15,12,1,0,43,0,0.37499997,0.0,0.0,10,0,10,0,0,0,11,0,0,0,8,3,0,8,0,0,3,0,17,84,0,0,0,1,0,38,8,22,0,24,1,0,0,0,87,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\datahub-upgrade\src\main\java\com\linkedin\datahub\upgrade\common\steps\ClearSearchServiceStep.java,com.linkedin.datahub.upgrade.common.steps.ClearSearchServiceStep,class,7,11,4,7,8,1,0,8,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,37,8,0,0,1,0,3,1,2,0,3,2,0,0,1,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-service\factories\src\main\java\com\linkedin\gms\factory\auth\SystemAuthenticationFactory.java,com.linkedin.gms.factory.auth.SystemAuthenticationFactory,class,9,11,2,9,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,1,8,1,0,0,0,0,5,0,1,0,3,0,0,0,0,24,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-service\restli-client\src\main\java\com\linkedin\BatchGetUtils.java,com.linkedin.BatchGetUtils,class,11,11,0,11,3,1,0,22,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,16,1,1,0,0,0,0,2,6,1,9,1,0,0,3,29,17,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-jobs\mae-consumer-job\src\main\java\com\linkedin\metadata\kafka\CustomDispatcherServlet.java,com.linkedin.metadata.kafka.CustomDispatcherServlet,class,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\datahub\metadata-io\src\main\java\com\linkedin\metadata\entity\ebean\EbeanSystemAspect.java,com.linkedin.metadata.entity.ebean.EbeanSystemAspect$EbeanSystemAspectBuilder,innerclass,12,12,0,12,4,1,0,21,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,31,4,0,0,0,0,0,0,17,0,4,0,0,0,2,29,9,0
