file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\enso\engine\runtime-integration-tests\src\test\java\org\enso\interpreter\test\scope\ModuleScopeTest.java,org.enso.interpreter.test.scope.ModuleScopeTest,class,9,9,0,9,5,1,0,31,2,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,2,0,0,0,1,0,6,57,0,0,0,1,0,20,1,34,0,34,1,0,0,0,51,1,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\std-bits\table\src\main\java\org\enso\table\operations\AddRunning.java,org.enso.table.operations.AddRunning$RunningMeanIterator,innerclass,1,1,0,1,3,3,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,14,1,0,0,0,0,0,1,1,1,1,0,0,0,0,12,10,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\lib\scala\profiling-utils\src\main\java\org\enso\profiling\snapshot\HeapDumpSnapshot.java,org.enso.profiling.snapshot.HeapDumpSnapshot,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\std-bits\base\src\main\java\org\enso\base\text\StringSlice.java,org.enso.base.text.StringSlice,class,1,3,2,1,5,1,0,3,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,21,4,0,0,0,0,0,0,3,4,3,0,0,0,0,28,0,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\std-bits\table\src\main\java\org\enso\table\data\column\operation\NumericColumnAdapter.java,org.enso.table.data.column.operation.NumericColumnAdapter,interface,6,11,5,6,8,1,0,4,6,1.0,0.0,0.0,4,0,0,0,0,4,5,0,0,0,1,0,0,0,0,1,0,0,0,32,3,1,0,0,0,0,0,1,0,2,2,0,1,0,20,0,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\std-bits\aws\src\main\java\org\enso\aws\SignedHttpClient.java,org.enso.aws.SignedHttpClient,class,4,6,2,4,28,2,0,81,24,0.8308823,0.0,0.0,17,4,12,3,0,2,14,0,0,0,8,3,0,8,0,0,8,0,25,135,14,2,4,3,1,52,10,39,10,42,3,0,0,6,124,0,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\engine\runtime-compiler\src\main\java\org\enso\compiler\context\CompilerContext.java,org.enso.compiler.context.CompilerContext,interface,14,18,4,14,29,1,0,0,406,0.0,0.0,0.0,29,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,160,1,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\test\Benchmarks\polyglot-sources\benchmark-java-helpers\src\main\java\org\enso\benchmark_helpers\PanicsHelpers.java,org.enso.benchmark_helpers.PanicsHelpers$MyException,innerclass,0,0,0,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\lib\java\jvm-channel\src\test\java\org\enso\jvm\channel\ChannelInSingleJvmTest.java,org.enso.jvm.channel.ChannelInSingleJvmTest,class,10,10,0,10,12,2,0,14,45,0.0,0.0,0.0,10,3,6,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,4,79,2,0,0,0,0,12,21,14,5,12,0,0,2,0,50,1,0
D:\laboratorio-02-repositorios-java\.\repositories\enso\engine\runtime-compiler\src\test\java\org\enso\compiler\test\CompilerErrorTest.java,org.enso.compiler.test.CompilerErrorTest,class,5,5,0,5,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,19,0,0,0,1,1,3,0,6,1,6,1,0,0,0,33,17,0
