file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,class,6,7,1,6,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\annotation\AnnotationIndexAndNameDataListener.java,cn.idev.excel.annotation.AnnotationIndexAndNameDataListener,class,4,5,1,4,2,2,0,10,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,0,5,3,2,0,2,0,0,0,0,16,1,1
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,class,3,4,1,3,12,1,0,17,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,19,24,19,0,19,0,0,0,0,33,0,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\ConfigurationHolder.java,cn.idev.excel.metadata.ConfigurationHolder,interface,4,18,14,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\context\xls\DefaultXlsReadContext.java,cn.idev.excel.context.xls.DefaultXlsReadContext,class,6,7,1,6,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\data\ImageData.java,cn.idev.excel.metadata.data.ImageData,class,6,8,2,6,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,1,0,38,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,class,9,10,1,9,8,1,0,21,10,0.0,0.0,0.0,5,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,65,3,3,0,0,0,15,15,22,3,22,1,0,0,0,38,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\FieldCache.java,cn.idev.excel.metadata.FieldCache,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelWriteDataConvertException.java,cn.idev.excel.exception.ExcelWriteDataConvertException,class,5,6,1,5,2,6,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,class,8,9,1,8,10,1,0,23,36,0.0,0.0,0.0,9,0,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,120,1,1,0,5,0,65,7,43,18,41,1,1,0,0,84,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\read\IndexOrNameDataListener.java,cn.idev.excel.demo.read.IndexOrNameDataListener,class,5,7,2,5,4,2,0,6,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,20,0,0,0,0,0,4,1,3,0,2,1,0,0,0,56,1,4
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\cache\CacheInvokeData.java,cn.idev.excel.cache.CacheInvokeData,class,4,7,3,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,interface,6,21,15,6,14,1,0,7,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,7,0,0,0,0,4,0,3,1,0,0,0,77,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelAnalysisException.java,cn.idev.excel.exception.ExcelAnalysisException,class,1,14,13,1,4,5,2,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\metadata\holder\ReadSheetHolder.java,cn.idev.excel.read.metadata.holder.ReadSheetHolder,class,11,19,8,11,3,3,3,2,3,0.78787875,0.0,0.0,3,0,3,0,0,0,3,0,0,0,11,0,0,11,0,0,0,0,0,28,2,0,0,0,0,0,1,6,0,11,0,0,0,0,56,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\format\DataFormatter.java,cn.idev.excel.metadata.format.DataFormatter$PhoneFormat,innerclass,2,2,0,2,7,2,0,12,4,0.5,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,5,31,4,0,0,0,0,3,11,7,5,7,1,0,0,0,35,26,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\write\metadata\holder\WriteWorkbookHolder.java,cn.idev.excel.write.metadata.holder.WriteWorkbookHolder,class,28,49,21,28,39,3,0,53,1,0.80303025,0.0,0.0,6,0,5,1,0,0,5,0,0,0,22,0,0,22,0,0,0,0,15,209,12,0,25,3,6,4,1,52,0,39,3,0,0,1,156,1,1
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\FastExcelFactory.java,cn.idev.excel.FastExcelFactory,class,9,35,26,9,28,1,2,25,378,0.0,0.0,0.0,28,28,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,17,86,28,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\csv\CsvSheet.java,cn.idev.excel.metadata.csv.CsvSheet,class,35,39,4,35,155,1,0,44,8040,0.96875,0.0,0.0,128,0,126,2,0,0,126,0,0,0,7,0,1,6,0,0,0,0,5,437,78,3,12,2,1,3,24,23,4,15,4,0,0,0,200,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\WriteV33Test.java,cn.idev.excel.temp.WriteV33Test$Anonymous1,anonymous,4,4,0,4,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,3,1,0,0,0,12,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\cache\XlsCache.java,cn.idev.excel.cache.XlsCache,class,3,4,1,3,6,1,0,2,13,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\parameter\DateWindowingTest.java,cn.idev.excel.parameter.DateWindowingTest,class,9,10,1,9,6,1,0,15,4,0.59999996,0.0,0.0,5,1,1,1,0,3,4,0,0,0,8,8,0,8,0,0,0,0,8,59,1,1,0,0,0,9,2,11,1,11,1,0,0,2,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\FieldWrapper.java,cn.idev.excel.metadata.FieldWrapper,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\enums\CellDataTypeEnum.java,cn.idev.excel.enums.CellDataTypeEnum,enum,2,53,51,2,3,1,0,3,0,0.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,24,2,0,0,0,0,6,1,1,0,1,1,0,0,0,58,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\bom\BomDataTest.java,cn.idev.excel.bom.BomDataTest,class,13,14,1,13,7,1,0,20,10,0.0,0.0,0.0,5,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,68,1,1,1,0,0,25,3,5,10,4,1,2,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\simple\WriteData.java,cn.idev.excel.temp.simple.WriteData,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\format\ExcelGeneralNumberFormat.java,cn.idev.excel.metadata.format.ExcelGeneralNumberFormat,class,1,2,1,1,12,2,0,12,1,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,6,2,0,6,0,0,6,0,6,46,5,0,1,0,2,4,6,10,0,9,2,0,0,0,55,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\property\FontProperty.java,cn.idev.excel.metadata.property.FontProperty,class,7,13,6,7,16,1,0,29,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,9,0,0,9,0,0,0,0,2,67,4,0,2,0,0,0,10,2,0,11,1,0,0,0,59,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\data\ImageData.java,cn.idev.excel.metadata.data.ImageData$ImageType,enum,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,6,1,0,1,0,0,0,0,33,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\multiplesheets\MultipleSheetsData.java,cn.idev.excel.multiplesheets.MultipleSheetsData,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\rare\WriteTest.java,cn.idev.excel.demo.rare.WriteTest,class,8,9,1,8,5,1,0,16,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,65,1,2,0,1,0,10,5,9,3,9,2,3,0,0,61,1,3
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\write\metadata\RowData.java,cn.idev.excel.write.metadata.RowData,interface,0,3,3,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\write\ConverterData.java,cn.idev.excel.demo.write.ConverterData,class,7,8,1,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\head\NoHeadData.java,cn.idev.excel.head.NoHeadData,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\annotation\AnnotationData.java,cn.idev.excel.annotation.AnnotationData,class,10,12,2,10,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,7,0,0,0,0,0,5,3,1,0,5,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\event\Order.java,cn.idev.excel.event.Order,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\date\DateStringConverter.java,cn.idev.excel.converters.date.DateStringConverter,class,7,8,1,7,8,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,24,6,0,4,0,0,0,0,0,0,0,1,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\celldata\CellDataDataListener.java,cn.idev.excel.celldata.CellDataDataListener,class,4,5,1,4,3,2,0,15,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,1,0,0,3,5,2,0,2,1,0,0,0,15,1,1
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\write\ImageDemoData.java,cn.idev.excel.demo.write.ImageDemoData,class,9,10,1,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,3,0,1,6,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\write\handler\context\SheetWriteHandlerContext.java,cn.idev.excel.write.handler.context.SheetWriteHandlerContext,class,7,12,5,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\handler\WriteHandlerTest.java,cn.idev.excel.handler.WriteHandlerTest,class,13,14,1,13,15,1,0,17,55,0.7142857,0.0,0.0,14,1,10,4,0,0,10,0,0,0,3,3,0,3,0,0,0,0,3,61,1,1,0,0,0,4,3,9,1,9,1,0,0,0,32,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\hiddensheets\HiddenSheetsTest.java,cn.idev.excel.hiddensheets.HiddenSheetsTest,class,9,10,1,9,11,1,0,20,14,0.5555556,0.0,0.0,9,1,6,3,0,0,6,0,0,0,2,2,0,2,0,0,0,0,2,60,0,0,0,2,0,5,6,7,2,7,2,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\event\Handler.java,cn.idev.excel.event.Handler,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\write\style\column\LongestMatchColumnWidthStyleStrategy.java,cn.idev.excel.write.style.column.LongestMatchColumnWidthStyleStrategy,class,9,10,1,9,12,2,0,18,1,0.5,NaN,NaN,2,0,0,1,1,0,1,0,0,0,2,1,0,2,0,0,2,0,1,43,8,0,2,0,0,0,8,9,1,9,1,0,0,1,68,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\byteconverter\ByteStringConverter.java,cn.idev.excel.converters.byteconverter.ByteStringConverter,class,7,8,1,7,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\metadata\ReadWorkbook.java,cn.idev.excel.read.metadata.ReadWorkbook,class,10,27,17,10,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,0,0,122,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\bigdecimal\BigDecimalBooleanConverter.java,cn.idev.excel.converters.bigdecimal.BigDecimalBooleanConverter,class,6,7,1,6,6,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,1,0,0,0,53,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\bom\BomData.java,cn.idev.excel.bom.BomData,class,4,7,3,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\data\CoordinateData.java,cn.idev.excel.metadata.data.CoordinateData,class,3,5,2,3,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\util\Validate.java,cn.idev.excel.util.Validate,class,2,4,2,2,10,1,0,5,15,0.8333333,0.0,0.0,6,6,6,0,0,0,6,0,0,0,2,2,0,2,0,0,2,0,8,30,2,0,0,0,0,2,0,2,0,2,1,0,0,1,99,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\localdate\LocalDateNumberConverter.java,cn.idev.excel.converters.localdate.LocalDateNumberConverter,class,7,8,1,7,8,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,24,6,0,4,0,0,0,0,0,0,0,1,0,0,0,24,1,0
