file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\assigners\MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,class,18,22,4,18,33,1,0,47,0,0.7254903,0.0,0.0,17,0,15,2,0,0,15,0,0,0,6,2,0,6,0,0,5,0,12,112,12,2,3,0,0,1,0,21,0,15,2,0,0,0,90,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\source\fetch\Db2SourceFetchTaskContext.java,org.apache.flink.cdc.connectors.db2.source.fetch.Db2SourceFetchTaskContext$Db2EventMetadataProvider,innerclass,4,4,0,4,10,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,33,9,0,7,0,0,0,0,4,0,4,1,0,0,0,27,9,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-runtime\src\main\java\org\apache\flink\cdc\runtime\partitioning\PostPartitionProcessor.java,org.apache.flink.cdc.runtime.partitioning.PostPartitionProcessor,class,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\test\java\org\apache\flink\cdc\connectors\db2\testutils\TestTable.java,org.apache.flink.cdc.connectors.db2.testutils.TestTable,class,9,10,1,9,11,1,0,15,14,0.76785713,0.0,0.0,8,0,8,0,0,0,8,0,0,0,7,0,0,7,0,0,4,0,2,45,7,0,3,0,0,1,0,7,0,7,1,0,0,0,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\configuration\StructuredOptionsSplitter.java,org.apache.flink.cdc.common.configuration.StructuredOptionsSplitter$TokenType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\types\DecimalType.java,org.apache.flink.cdc.common.types.DecimalType,class,5,21,16,5,22,2,0,8,0,0.8055556,0.0,0.0,12,0,12,0,0,0,12,0,0,0,9,7,5,4,0,0,9,0,4,65,11,0,5,0,0,3,6,10,0,10,1,0,0,0,65,17,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-paimon\src\main\java\org\apache\flink\cdc\connectors\paimon\sink\v2\PaimonRecordSerializer.java,org.apache.flink.cdc.connectors.paimon.sink.v2.PaimonRecordSerializer,interface,2,8,6,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-postgres-cdc\src\main\java\org\apache\flink\cdc\connectors\postgres\PostgreSQLSource.java,org.apache.flink.cdc.connectors.postgres.PostgreSQLSource$Builder,innerclass,5,5,0,5,15,1,0,8,44,0.8333334,0.0,0.0,12,0,12,0,0,0,12,0,0,0,11,0,0,11,0,0,0,0,4,80,12,0,3,0,0,17,1,15,0,12,1,0,0,0,130,9,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\test\java\org\apache\flink\cdc\connectors\mysql\source\reader\MySqlSourceReaderTest.java,org.apache.flink.cdc.connectors.mysql.source.reader.MySqlSourceReaderTest$MysqlLimitedRecordEmitter,innerclass,18,18,0,18,23,2,0,32,7,0.71428573,0.0,0.0,6,0,2,3,1,0,3,0,0,0,7,2,0,7,0,0,7,0,11,88,1,2,2,0,0,1,3,18,1,17,2,0,1,0,92,10,1
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-vitess-cdc\src\test\java\org\apache\flink\cdc\connectors\vitess\VitessTestBase.java,org.apache.flink.cdc.connectors.vitess.VitessTestBase,class,7,11,4,7,7,2,2,40,0,0.5,0.0,0.0,4,2,1,0,1,2,4,0,0,0,3,3,0,2,1,0,3,0,9,36,2,1,0,1,0,13,1,9,1,11,2,0,0,2,65,1025,4
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-fluss\src\test\java\org\apache\flink\cdc\connectors\fluss\FlussPipelineITCase.java,org.apache.flink.cdc.connectors.fluss.FlussPipelineITCase,class,30,31,1,30,16,1,0,70,83,0.9047619,0.0,0.0,15,1,0,4,0,11,12,0,0,0,7,6,1,2,1,3,6,0,113,181,2,0,0,0,0,126,8,63,5,63,0,0,0,3,166,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mongodb-cdc\src\main\java\org\apache\flink\cdc\connectors\mongodb\source\reader\fetch\MongoDBScanFetchTask.java,org.apache.flink.cdc.connectors.mongodb.source.reader.fetch.MongoDBScanFetchTask,class,25,27,2,25,11,2,0,41,21,0.85714287,0.0,0.0,7,0,1,1,5,0,6,0,0,0,1,1,0,1,0,0,1,0,13,73,1,1,1,1,0,3,4,21,1,19,3,0,0,0,81,1,1
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-runtime\src\main\java\org\apache\flink\cdc\runtime\operators\schema\common\event\FlushSuccessEvent.java,org.apache.flink.cdc.runtime.operators.schema.common.event.FlushSuccessEvent,class,2,7,5,2,10,1,0,1,0,0.44444442,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,3,0,1,31,7,0,3,0,1,3,1,4,2,4,1,0,0,0,43,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\event\EventDeserializer.java,org.apache.flink.cdc.common.event.EventDeserializer,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-runtime\src\main\java\org\apache\flink\cdc\runtime\operators\schema\regular\BatchSchemaOperator.java,org.apache.flink.cdc.runtime.operators.schema.regular.BatchSchemaOperator,class,21,22,1,21,13,2,0,28,8,0.75,0.0,0.0,8,0,4,4,0,0,4,0,0,0,11,2,0,9,2,0,4,0,2,79,1,1,0,1,0,3,1,20,1,20,2,0,0,3,98,1,1
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\types\DataTypes.java,org.apache.flink.cdc.common.types.DataTypes$LengthExtractor,innerclass,6,6,0,6,5,2,0,6,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\main\java\org\apache\flink\cdc\connectors\base\source\meta\split\StreamSplitState.java,org.apache.flink.cdc.connectors.base.source.meta.split.StreamSplitState,class,8,13,5,8,9,2,0,11,8,0.59259266,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,1,0,0,36,5,0,0,0,0,4,0,6,2,4,0,0,0,0,31,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-maxcompute\src\main\java\org\apache\flink\cdc\connectors\maxcompute\common\Constant.java,org.apache.flink.cdc.connectors.maxcompute.common.Constant,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,5,0,5,0,5,0,0,0,0,24,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-paimon\src\test\java\org\apache\flink\cdc\connectors\paimon\sink\v2\TestMultiTableCommittableChannelComputer.java,org.apache.flink.cdc.connectors.paimon.sink.v2.TestMultiTableCommittableChannelComputer,class,6,6,0,6,2,1,0,14,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,21,0,1,0,0,0,30,15,7,0,8,1,0,0,1,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\main\java\org\apache\flink\cdc\connectors\oracle\source\utils\OracleUtils.java,org.apache.flink.cdc.connectors.oracle.source.utils.OracleUtils,class,15,19,4,15,48,1,0,54,136,0.0,0.0,0.0,17,16,9,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,193,19,7,2,1,0,44,15,32,10,32,3,0,0,3,149,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-values\src\main\java\org\apache\flink\cdc\connectors\values\ValuesDatabase.java,org.apache.flink.cdc.connectors.values.ValuesDatabase,class,13,20,7,13,13,1,0,24,0,0.35714287,0.0,0.0,7,7,7,0,0,0,7,0,0,0,2,2,0,2,0,0,2,0,0,346,3,1,0,0,1,7,0,11,7,12,2,0,4,1,39,1,2
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-composer\src\main\java\org\apache\flink\cdc\composer\flink\translator\PartitioningTranslator.java,org.apache.flink.cdc.composer.flink.translator.PartitioningTranslator,class,18,20,2,18,7,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,7,0,1,0,1,0,0,0,0,42,1,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\test\java\org\apache\flink\cdc\connectors\db2\Db2ParallelSourceExampleTest.java,org.apache.flink.cdc.connectors.db2.Db2ParallelSourceExampleTest,class,8,8,0,8,1,2,0,23,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,6,3,2,0,2,0,0,0,0,39,0,0
D:\laboratorio-02-repositorios-java\.\repositories\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\utils\TimeUtils.java,org.apache.flink.cdc.common.utils.TimeUtils$TimeUnit,enum,1,1,0,1,7,1,0,15,17,0.7619047,0.0,0.0,7,4,3,3,0,1,4,0,0,0,3,1,0,3,0,0,3,0,26,26,6,0,0,0,0,24,0,3,2,4,0,0,0,1,52,2,0
