file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-alerter\src\main\java\org\apache\hertzbeat\alert\expr\AlertExpressionParser.java,org.apache.hertzbeat.alert.expr.AlertExpressionParser$FunctionCallContext,innerclass,8,8,0,8,8,2,0,4,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,1,1,4,0,0,0,1,0,0,0,30,9,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,class,9,9,0,9,7,1,0,18,0,0.5555555,0.0,0.0,6,0,0,0,0,6,6,0,0,0,3,0,0,3,0,0,0,0,3,38,0,0,0,1,0,7,0,11,0,12,1,0,0,0,41,0,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-alerter\src\test\java\org\apache\hertzbeat\alert\service\DataSourceServiceTest.java,org.apache.hertzbeat.alert.service.DataSourceServiceTest,class,6,6,0,6,32,1,0,28,0,0.0,0.0,0.0,32,0,0,0,0,32,32,0,0,0,1,0,0,1,0,0,0,0,134,383,0,0,0,0,0,406,203,119,4,119,0,1,0,1,84,0,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-collector\hertzbeat-collector-collector\src\main\java\org\apache\hertzbeat\collector\dispatch\CommonDispatcher.java,org.apache.hertzbeat.collector.dispatch.CommonDispatcher$MetricsTime,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,12,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-warehouse\src\main\java\org\apache\hertzbeat\warehouse\store\realtime\RealTimeDataReader.java,org.apache.hertzbeat.warehouse.store.realtime.RealTimeDataReader,interface,2,10,8,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\template-marketplace\hertzbeat-template-hub\src\main\java\org\apache\hertzbeat\templatehub\model\dao\AuthUserDao.java,org.apache.hertzbeat.templatehub.model.DAO.AuthUserDao,interface,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,1,0,0,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-alerter\src\main\java\org\apache\hertzbeat\alert\notice\impl\AbstractAlertNotifyHandlerImpl.java,org.apache.hertzbeat.alert.notice.impl.AbstractAlertNotifyHandlerImpl,class,12,26,14,12,13,1,14,25,1,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,4,1,0,1,3,0,1,0,0,67,3,1,2,0,0,22,1,10,0,11,2,0,0,0,61,1024,1
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-common\src\main\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializer.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializer,class,6,8,2,6,6,1,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,27,4,0,1,1,0,2,0,3,0,3,1,0,0,0,31,1,2
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\template-marketplace\hertzbeat-template-hub\src\test\java\org\apache\hertzbeat\templatehub\controller\TemplateControllerTest.java,org.apache.hertzbeat.templatehub.controller.TemplateControllerTest,class,15,15,0,15,6,1,0,36,0,0.4583333,0.0,0.0,6,0,0,0,0,6,6,0,0,0,4,0,0,4,0,0,1,0,0,45,0,0,0,0,0,28,23,8,0,10,0,0,0,0,63,0,0
D:\laboratorio-02-repositorios-java\.\repositories\hertzbeat\hertzbeat-manager\src\main\java\org\apache\hertzbeat\manager\service\impl\TemplateConfigServiceImpl.java,org.apache.hertzbeat.manager.service.impl.TemplateConfigServiceImpl,class,8,11,3,8,5,2,0,2,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,22,2,0,1,0,0,0,0,0,0,1,1,1,0,0,31,1,0
