file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\flink\v2.0\flink\src\main\java\org\apache\iceberg\flink\source\RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,class,18,30,11,19,18,2,0,44,0,0.5666667,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,0,0,5,0,0,5,0,1,98,6,0,5,0,0,2,0,20,1,19,2,0,1,3,62,1,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\spark\v4.0\spark\src\test\java\org\apache\iceberg\spark\source\TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,class,18,20,1,19,11,4,0,42,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,107,0,0,0,0,1,167,43,27,0,26,0,0,0,5,118,1,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\core\src\main\java\org\apache\iceberg\rest\requests\PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,class,3,7,4,3,14,1,0,5,11,0.6931819,0.0,0.0,11,0,10,1,0,0,10,0,0,0,8,0,0,8,0,0,8,0,0,98,9,0,3,0,1,9,0,8,0,8,0,0,1,0,33,1,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\parquet\src\main\java\org\apache\iceberg\parquet\ParquetValueReaders.java,org.apache.iceberg.parquet.ParquetValueReaders$FloatAsDoubleReader,innerclass,3,3,0,3,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\core\src\main\java\org\apache\iceberg\V2Metadata.java,org.apache.iceberg.V2Metadata,class,7,12,5,7,4,1,0,5,6,0.75,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,0,0,1,1,0,2,352,3,0,0,0,0,1,0,1,0,1,0,0,3,0,112,0,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\core\src\test\java\org\apache\iceberg\data\avro\TestDecoderResolver.java,org.apache.iceberg.data.avro.TestDecoderResolver,class,7,8,1,7,8,1,0,25,21,0.0,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,89,3,0,1,0,0,14,22,24,0,18,1,0,0,1,36,1,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\spark\v4.0\spark\src\test\java\org\apache\iceberg\spark\CatalogTestBase.java,org.apache.iceberg.spark.CatalogTestBase,class,5,34,29,5,1,4,71,9,0,0.0,NaN,NaN,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\api\src\main\java\org\apache\iceberg\actions\DeleteReachableFiles.java,org.apache.iceberg.actions.DeleteReachableFiles,interface,4,7,3,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\flink\v2.0\flink\src\main\java\org\apache\iceberg\flink\source\reader\ListBatchRecords.java,org.apache.iceberg.flink.source.reader.ListBatchRecords,class,5,7,2,5,6,1,0,6,0,0.52,0.0,0.0,5,1,4,0,0,1,5,0,0,0,5,0,0,5,0,0,3,0,1,36,5,0,0,0,0,1,1,7,0,6,1,0,0,0,25,0,0
D:\laboratorio-02-repositorios-java\.\repositories\iceberg\api\src\main\java\org\apache\iceberg\transforms\Hours.java,org.apache.iceberg.transforms.Hours,class,8,16,8,8,11,2,0,5,28,0.875,0.0,0.0,8,1,4,0,2,2,8,0,0,0,1,1,0,1,0,0,1,0,4,27,8,0,3,0,0,4,0,1,0,1,0,0,0,0,31,1,0
