file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\jupiter-tests\src\test\java\org\junit\jupiter\engine\extension\TestWatcherTests.java,org.junit.jupiter.engine.extension.TestWatcherTests$DataRetrievingTestWatcherTestCase,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,8,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,class,6,6,0,6,5,1,0,23,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,21,0,18,0,18,0,1,0,0,69,1,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\junit-platform-reporting\src\main\java\org\junit\platform\reporting\legacy\xml\XmlReportWriter.java,org.junit.platform.reporting.legacy.xml.XmlReportWriter$AggregatedTestResult$Type,enum,2,2,0,2,4,1,0,5,1,0.0,-1.0,-1.0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,1,0,0,0,0,1,0,1,1,0,0,0,24,0,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\jupiter-tests\src\test\java\org\junit\jupiter\engine\NestedWithInheritanceTests.java,org.junit.jupiter.engine.NestedWithInheritanceTests,class,5,6,1,5,0,3,0,3,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,3,0,4,0,0,1,0,17,0,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\junit-vintage-engine\src\testFixtures\java\org\junit\vintage\engine\samples\junit4\JUnit4SuiteWithExceptionThrowingRunner.java,org.junit.vintage.engine.samples.junit4.JUnit4SuiteWithExceptionThrowingRunner,class,3,4,1,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\jupiter-tests\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,innerclass,8,8,0,8,5,1,0,1,0,0.0,0.0,0.0,5,2,0,0,0,5,5,0,0,0,1,1,0,0,0,1,1,0,5,18,0,0,0,0,0,7,0,1,0,1,0,0,0,0,17,8,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\junit-vintage-engine\src\testFixtures\java\org\junit\vintage\engine\samples\junit4\JUnit4ParallelClassesTestCase.java,org.junit.vintage.engine.samples.junit4.JUnit4ParallelClassesTestCase$ThirdClassTestCase,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\platform-tests\src\test\java\org\junit\platform\commons\util\ExceptionUtilsTests.java,org.junit.platform.commons.util.ExceptionUtilsTests,class,8,9,1,8,11,1,0,20,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,61,0,0,0,1,0,27,3,13,3,15,1,0,0,7,64,0,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java,org.junit.platform.commons.util.ReflectionUtilsTests$OuterClass$InnerSiblingClass,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\laboratorio-02-repositorios-java\.\repositories\junit-framework\junit-platform-launcher\src\main\java\org\junit\platform\launcher\jfr\FlightRecordingExecutionListener.java,org.junit.platform.launcher.jfr.FlightRecordingExecutionListener$ExecutionEvent,innerclass,3,3,0,3,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1032,0
