file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-http-client\src\main\java\dev\langchain4j\http\client\log\HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,class,4,7,3,4,10,1,0,31,6,0.75,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,7,36,6,0,1,1,0,10,6,2,2,2,1,0,0,1,40,0,2
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\web\search\WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,class,3,3,0,3,6,1,0,28,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,17,12,7,0,7,0,0,0,1,47,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-mistral-ai\src\main\java\dev\langchain4j\model\mistralai\internal\client\MistralAiClientBuilderFactory.java,dev.langchain4j.model.mistralai.internal.client.MistralAiClientBuilderFactory,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-agentic-a2a\src\main\java\dev\langchain4j\agentic\a2a\A2AClientAgentInvoker.java,dev.langchain4j.agentic.a2a.A2AClientAgentInvoker,class,6,7,1,6,14,1,0,20,19,0.72727275,0.0,0.0,11,0,9,2,0,0,9,0,0,0,6,0,0,6,0,0,6,0,3,46,10,0,1,0,0,4,0,6,1,6,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\tool\ToolExecutionRequestUtilTest.java,dev.langchain4j.service.tool.ToolExecutionRequestUtilTest,class,7,7,0,7,9,1,0,21,36,0.0,0.0,0.0,9,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,10,51,1,0,0,0,4,76,4,14,0,15,1,0,0,1,37,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-ollama\src\main\java\dev\langchain4j\model\ollama\OllamaStreamingChatModel.java,dev.langchain4j.model.ollama.OllamaStreamingChatModel$OllamaStreamingChatModelBuilder,innerclass,3,3,0,3,3,2,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\StreamingAiServicesWithToolsWithoutMemoryIT.java,dev.langchain4j.service.StreamingAiServicesWithToolsWithoutMemoryIT$Assistant,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-oracle\src\main\java\dev\langchain4j\store\embedding\oracle\SQLFilter.java,dev.langchain4j.store.embedding.oracle.SQLFilter,interface,1,10,9,1,3,1,0,1,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,168,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-weaviate\src\test\java\dev\langchain4j\store\embedding\weaviate\CloudWeaviateEmbeddingStoreIT.java,dev.langchain4j.store.embedding.weaviate.CloudWeaviateEmbeddingStoreIT,class,10,10,0,10,5,2,0,14,6,0.75,0.0,0.0,4,0,0,0,4,0,4,0,0,0,5,2,0,2,0,3,2,0,1,24,2,0,0,1,0,8,0,6,1,6,1,0,0,0,47,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j\src\test\java\dev\langchain4j\service\output\EnumSetOutputParserTest.java,dev.langchain4j.service.output.EnumSetOutputParserTest,class,10,10,0,10,6,1,0,14,15,0.0,0.0,0.0,6,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,13,34,1,0,0,0,0,24,0,9,0,9,0,0,1,2,44,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j\src\main\java\dev\langchain4j\data\document\loader\DocumentParserLoader.java,dev.langchain4j.data.document.loader.DocumentParserLoader,class,3,5,2,3,3,1,0,3,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,2,1,1,1,1,1,0,0,0,26,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-google-ai-gemini\src\main\java\dev\langchain4j\model\googleai\GeminiTool.java,dev.langchain4j.model.googleai.GeminiTool,class,7,15,8,7,17,1,0,5,33,0.7,0.0,0.0,10,1,8,0,1,1,10,0,0,0,2,0,0,2,0,0,0,0,0,71,12,0,7,0,3,5,4,15,5,11,1,0,1,0,32,0,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\main\java\dev\langchain4j\guardrail\StreamingToSynchronousChatExecutor.java,dev.langchain4j.guardrail.StreamingToSynchronousChatExecutor$StreamingToSyncResponseHandler,innerclass,4,4,0,4,9,1,0,9,9,0.7083334,0.0,0.0,6,0,3,1,0,2,5,0,0,0,4,1,0,4,0,0,3,0,0,41,1,0,1,2,0,3,1,4,0,4,2,0,0,0,35,10,3
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-watsonx\src\main\java\dev\langchain4j\model\watsonx\WatsonxExecutorProvider.java,dev.langchain4j.model.watsonx.WatsonxExecutorProvider,class,2,2,0,2,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,3,19,2,0,0,0,0,0,1,3,0,4,2,0,0,2,15,1,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-vertex-ai\src\main\java\dev\langchain4j\model\vertexai\VertexAiScoringModel.java,dev.langchain4j.model.vertexai.VertexAiScoringModel,class,7,9,2,7,8,1,0,32,1,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,5,0,0,5,0,0,5,0,4,70,3,0,3,1,0,6,0,10,0,12,3,0,1,2,79,1,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\main\java\dev\langchain4j\rag\content\injector\DefaultContentInjector.java,dev.langchain4j.rag.content.injector.DefaultContentInjector$DefaultContentInjectorBuilder,innerclass,3,3,0,3,4,1,0,0,2,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,12,9,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\main\java\dev\langchain4j\rag\query\transformer\CompressingQueryTransformer.java,dev.langchain4j.rag.query.transformer.CompressingQueryTransformer,class,11,14,3,11,12,1,0,23,13,0.6666667,0.0,0.0,7,1,4,0,3,0,7,0,0,0,3,1,1,0,2,0,3,0,5,65,9,0,1,0,0,6,0,8,2,8,2,0,1,0,79,1,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\integration-tests\integration-tests-guardrails\src\test\java\dev\langchain4j\service\guardrail\OutputGuardrailChainOnStreamedResponseTests.java,dev.langchain4j.service.guardrail.OutputGuardrailChainOnStreamedResponseTests$FirstGuardrail,innerclass,5,5,0,5,6,1,0,12,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,2,0,1,28,5,0,0,1,0,0,2,3,0,3,1,0,0,0,26,9,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\main\java\dev\langchain4j\data\image\Image.java,dev.langchain4j.data.image.Image$Builder,innerclass,2,2,0,2,7,1,0,2,19,0.82142854,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,1,30,6,0,0,0,0,0,0,4,0,4,0,0,0,0,22,9,0
D:\laboratorio-02-repositorios-java\.\repositories\langchain4j\langchain4j-core\src\test\java\dev\langchain4j\store\embedding\filter\comparison\IsNotEqualToTest.java,dev.langchain4j.store.embedding.filter.comparison.IsNotEqualToTest,class,4,5,1,4,7,1,0,13,21,0.0,NaN,NaN,7,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,7,2,12,1,12,0,0,0,0,31,0,0
