file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,innerclass,11,11,0,11,24,1,0,14,145,0.78947365,0.0,0.0,19,0,19,0,0,0,19,0,0,0,2,0,1,1,0,0,2,0,1,85,14,0,2,0,0,4,6,13,1,9,1,0,0,0,55,10,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$DoTouchView,innerclass,1,1,0,1,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,6,2,0,1,0,0,0,0,22,9,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\opoc\util\GsFileUtils.java,net.gsantner.opoc.util.GsFileUtils$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\activity\DocumentActivity.java,net.gsantner.markor.activity.DocumentActivity,class,30,41,11,30,74,4,0,106,180,0.89000005,0.0,0.0,20,4,11,5,4,0,15,0,0,1,5,2,0,5,0,0,3,0,22,233,15,0,15,2,3,9,15,37,4,39,5,0,0,4,139,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\ApplicationObject.java,net.gsantner.markor.ApplicationObject,class,5,11,6,5,4,2,0,2,0,0.6666667,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,2,0,0,22,2,0,0,1,0,1,0,4,0,4,1,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\activity\MainActivity.java,net.gsantner.markor.activity.MainActivity,class,41,50,9,41,89,5,0,133,303,0.89081883,0.0,0.0,31,1,21,4,6,0,27,0,0,0,11,1,1,10,0,0,0,0,24,377,31,0,33,6,0,18,23,47,4,35,3,2,1,3,199,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\thirdparty\java\other\de\stanetz\jpencconverter\JavaPasswordbasedCryption.java,other.de.stanetz.jpencconverter.JavaPasswordbasedCryption,class,6,10,4,6,20,4,0,22,40,0.77777773,0.0,0.0,12,3,8,4,0,0,8,0,0,0,3,1,1,2,0,0,3,0,15,127,11,0,3,3,0,10,10,27,10,23,2,0,2,0,163,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\activity\DocumentShareIntoFragment.java,net.gsantner.markor.activity.DocumentShareIntoFragment$ShareIntoImportOptionsFragment$Anonymous1,anonymous,3,3,0,3,8,1,0,9,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,34,0,0,2,0,0,1,1,9,0,2,3,0,0,1,37,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils,class,96,149,53,96,628,1,1,454,12172,0.9837581,0.0,0.0,157,13,152,4,1,0,153,0,0,0,20,20,15,1,4,0,15,0,82,2044,188,28,169,71,82,231,193,408,60,306,6,2,2,9,1023,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\format\wikitext\WikitextTextConverter.java,net.gsantner.markor.format.wikitext.WikitextTextConverter,class,8,10,2,8,27,2,0,57,45,0.0,0.0,0.0,10,0,1,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,19,128,11,4,4,2,1,50,13,41,6,43,4,0,0,8,132,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\format\plaintext\highlight\Syntax.java,net.gsantner.markor.format.plaintext.highlight.Syntax,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\widget\TodoWidgetRemoteViewsFactory.java,net.gsantner.markor.widget.TodoWidgetRemoteViewsFactory,class,8,10,2,8,11,1,0,16,25,0.7,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,4,0,2,50,7,0,1,0,0,1,1,8,0,8,1,0,0,0,41,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\format\asciidoc\AsciidocReplacePatternGenerator.java,net.gsantner.markor.format.asciidoc.AsciidocReplacePatternGenerator,class,4,5,1,4,7,1,0,5,0,0.8055556,0.0,0.0,6,6,6,0,0,0,6,0,0,0,12,12,12,0,0,0,12,0,14,51,6,1,0,0,0,29,1,20,7,20,1,0,0,0,83,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\format\todotxt\TodoTxtActionButtons.java,net.gsantner.markor.format.todotxt.TodoTxtActionButtons$Anonymous1,anonymous,2,2,0,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$ResType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\activity\openeditor\OpenEditorActivity.java,net.gsantner.markor.activity.openeditor.OpenEditorActivity,class,7,10,3,7,3,4,3,6,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0,0,1,1,0,1,1,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\format\todotxt\TodoTxtFilter.java,net.gsantner.markor.format.todotxt.TodoTxtFilter$SttFilterKey,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,9,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\opoc\model\GsPropertyBackend.java,net.gsantner.opoc.model.GsPropertyBackend,interface,2,4,2,2,16,1,0,0,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,1,0
D:\laboratorio-02-repositorios-java\.\repositories\markor\app\src\main\java\net\gsantner\markor\model\AppSettings.java,net.gsantner.markor.model.AppSettings,class,27,89,62,27,263,2,0,131,12762,0.9820202,0.0,0.0,161,2,159,2,0,0,159,0,0,1,19,14,1,18,0,0,17,0,78,856,159,7,23,3,3,85,48,102,35,99,3,0,0,4,374,1,0
