file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\runtime\VmUndefinedValueException.java,org.pkl.core.runtime.VmUndefinedValueException,class,12,15,3,12,11,4,0,18,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,46,3,1,2,0,0,2,1,8,0,6,3,0,0,0,50,17,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\ast\expression\member\InvokeSuperMethodNode.java,org.pkl.core.ast.expression.member.InvokeSuperMethodNode,class,12,12,0,12,9,4,0,18,0,0.22222222,0.0,0.0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,39,2,1,3,0,0,3,5,12,2,9,2,0,0,0,39,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\stdlib\base\IntNodes.java,org.pkl.core.stdlib.base.IntNodes$isBetween,innerclass,2,2,0,2,12,5,0,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1033,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\stdlib\base\SetNodes.java,org.pkl.core.stdlib.base.SetNodes$sortBy,innerclass,8,8,0,8,1,5,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1033,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\stdlib\jsonnet\RendererNodes.java,org.pkl.core.stdlib.jsonnet.RendererNodes$Renderer,innerclass,24,24,0,24,69,2,0,48,902,0.948052,0.0,0.0,44,1,19,11,14,0,33,0,0,0,7,5,0,7,0,0,7,0,12,227,1,2,2,0,0,39,4,11,0,12,1,0,0,1,109,26,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\stdlib\base\FloatNodes.java,org.pkl.core.stdlib.base.FloatNodes$floor,innerclass,2,2,0,2,1,4,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1033,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-config-java\src\main\java\org\pkl\config\java\mapper\PCollectionToArray.java,org.pkl.config.java.mapper.PCollectionToArray$LongArrayConverterImpl,innerclass,5,5,0,5,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,17,1,1,1,0,0,0,1,6,0,4,2,0,0,0,18,26,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\ast\expression\binary\RemainderNode.java,org.pkl.core.ast.expression.binary.RemainderNode,class,6,6,0,6,9,5,0,1,36,0.0,0.0,0.0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,0,0,2,0,0,0,0,0,0,0,0,15,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-gradle\src\main\java\org\pkl\gradle\task\JavaCodeGenTask.java,org.pkl.gradle.task.JavaCodeGenTask,class,8,9,1,8,5,5,0,20,10,0.0,0.0,0.0,5,0,4,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\pkl\pkl-core\src\main\java\org\pkl\core\runtime\VmValueVisitor.java,org.pkl.core.runtime.VmValueVisitor,interface,19,41,22,19,27,1,0,8,231,0.0,0.0,0.0,22,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,2,0,0,1,0,1,0,0,0,45,1,0
