file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,class,16,21,5,16,15,1,0,60,0,0.4666667,0.0,0.0,5,0,3,2,0,0,3,0,0,0,3,0,0,3,0,0,1,0,5,82,6,0,5,3,0,14,11,20,4,20,3,0,0,2,59,1,4
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\action\AggregatedSearchAction.java,com.pcdd.sonovel.action.AggregatedSearchAction,class,11,14,3,11,9,1,0,31,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,43,3,1,1,2,0,7,1,9,0,9,5,0,0,1,32,1,1
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\model\SearchResult.java,com.pcdd.sonovel.model.SearchResult,class,2,16,14,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\util\RandomUA.java,com.pcdd.sonovel.util.RandomUA,class,1,6,5,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,5,0,0,15,1,0,0,0,0,10,5,10,3,10,0,0,0,0,37,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Source.java,com.pcdd.sonovel.core.Source,class,5,17,12,5,10,1,6,18,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,0,35,0,0,7,0,0,0,0,3,0,3,2,0,0,0,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\parse\SearchParser.java,com.pcdd.sonovel.parse.SearchParser,class,20,27,7,20,39,2,0,98,17,0.71428573,0.0,0.0,7,1,5,2,0,0,5,0,0,0,2,1,0,2,0,0,2,0,9,159,14,4,7,3,0,30,7,48,2,48,3,0,0,2,97,1,3
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\action\BatchDownloadAction.java,com.pcdd.sonovel.action.BatchDownloadAction,class,5,5,0,5,11,1,0,39,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,2,0,2,62,1,3,2,0,0,26,9,16,7,18,2,0,0,3,44,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\util\ConfigWatcher.java,com.pcdd.sonovel.util.ConfigWatcher,class,5,6,1,5,2,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,20,0,0,0,0,0,3,0,6,1,5,1,0,0,1,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\util\VirtualThreadLimiter.java,com.pcdd.sonovel.util.VirtualThreadLimiter,class,0,1,1,0,6,1,0,11,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,3,36,0,0,0,2,0,1,1,2,0,2,2,0,0,1,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\web\model\DownloadProgressInfo.java,com.pcdd.sonovel.web.model.DownloadProgressInfo,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\action\CheckUpdateAction.java,com.pcdd.sonovel.action.CheckUpdateAction,class,10,12,2,10,11,1,0,39,4,0.7,0.0,0.0,5,0,3,2,0,0,3,0,0,0,4,3,3,1,0,0,4,0,1,68,1,0,0,1,0,23,3,23,3,19,2,1,0,0,65,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\handle\SearchResultsHandler.java,com.pcdd.sonovel.handle.SearchResultsHandler,class,3,7,4,3,27,1,0,30,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,53,19,1,4,0,0,3,35,13,9,21,3,0,0,6,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\model\Rule.java,com.pcdd.sonovel.model.Rule$Toc,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,9,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\handle\PostProcessingHandler.java,com.pcdd.sonovel.handle.PostProcessingHandler,interface,2,8,6,2,3,1,0,9,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,3,0,1,1,1,1,0,0,0,17,1,1
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\handle\EpubMergeHandler.java,com.pcdd.sonovel.handle.EpubMergeHandler,class,11,11,0,11,4,1,0,36,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,5,37,1,1,0,1,0,16,2,11,2,11,1,0,0,0,47,1,2
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\test\java\com\pcdd\sonovel\CoverUpdaterTest.java,com.pcdd.sonovel.CoverUpdaterTest,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,1,0,0,0,0,9,0,0
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\model\Rule.java,com.pcdd.sonovel.model.Rule$Crawl,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,9,0
