file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,class,18,19,1,18,5,1,0,34,4,0.63333327,0.0,0.0,5,3,0,1,0,4,4,0,0,0,6,4,0,6,0,0,2,0,2,36,0,0,0,0,0,12,4,5,0,7,0,0,0,2,76,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-commons\src\main\java\org\springframework\cloud\kubernetes\commons\config\ConditionalOnKubernetesSecretsRetryDisabled.java,org.springframework.cloud.kubernetes.commons.config.ConditionalOnKubernetesSecretsRetryDisabled$OnSecretsPropertiesRetryDisabled,class,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-discovery\src\test\java\org\springframework\cloud\kubernetes\fabric8\discovery\Fabric8KubernetesDiscoveryClientServiceWithoutPortNameTests.java,org.springframework.cloud.kubernetes.fabric8.discovery.Fabric8KubernetesDiscoveryClientServiceWithoutPortNameTests,class,16,16,0,16,1,1,0,27,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,2,0,2,0,0,1,0,4,15,0,0,0,0,0,12,6,6,0,8,0,0,0,1,38,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-config\src\test\java\org\springframework\cloud\kubernetes\fabric8\config\retry\ConfigMapEnableRetryWithoutFailFastTest.java,org.springframework.cloud.kubernetes.fabric8.config.retry.ConfigMapEnableRetryWithoutFailFastTest,class,20,21,1,20,5,1,0,15,0,0.5833334,0.0,0.0,3,0,0,0,1,2,3,0,0,0,4,3,0,2,0,2,1,0,1,23,0,0,2,0,1,7,2,5,0,6,1,0,0,0,46,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-config\src\test\java\org\springframework\cloud\kubernetes\fabric8\config\single_source_multiple_files\properties\Shape.java,org.springframework.cloud.kubernetes.fabric8.config.single_source_multiple_files.properties.Shape,class,1,3,2,1,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-config\src\test\java\org\springframework\cloud\kubernetes\fabric8\config\example3\MultiSecretsProperties.java,org.springframework.cloud.kubernetes.fabric8.config.example3.MultiSecretsProperties,class,1,3,2,1,4,1,0,0,2,0.5,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,11,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\applications\sources_order\SourcesOrderApp.java,org.springframework.cloud.kubernetes.client.config.applications.sources_order.SourcesOrderApp,class,4,10,6,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-commons\src\test\java\org\springframework\cloud\kubernetes\commons\config\ConfigUtilsRawDataContainsProfileBasedSourceTests.java,org.springframework.cloud.kubernetes.commons.config.ConfigUtilsRawDataContainsProfileBasedSourceTests,class,2,2,0,2,7,1,0,9,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,20,44,0,0,0,0,0,19,0,21,0,21,0,0,0,0,37,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-client-discovery\src\main\java\org\springframework\cloud\kubernetes\client\discovery\catalog\KubernetesEndpointSlicesCatalogWatch.java,org.springframework.cloud.kubernetes.client.discovery.catalog.KubernetesEndpointSlicesCatalogWatch,class,8,13,5,8,8,1,0,28,0,0.25,0.0,0.0,4,0,1,2,0,1,2,0,0,0,1,1,0,1,0,0,1,0,3,45,6,0,0,2,0,6,0,8,3,7,1,0,0,6,39,16,5
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-controllers\spring-cloud-kubernetes-configserver\src\test\java\org\springframework\cloud\kubernetes\configserver\it\ConfigServerIntegration.java,org.springframework.cloud.kubernetes.configserver.it.ConfigServerIntegration,class,19,22,3,19,8,1,2,36,24,0.859375,0.0,0.0,8,0,0,5,0,3,3,0,0,0,16,14,0,15,0,1,14,0,6,77,0,0,0,0,0,62,10,30,0,32,0,0,0,0,75,1024,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\test\java\org\springframework\cloud\kubernetes\client\KubernetesClientInfoContributorInsideTests.java,org.springframework.cloud.kubernetes.client.KubernetesClientInfoContributorInsideTests,class,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-client-discovery\src\test\java\org\springframework\cloud\kubernetes\client\discovery\KubernetesDiscoveryClientFilterMetadataTest.java,org.springframework.cloud.kubernetes.client.discovery.KubernetesDiscoveryClientFilterMetadataTest,class,20,21,1,20,14,1,0,44,0,0.45238093,0.0,0.0,12,0,0,3,0,9,9,0,0,0,7,3,0,7,0,0,3,0,82,126,4,0,0,0,0,151,48,52,0,54,2,0,0,2,77,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-integration-tests\spring-cloud-kubernetes-fabric8-client-catalog-watcher\src\test\java\org\springframework\cloud\kubernetes\fabric8\catalog\watch\TestAssertions.java,org.springframework.cloud.kubernetes.fabric8.catalog.watch.TestAssertions,class,7,9,2,7,5,1,0,33,3,0.0,0.0,0.0,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,39,4,0,2,0,0,5,14,9,1,8,3,0,0,4,50,16,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-integration-tests\spring-cloud-kubernetes-fabric8-client-reload\src\main\java\org\springframework\cloud\kubernetes\fabric8\client\reload\RightWithLabelsProperties.java,org.springframework.cloud.kubernetes.fabric8.client.reload.RightWithLabelsProperties,class,1,3,2,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-config\src\test\java\org\springframework\cloud\kubernetes\fabric8\config\config_maps_mixed\ConfigMapsMixed.java,org.springframework.cloud.kubernetes.fabric8.config.config_maps_mixed.ConfigMapsMixed,class,10,12,2,10,6,1,2,28,2,0.68,0.0,0.0,5,2,0,0,0,5,5,0,0,0,5,4,0,1,4,0,4,0,10,40,0,0,0,1,0,26,0,6,3,8,2,0,0,1,59,1024,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-controllers\spring-cloud-kubernetes-configuration-watcher\src\main\java\org\springframework\cloud\kubernetes\configuration\watcher\RefreshTrigger.java,org.springframework.cloud.kubernetes.configuration.watcher.RefreshTrigger,interface,3,7,4,3,2,1,0,0,0,1.0,0.0,0.0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,29,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-cloud-kubernetes\spring-cloud-kubernetes-fabric8-config\src\test\java\org\springframework\cloud\kubernetes\fabric8\config\sources_order\BootstrapSourcesOrderTests.java,org.springframework.cloud.kubernetes.fabric8.config.sources_order.BootstrapSourcesOrderTests,class,5,5,0,5,1,2,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,16,0,0
