file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\docs\src\test\java\org\springframework\security\docs\servlet\test\testmethod\HelloServiceTests.java,org.springframework.security.docs.servlet.test.testmethod.HelloServiceTests,class,8,8,0,8,2,1,0,7,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,0,5,0,1,0,2,0,0,1,0,15,0,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\core\src\test\java\org\springframework\security\authentication\dao\DaoAuthenticationProviderTests.java,org.springframework.security.authentication.dao.DaoAuthenticationProviderTests$MockUserDetailsServiceReturnsNull,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\oauth2\oauth2-core\src\main\java\org\springframework\security\oauth2\core\oidc\IdTokenClaimAccessor.java,org.springframework.security.oauth2.core.oidc.IdTokenClaimAccessor,interface,2,6,4,2,12,1,0,4,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\oauth2\oauth2-client\src\main\java\org\springframework\security\oauth2\client\authentication\OAuth2AuthorizationCodeAuthenticationProvider.java,org.springframework.security.oauth2.client.authentication.OAuth2AuthorizationCodeAuthenticationProvider,class,10,12,2,10,5,1,0,16,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,27,2,0,0,0,0,2,0,8,0,8,1,0,0,0,68,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\config\src\main\java\org\springframework\security\config\http\GrantedAuthorityDefaultsParserUtils.java,org.springframework.security.config.http.GrantedAuthorityDefaultsParserUtils,class,3,6,3,3,2,1,0,6,1,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,1,0,3,0,3,0,0,1,0,23,16,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\web\src\main\java\org\springframework\security\web\csrf\DeferredCsrfToken.java,org.springframework.security.web.csrf.DeferredCsrfToken,interface,1,6,5,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\web\src\main\java\org\springframework\security\web\authentication\ui\DefaultLoginPageGeneratingFilter.java,org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter,class,12,13,1,12,64,2,0,61,759,0.950845,0.0,0.0,42,2,22,20,0,0,22,0,0,0,31,14,2,29,0,0,14,0,20,231,32,1,5,0,0,68,2,55,8,50,1,0,0,6,175,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\docs\src\test\java\org\springframework\security\docs\servlet\test\testmethodmetaannotations\WithMockUserTests.java,org.springframework.security.docs.servlet.test.testmethodmetaannotations.WithMockUserTests,class,7,7,0,7,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,6,0,1,0,2,0,0,1,0,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\oauth2\oauth2-core\src\main\java\org\springframework\security\oauth2\core\oidc\AddressStandardClaim.java,org.springframework.security.oauth2.core.oidc.AddressStandardClaim,interface,0,4,4,0,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
D:\laboratorio-02-repositorios-java\.\repositories\spring-security\webauthn\src\test\java\org\springframework\security\web\webauthn\jackson\JacksonTests.java,org.springframework.security.web.webauthn.jackson.JacksonTests$ClassWithOutputsAndAnotherField,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,14,9,0
