file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\user\KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,class,11,15,4,11,5,1,3,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,13,1,0,2,0,0,2,1,1,0,1,1,0,0,0,17,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\user-operator\src\test\java\io\strimzi\operator\user\operator\cache\ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,class,5,5,0,5,3,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,7,4,7,0,9,2,0,0,2,36,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\connect\build\ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,class,8,10,2,8,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,7,0,0,2,0,0,0,0,0,40,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\model\KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,class,23,23,0,23,42,1,0,89,0,0.3866667,0.0,0.0,15,0,15,0,0,0,15,0,0,0,10,10,0,10,0,0,10,0,51,272,0,13,0,0,0,172,61,90,4,85,3,0,0,10,102,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\kafkaclients\internalClients\admin\KafkaAdminException.java,io.strimzi.systemtest.kafkaclients.internalClients.admin.KafkaAdminException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\systemtest\src\test\java\io\strimzi\systemtest\tracing\OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,class,27,28,1,27,7,2,0,99,7,0.5714286,0.0,0.0,7,0,0,1,0,6,6,0,0,0,2,1,0,2,0,0,2,0,55,106,1,0,0,0,8,45,40,17,9,17,0,0,0,0,63,1,3
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\utils\VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,class,15,22,7,15,32,1,0,95,19,0.35714287,0.0,0.0,14,14,12,2,0,0,12,0,0,0,1,1,0,1,0,0,1,0,27,195,2,3,8,0,0,60,9,36,7,52,2,0,0,18,272,1,20
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\resources\types\KafkaBridgeType.java,io.strimzi.systemtest.resources.types.KafkaBridgeType,class,9,11,2,9,11,1,0,19,15,0.4,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,2,35,5,0,1,0,0,0,0,2,0,2,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\Ca.java,io.strimzi.operator.common.model.Ca,class,15,25,10,15,107,1,3,112,492,0.904692,0.0,0.0,44,5,25,12,5,2,32,2,0,0,31,14,11,4,16,0,22,0,74,607,43,1,20,22,1,91,14,112,24,85,4,0,2,0,396,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\ResourceVisitor.java,io.strimzi.operator.common.model.ResourceVisitor,class,8,12,4,8,30,1,0,31,6,0.75,0.0,0.0,4,4,1,2,0,1,2,0,0,0,4,4,0,4,0,0,4,0,9,117,1,4,5,1,0,4,7,16,3,14,4,1,3,0,76,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\topic-operator\src\test\java\io\strimzi\operator\topic\model\EitherTest.java,io.strimzi.operator.topic.model.EitherTest,class,2,2,0,2,5,1,0,16,0,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,2,0,0,2,0,0,2,0,14,42,0,0,0,0,0,9,15,6,3,10,0,0,0,4,23,0,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\resources\operator\ClusterOperatorConfiguration.java,io.strimzi.systemtest.resources.operator.ClusterOperatorConfiguration,class,6,17,11,6,40,1,0,12,655,0.9473685,0.0,0.0,38,0,38,0,0,0,38,0,0,0,19,0,0,19,0,0,5,0,4,139,24,0,1,0,0,5,1,31,1,20,0,0,0,0,79,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\operator\assembly\KafkaConnectRollerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaConnectRollerTest,class,25,26,1,25,15,1,0,67,0,0.6642857,0.0,0.0,14,2,12,2,0,0,12,0,0,0,10,10,0,10,0,0,10,0,46,170,4,0,0,0,0,88,29,56,0,70,2,0,0,20,99,1,0
D:\laboratorio-02-repositorios-java\.\repositories\strimzi-kafka-operator\mockkube\src\test\java\io\strimzi\test\mockkube3\MockKube3ControllersMockTest.java,io.strimzi.test.mockkube3.MockKube3ControllersMockTest,class,23,23,0,23,16,1,0,65,0,0.41666666,0.0,0.0,8,2,8,0,0,0,8,0,0,0,3,2,0,3,0,0,0,0,4,77,0,0,8,0,0,24,22,16,0,16,0,0,0,4,63,1,0
