file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\routes\PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,class,9,11,2,9,7,1,0,7,9,0.42857143,0.0,0.0,7,0,6,0,0,1,7,0,0,0,1,0,0,1,0,0,1,0,0,27,6,0,0,0,0,0,0,4,0,4,0,0,0,0,74,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\test\java\type\scalar\DecimalTests.java,type.scalar.DecimalTests,class,6,7,1,6,5,1,0,12,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,42,2,0,0,2,0,5,0,9,0,3,1,0,1,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\type\property\additionalproperties\implementation\ExtendsModelArraysImpl.java,type.property.additionalproperties.implementation.ExtendsModelArraysImpl,class,7,14,3,11,5,1,0,10,0,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,0,30,4,0,0,0,0,4,0,6,0,8,0,0,1,2,89,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-clientcore-test\src\main\java\payload\jsonmergepatch\InnerModel.java,payload.jsonmergepatch.InnerModel$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\type\property\additionalproperties\models\ExtendsUnknownAdditionalProperties.java,type.property.additionalproperties.models.ExtendsUnknownAdditionalProperties,class,10,14,4,10,12,1,1,18,0,0.33333334,0.0,0.0,6,1,6,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,56,6,2,4,0,0,2,0,9,0,8,4,0,0,2,59,1,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-clientcore-test\src\main\java\type\property\additionalproperties\DifferentSpreadModelArrayDerived.java,type.property.additionalproperties.DifferentSpreadModelArrayDerived,class,10,14,4,10,10,2,0,20,0,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,49,4,2,3,0,0,4,0,10,0,12,4,0,0,4,70,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-core\src\main\java\com\microsoft\typespec\http\client\generator\core\mapper\ConstantMapper.java,com.microsoft.typespec.http.client.generator.core.mapper.ConstantMapper,class,6,11,5,6,5,1,0,5,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,1,0,1,0,1,1,0,1,21,4,0,2,0,0,0,0,4,0,3,1,0,0,0,26,1,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-clientcore-test\src\main\java\type\property\additionalproperties\SpreadRecordForUnion.java,type.property.additionalproperties.SpreadRecordForUnion,class,9,13,4,9,12,1,0,18,0,0.33333334,0.0,0.0,6,1,6,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,56,6,2,4,0,0,2,0,9,0,8,4,0,0,2,67,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-clientcore-test\src\main\java\payload\xml\implementation\ModelWithRenamedArraysValuesImpl.java,payload.xml.implementation.ModelWithRenamedArraysValuesImpl$ModelWithRenamedArraysValuesService,interface,11,11,0,11,4,1,0,3,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,1,0,11,2,1,0,1,1,0,0,0,53,1,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\azure\resourcemanager\nonresource\implementation\NonResourceImpl.java,azure.resourcemanager.nonresource.implementation.NonResourceImpl,class,8,10,2,8,14,1,0,11,27,0.53571427,0.0,0.0,14,0,11,1,0,2,13,0,0,0,4,0,0,4,0,0,1,0,0,58,12,0,0,0,0,0,0,10,0,4,0,0,0,0,24,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\streaming\jsonl\implementation\JsonlClientImpl.java,streaming.jsonl.implementation.JsonlClientImpl,class,6,9,2,7,7,1,0,3,0,0.5,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,40,17,0
D:\laboratorio-02-repositorios-java\.\repositories\typespec\packages\http-client-java\generator\http-client-generator-test\src\main\java\azure\clientgenerator\core\access\implementation\SharedModelInOperationsImpl.java,azure.clientgenerator.core.access.implementation.SharedModelInOperationsImpl,class,7,10,3,7,5,1,0,10,0,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,0,30,4,0,0,0,0,4,0,6,0,8,0,0,1,2,79,17,0
