file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\activemq\ZipkinActiveMQCollectorPropertiesOverrideTest.java,zipkin2.collector.activemq.ZipkinActiveMQCollectorPropertiesOverrideTest,class,8,9,1,8,8,1,0,18,0,0.35000002,0.0,0.0,5,2,1,0,0,4,5,0,0,0,4,0,3,0,0,1,0,0,9,37,2,0,0,0,0,22,1,4,2,10,1,0,0,6,37,1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\test\java\zipkin2\collector\kafka\ZipkinKafkaCollectorPropertiesOverrideTest.java,zipkin2.collector.kafka.ZipkinKafkaCollectorPropertiesOverrideTest,class,8,9,1,8,6,1,0,14,0,0.35000002,0.0,0.0,5,2,1,0,0,4,5,0,0,0,4,0,3,0,0,1,0,0,8,27,2,0,1,0,0,16,1,4,2,9,1,0,0,5,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\test\java\zipkin2\internal\HexCodecTest.java,zipkin2.internal.HexCodecTest,class,2,2,0,2,6,1,0,6,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,35,0,0,0,4,0,9,2,0,0,0,1,0,0,0,33,0,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\main\java\zipkin2\Call.java,zipkin2.Call$Base,innerclass,4,4,0,4,13,2,0,6,32,0.7777778,0.0,0.0,9,0,4,0,5,0,9,2,4,0,2,0,0,0,0,2,0,0,0,44,3,0,0,0,0,4,0,3,0,2,2,0,0,0,22,1033,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\main\java\zipkin2\server\internal\cassandra3\ZipkinCassandra3StorageConfiguration.java,zipkin2.server.internal.cassandra3.ZipkinCassandra3StorageConfiguration$TracingSessionFactoryEnhancer,innerclass,4,4,0,4,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,36,8,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-storage\cassandra\src\main\java\zipkin2\storage\cassandra\SelectAutocompleteValues.java,zipkin2.storage.cassandra.SelectAutocompleteValues$Factory,innerclass,5,5,0,5,2,1,0,3,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,1,11,1,0,0,0,0,4,1,2,2,2,0,0,0,0,30,24,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-storage\cassandra\src\main\java\zipkin2\storage\cassandra\SelectRemoteServiceNames.java,zipkin2.storage.cassandra.SelectRemoteServiceNames$Factory,innerclass,5,5,0,5,4,1,0,6,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,2,13,2,0,1,0,0,4,1,3,2,3,1,0,0,0,31,24,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-storage\elasticsearch\src\test\java\zipkin2\elasticsearch\JsonSerializersTest.java,zipkin2.elasticsearch.JsonSerializersTest,class,13,14,1,13,17,1,0,32,120,0.0,0.0,0.0,16,1,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,23,75,1,0,0,1,2,17,9,19,0,19,1,0,0,0,89,0,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\main\java\zipkin2\codec\Encoding.java,zipkin2.codec.Encoding$Anonymous1,anonymous,1,1,0,1,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,0,3,4,1,3,2,0,0,0,22,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\main\java\zipkin2\codec\Encoding.java,zipkin2.codec.Encoding$Anonymous2,anonymous,1,1,0,1,3,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,2,2,1,1,1,0,0,0,17,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-server\src\main\java\zipkin2\server\internal\elasticsearch\BasicAuthInterceptor.java,zipkin2.server.internal.elasticsearch.BasicAuthInterceptor,class,6,7,1,6,3,2,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,14,1,0,1,0,0,0,0,2,0,2,1,0,0,0,38,16,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-storage\elasticsearch\src\test\java\zipkin2\elasticsearch\ElasticsearchVersionTest.java,zipkin2.elasticsearch.ElasticsearchVersionTest,class,9,9,0,9,9,1,0,17,0,0.7222222,0.0,0.0,9,0,0,0,0,9,9,0,0,0,8,7,0,0,0,8,6,0,5,43,0,0,0,0,0,4,8,8,0,8,0,0,0,3,83,0,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin-storage\cassandra\src\test\java\zipkin2\storage\cassandra\CassandraStorageBuilderTest.java,zipkin2.storage.cassandra.CassandraStorageBuilderTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\benchmarks\src\test\java\zipkin2\internal\DelayLimiterBenchmarks.java,zipkin2.internal.DelayLimiterBenchmarks,class,14,15,1,14,3,1,0,11,1,0.5,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,0,0,0,0,2,2,0,1,14,2,0,0,0,0,3,10,3,2,3,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\main\java\zipkin2\codec\Encoding.java,zipkin2.codec.Encoding$Anonymous3,anonymous,1,1,0,1,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,2,4,0,3,1,0,0,0,27,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\test\java\zipkin2\EndpointTest.java,zipkin2.EndpointTest,class,4,5,1,4,24,1,0,29,276,0.0,0.0,0.0,24,1,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,38,136,0,0,0,0,0,22,27,33,0,33,1,0,0,2,93,0,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\test\java\zipkin2\SpanBytesDecoderDetectorTest.java,zipkin2.SpanBytesDecoderDetectorTest,class,8,8,0,8,22,1,0,31,0,0.4090909,0.0,0.0,22,0,0,0,0,22,22,0,0,0,2,0,0,0,0,2,0,0,26,127,0,0,0,0,0,19,6,26,0,25,1,0,0,11,79,0,0
D:\laboratorio-02-repositorios-java\.\repositories\zipkin\zipkin\src\main\java\zipkin2\internal\DelayLimiter.java,zipkin2.internal.DelayLimiter$SuppressionFactory,innerclass,3,3,0,3,3,1,0,2,1,0.33333334,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,1,0,1,12,2,0,0,0,0,0,0,1,1,1,0,0,0,0,9,8,0
