file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,"convertToJavaData/3[cn.idev.excel.metadata.data.ReadCellData<?>,cn.idev.excel.metadata.property.ExcelContentProperty,cn.idev.excel.metadata.GlobalConfiguration]",false,29,3,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,supportJavaTypeKey/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,"convertToExcelData/3[java.lang.String,cn.idev.excel.metadata.property.ExcelContentProperty,cn.idev.excel.metadata.GlobalConfiguration]",false,35,3,1,0,1,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\converters\string\StringBooleanConverter.java,cn.idev.excel.converters.string.StringBooleanConverter,supportExcelTypeKey/0,false,23,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\annotation\AnnotationIndexAndNameDataListener.java,cn.idev.excel.annotation.AnnotationIndexAndNameDataListener,doAfterAllAnalysed/1[cn.idev.excel.context.AnalysisContext],false,25,2,0,0,0,1,9,9,0,1,1,9,0,0,0,0,0,0,5,3,1,0,0,0,0,0,13,1,1,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\test\java\cn\idev\excel\annotation\AnnotationIndexAndNameDataListener.java,cn.idev.excel.annotation.AnnotationIndexAndNameDataListener,"invoke/2[cn.idev.excel.annotation.AnnotationIndexAndNameData,cn.idev.excel.context.AnalysisContext]",false,20,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_SameInstance/0,false,28,2,1,1,0,1,1,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_EqualObjects/0,false,46,2,1,1,0,1,4,11,0,2,0,4,0,0,0,0,0,0,2,4,2,0,0,0,0,0,11,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testAll/0,false,10,2,11,0,11,1,11,13,0,0,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentSheetName/0,false,68,2,1,1,0,1,1,5,0,2,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,9,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentVeryHiddenState/0,false,93,2,1,1,0,1,2,7,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,13,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentClass/0,false,40,2,1,1,0,1,1,4,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,9,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentNumRows/0,false,75,2,1,1,0,1,2,7,0,2,0,2,0,0,0,0,0,0,2,4,2,0,0,0,0,0,10,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testHashCode_Consistency/0,false,102,2,1,1,0,1,2,5,0,2,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,9,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testHashCode_EqualityForEqualObjects/0,false,109,2,1,1,0,1,5,11,0,2,0,5,0,0,0,0,0,0,2,4,2,0,0,0,0,0,14,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentHiddenState/0,false,84,2,1,1,0,1,2,7,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,12,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_Null/0,false,34,2,1,1,0,1,1,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\issue406\ReadSheetTest.java,cn.idev.excel.temp.issue406.ReadSheetTest,testEquals_DifferentSheetNo/0,false,61,2,1,1,0,1,1,5,0,2,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,9,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\ConfigurationHolder.java,cn.idev.excel.metadata.ConfigurationHolder,isNew/0,false,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\ConfigurationHolder.java,cn.idev.excel.metadata.ConfigurationHolder,converterMap/0,false,28,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\metadata\ConfigurationHolder.java,cn.idev.excel.metadata.ConfigurationHolder,globalConfiguration/0,false,21,1,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\context\xls\DefaultXlsReadContext.java,cn.idev.excel.context.xls.DefaultXlsReadContext,xlsReadSheetHolder/0,false,27,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\context\xls\DefaultXlsReadContext.java,cn.idev.excel.context.xls.DefaultXlsReadContext,"DefaultXlsReadContext/2[cn.idev.excel.read.metadata.ReadWorkbook,cn.idev.excel.support.ExcelTypeEnum]",true,17,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\context\xls\DefaultXlsReadContext.java,cn.idev.excel.context.xls.DefaultXlsReadContext,xlsReadWorkbookHolder/0,false,22,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,complexFillWithTable/0,false,62,5,3,0,3,1,13,20,0,7,0,13,2,1,0,0,0,0,6,0,7,1,0,0,0,0,24,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,complexFill/0,false,30,6,2,0,2,1,11,14,0,6,0,11,1,1,0,0,0,0,6,7,6,1,0,0,0,0,23,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,data2/0,false,98,1,2,1,1,2,2,9,1,3,0,2,0,0,1,0,0,0,1,2,3,1,1,0,0,0,7,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,data/0,false,119,1,2,1,1,2,3,10,1,3,0,3,0,0,1,0,0,0,1,3,3,0,1,0,0,0,6,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\temp\FillTempTest.java,cn.idev.excel.temp.FillTempTest,teamp/0,false,108,1,2,1,1,2,3,10,1,3,0,3,0,0,1,0,0,0,1,3,3,0,1,0,0,0,7,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelWriteDataConvertException.java,cn.idev.excel.exception.ExcelWriteDataConvertException,"ExcelWriteDataConvertException/3[cn.idev.excel.write.handler.context.CellWriteHandlerContext,java.lang.String,java.lang.Throwable]",true,33,1,1,1,0,1,4,4,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelWriteDataConvertException.java,cn.idev.excel.exception.ExcelWriteDataConvertException,"ExcelWriteDataConvertException/2[cn.idev.excel.write.handler.context.CellWriteHandlerContext,java.lang.String]",true,22,1,2,2,0,1,4,4,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,data/0,false,286,1,7,6,1,2,5,11,1,3,0,5,0,0,1,0,0,0,1,3,3,0,1,0,0,0,7,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,complexFillWithTable/0,false,132,4,2,0,2,1,12,20,0,7,0,12,1,1,0,0,1,0,8,0,7,2,1,0,0,0,46,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,compositeFill/0,false,210,6,2,0,2,1,11,17,0,6,0,11,1,1,0,0,1,0,12,0,6,2,1,0,0,0,24,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,complexFill/0,false,94,5,2,0,2,1,12,14,0,6,0,12,1,1,0,0,1,0,8,1,6,2,1,0,0,0,19,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,horizontalFill/0,false,180,5,2,0,2,1,11,13,0,6,0,11,1,1,0,0,1,0,7,0,6,2,1,0,0,0,19,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,simpleFill/0,false,35,3,2,0,2,1,10,13,0,4,0,10,0,0,0,0,0,0,11,2,5,3,0,0,0,0,14,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,listFill/0,false,64,4,2,0,2,1,10,11,0,4,0,10,1,1,0,0,1,0,7,0,5,3,1,0,0,0,17,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,testFillSheetDispose/0,false,266,4,2,0,2,1,9,14,0,3,0,9,0,0,0,0,0,0,6,1,3,2,0,1,0,0,19,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\fill\FillTest.java,cn.idev.excel.demo.fill.FillTest,dateFormatFill/0,false,251,3,2,0,2,1,7,5,0,2,0,7,1,1,0,0,0,0,5,0,2,2,0,0,0,0,34,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\read\IndexOrNameDataListener.java,cn.idev.excel.demo.read.IndexOrNameDataListener,saveData/0,false,45,0,2,2,0,1,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,2,2,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\read\IndexOrNameDataListener.java,cn.idev.excel.demo.read.IndexOrNameDataListener,doAfterAllAnalysed/1[cn.idev.excel.demo.read.AnalysisContext],false,37,2,1,0,1,1,2,4,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,13,1,1,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel-examples\src\test\java\cn\idev\excel\demo\read\IndexOrNameDataListener.java,cn.idev.excel.demo.read.IndexOrNameDataListener,"invoke/2[cn.idev.excel.demo.read.IndexOrNameData,cn.idev.excel.demo.read.AnalysisContext]",false,27,3,1,0,1,2,6,8,0,0,2,6,1,1,0,0,0,0,1,0,1,0,1,0,0,0,22,1,1,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,"invoke/2[T,cn.idev.excel.context.AnalysisContext]",false,36,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,"extra/2[cn.idev.excel.metadata.CellExtra,cn.idev.excel.context.AnalysisContext]",false,50,2,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,"invokeHead/2[java.util.Map<java.lang.Integer,cn.idev.excel.metadata.data.ReadCellData<?>>,cn.idev.excel.context.AnalysisContext]",false,34,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,doAfterAllAnalysed/1[cn.idev.excel.context.AnalysisContext],false,52,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,"onException/2[java.lang.Exception,cn.idev.excel.context.AnalysisContext]",false,24,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\read\listener\ReadListener.java,cn.idev.excel.read.listener.ReadListener,hasNext/1[cn.idev.excel.context.AnalysisContext],false,65,2,6,2,4,9,7,15,3,3,1,7,0,0,0,7,0,0,0,0,4,0,1,0,0,0,27,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelAnalysisException.java,cn.idev.excel.exception.ExcelAnalysisException,ExcelAnalysisException/1[java.lang.Throwable],true,18,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fesod\fastexcel\src\main\java\cn\idev\excel\exception\ExcelAnalysisException.java,cn.idev.excel.exception.ExcelAnalysisException,ExcelAnalysisException/0,true,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
