file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\memory\MemoryAllocator.java,org.apache.fory.memory.MemoryAllocator,interface,1,4,3,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\test\java\org\apache\fory\serializer\ObjectSerializerTest.java,org.apache.fory.serializer.ObjectSerializerTest$2Foo,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-testsuite\src\test\java\org\apache\fory\test\Object2ObjectOpenHashMapTest.java,org.apache.fory.test.Object2ObjectOpenHashMapTest$TestObject2ObjectOpenHashMap,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,9,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\reflect\FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,innerclass,3,3,0,3,3,3,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,11,1,0,1,0,0,0,0,1,0,1,0,0,0,0,9,9,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\test\java\org\apache\fory\CrossLanguageTest.java,org.apache.fory.CrossLanguageTest$ArrayField,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,class,9,13,4,9,40,1,0,42,110,0.8727272,0.0,0.0,20,0,20,0,0,0,20,0,0,0,11,3,0,11,0,0,6,0,2,200,20,0,8,0,2,2,23,46,9,39,2,0,1,4,95,17,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\test\java\org\apache\fory\serializer\ProtocolInteroperabilityTest.java,org.apache.fory.serializer.ProtocolInteroperabilityTest$SimpleCollectionTest,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,9,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\util\record\RecordUtils.java,org.apache.fory.util.record.RecordUtils,class,5,22,17,5,32,1,0,18,36,0.9444445,0.0,0.0,9,9,9,0,0,0,10,0,0,0,10,10,0,10,0,0,10,0,5,216,12,5,15,2,0,9,14,58,0,38,2,3,0,0,120,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\config\LongEncoding.java,org.apache.fory.config.LongEncoding,enum,0,6,6,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0
D:\laboratorio-02-repositorios-java\.\repositories\fory\integration_tests\graalvm_tests\src\main\java\org\apache\fory\graalvm\CompatibleExample.java,org.apache.fory.graalvm.CompatibleExample,class,5,7,2,5,3,1,0,9,0,0.0,0.0,0.0,2,2,1,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,5,19,1,0,0,0,0,3,0,3,0,2,0,0,0,0,10,1,0
