file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\memory\MemoryAllocator.java,org.apache.fory.memory.MemoryAllocator,allocate/1[int],false,24,1,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\memory\MemoryAllocator.java,org.apache.fory.memory.MemoryAllocator,"grow/2[org.apache.fory.memory.MemoryBuffer,int]",false,32,1,5,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\test\java\org\apache\fory\serializer\ObjectSerializerTest.java,org.apache.fory.serializer.ObjectSerializerTest$2Foo,foo/1[java.lang.String],false,65,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\reflect\FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,get/1[java.lang.Object],false,421,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\reflect\FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,"FloatGetter/2[java.lang.reflect.Field,org.apache.fory.util.function.ToFloatFunction]",true,414,2,2,1,1,2,2,5,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,"replaceRef/2[java.lang.Object,java.lang.Object]",false,129,2,3,0,3,2,3,5,0,1,2,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,tryPreserveRefId/1[org.apache.fory.memory.MemoryBuffer],false,175,2,4,0,4,3,4,13,2,1,1,4,2,1,0,2,0,0,0,0,3,0,2,0,0,0,15,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,"writeRefOrNull/2[org.apache.fory.memory.MemoryBuffer,java.lang.Object]",false,66,2,7,2,5,4,5,26,3,2,2,5,0,0,0,1,0,0,0,2,3,0,2,0,0,0,27,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,readRefOrNull/1[org.apache.fory.memory.MemoryBuffer],false,148,2,3,0,3,2,3,11,1,2,1,3,1,1,0,1,0,0,0,0,4,0,1,0,0,0,34,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fory\java\fory-core\src\main\java\org\apache\fory\resolver\MapRefResolver.java,org.apache.fory.resolver.MapRefResolver,resetWrite/0,false,230,2,2,1,1,4,1,16,0,4,0,1,0,0,0,0,0,1,0,4,9,3,1,0,0,0,23,1,0,false
