file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomLoginSuccessHandler.java,com.jeecg.modules.jmreport.config.CustomLoginSuccessHandler,class,7,8,1,7,6,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,3,1,0,5,0,5,0,5,3,0,0,0,29,1,1
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\JimuReportApplication.java,com.jeecg.modules.JimuReportApplication,class,6,7,1,6,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,18,0,5,2,5,1,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomCorsConfiguration.java,com.jeecg.modules.jmreport.config.CustomCorsConfiguration,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportSysSwitchFilter.java,com.jeecg.modules.jmreport.config.JimuReportSysSwitchFilter,class,8,8,0,8,7,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,38,0,0,0,2,0,11,0,6,0,4,2,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\extend\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.extend.JimuReportTokenServiceImpl,class,4,4,0,4,10,1,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0,1,0,0,14,0,6,0,3,2,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\ViewPageCustomAccess.java,com.jeecg.modules.jmreport.config.ViewPageCustomAccess,class,4,4,0,4,9,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,19,4,0,3,0,0,5,0,5,0,5,2,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\extend\JimuDragExternalServiceImpl.java,com.jeecg.modules.jmreport.extend.JimuDragExternalServiceImpl,class,13,13,0,13,7,1,0,12,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,57,2,0,0,0,0,4,0,15,0,22,3,0,0,5,46,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\SpringSecurityConfig.java,com.jeecg.modules.jmreport.config.SpringSecurityConfig,class,10,10,0,10,2,1,0,28,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,49,0,1,0,2,0,0,0,1,61,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\testdb\TestRpSpringBean.java,com.jeecg.modules.jmreport.testdb.TestRpSpringBean,class,4,4,0,4,3,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,36,3,10,2,10,1,0,0,0,19,1,2
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\ApiSecurityConfigFilter.java,com.jeecg.modules.jmreport.config.ApiSecurityConfigFilter,class,7,8,1,7,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,4,0,5,0,5,2,0,0,0,24,1,0
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\RedisConfig.java,com.jeecg.modules.jmreport.config.RedisConfig,class,10,11,1,10,2,1,0,11,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,1,0,5,0,5,0,0,0,0,20,1,1
D:\laboratorio-02-repositorios-java\.\repositories\jimureport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\controller\IndexController.java,com.jeecg.modules.jmreport.controller.IndexController,class,5,6,1,5,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,4,0,1,0,1,0,0,0,0,7,1,0
