file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,class,8,11,3,8,18,1,2,25,19,0.71666664,0.0,0.0,10,0,4,0,6,0,10,2,0,0,6,0,0,5,1,0,3,0,8,64,3,0,2,1,2,9,3,10,5,10,2,0,0,1,105,1025,4
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\main\java\io\kestra\core\runners\pebble\filters\EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,class,7,9,2,7,21,1,0,15,24,0.75,0.0,0.0,8,0,3,5,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,80,10,2,1,1,0,8,0,6,2,6,2,0,1,0,55,1,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\jdbc\src\test\java\io\kestra\jdbc\repository\AbstractJdbcFlowTopologyRepositoryTest.java,io.kestra.jdbc.repository.AbstractJdbcFlowTopologyRepositoryTest,class,7,10,3,7,1,2,3,18,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,13,0,0,0,0,0,14,3,4,0,4,0,0,0,0,17,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\test\java\io\kestra\plugin\core\storage\DeleteTest.java,io.kestra.plugin.core.storage.DeleteTest,class,8,9,1,8,1,1,0,19,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,19,0,0,0,0,0,2,0,7,0,8,1,0,0,1,26,0,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\webserver\src\main\java\io\kestra\webserver\controllers\api\ExecutionController.java,io.kestra.webserver.controllers.api.ExecutionController,class,112,114,2,112,199,2,0,243,748,0.9167935,0.0,0.0,73,0,60,8,4,1,65,0,0,0,27,0,0,23,4,0,0,0,37,852,106,17,12,7,5,740,13,150,18,208,5,0,3,50,364,1,8
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\main\java\io\kestra\plugin\core\dashboard\data\IMetrics.java,io.kestra.plugin.core.dashboard.data.IMetrics$Fields,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\jdbc\src\main\java\io\kestra\jdbc\runner\AbstractJdbcExecutionQueuedStorage.java,io.kestra.jdbc.runner.AbstractJdbcExecutionQueuedStorage,class,8,13,5,8,7,2,3,31,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,38,2,0,0,0,0,7,1,7,0,10,2,0,0,3,44,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\jdbc-postgres\src\main\java\io\kestra\repository\postgres\PostgresDashboardRepository.java,io.kestra.repository.postgres.PostgresDashboardRepository,class,12,12,0,12,2,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\main\java\io\kestra\core\services\ConcurrencyLimitService.java,io.kestra.core.services.ConcurrencyLimitService,class,3,4,1,3,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,13,1,0,2,0,1,3,0,2,1,1,1,0,0,0,37,1,0
D:\laboratorio-02-repositorios-java\.\repositories\kestra\core\src\main\java\io\kestra\plugin\core\condition\ExecutionNamespace.java,io.kestra.plugin.core.condition.ExecutionNamespace,class,16,16,0,16,3,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,22,1,0,1,0,0,9,0,4,0,6,1,0,1,0,69,1,0
