file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\services\src\main\java\org\keycloak\authentication\authenticators\browser\UsernameFormFactory.java,org.keycloak.authentication.authenticators.browser.UsernameFormFactory,class,9,9,0,9,14,1,0,3,76,0.8846154,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,2,2,0,0,0,2,0,2,40,10,0,0,0,0,3,0,2,0,2,0,0,0,0,58,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\server-spi\src\main\java\org\keycloak\models\ClientProvider.java,org.keycloak.models.ClientProvider,interface,6,9,3,6,12,1,0,2,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\quarkus\runtime\src\main\java\org\keycloak\quarkus\runtime\configuration\mappers\PropertyMapper.java,org.keycloak.quarkus.runtime.configuration.mappers.PropertyMapper$Builder,innerclass,9,9,0,9,29,1,0,30,84,0.83809525,0.0,0.0,21,0,21,0,0,0,21,0,0,0,15,0,0,15,0,0,1,0,4,136,23,0,3,1,0,9,0,30,2,36,3,0,0,12,102,9,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\model\infinispan\src\main\java\org\keycloak\models\sessions\infinispan\changes\JpaChangesPerformer.java,org.keycloak.models.sessions.infinispan.changes.JpaChangesPerformer,class,25,28,3,25,34,1,0,49,75,0.81333333,0.0,0.0,15,6,6,9,0,0,6,0,0,0,5,1,0,5,0,0,4,0,7,467,3,0,7,1,0,6,2,26,1,29,3,6,0,4,193,1,1
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\server-spi-private\src\main\java\org\keycloak\models\utils\FormMessage.java,org.keycloak.models.utils.FormMessage,class,0,1,1,0,9,1,0,1,0,0.53125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,1,0,1,33,4,0,1,0,0,5,0,5,1,4,1,0,0,0,42,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\tests\base\src\test\java\org\keycloak\tests\admin\ConsentsTest.java,org.keycloak.tests.admin.ConsentsTest,class,43,45,2,43,22,1,0,98,8,0.7625,0.0,0.0,8,2,5,3,0,0,5,0,0,0,20,7,0,7,0,13,7,0,7,245,3,1,5,1,0,100,23,38,11,51,2,0,4,3,145,1,7
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\server-spi-private\src\main\java\org\keycloak\models\workflow\Workflow.java,org.keycloak.models.workflow.Workflow,class,2,5,3,2,15,1,0,7,12,0.6666667,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,3,48,7,0,3,0,0,5,0,10,0,5,0,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\model\jpa\src\main\java\org\keycloak\models\jpa\JpaUserCredentialStore.java,org.keycloak.models.jpa.JpaUserCredentialStore,class,12,15,3,12,40,1,0,74,86,0.828125,0.0,0.0,16,0,10,3,0,3,13,0,0,0,4,2,1,1,2,0,4,0,3,148,17,2,14,0,1,7,11,33,5,33,2,0,0,4,90,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\testsuite\utils\src\main\java\org\keycloak\testsuite\util\cli\BatchTaskRunner.java,org.keycloak.testsuite.util.cli.BatchTaskRunner$BatchTask,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\test-framework\core\src\main\java\org\keycloak\testframework\realm\ClientConfigBuilder.java,org.keycloak.testframework.realm.ClientConfigBuilder,class,5,12,7,5,29,1,0,33,0,0.0,0.0,0.0,28,2,27,1,0,0,27,0,0,0,1,0,0,1,0,0,1,0,5,119,27,0,1,0,0,0,0,2,0,3,1,0,1,1,84,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\server-spi\src\main\java\org\keycloak\sessions\AuthenticationSessionProvider.java,org.keycloak.sessions.AuthenticationSessionProvider,interface,5,6,1,5,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,110,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\authz\AttributeTest.java,org.keycloak.testsuite.authz.AttributeTest$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\broker\OidcHardcodedGroupMapperTest.java,org.keycloak.testsuite.broker.OidcHardcodedGroupMapperTest,class,8,8,0,8,3,7,0,14,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,1,0,3,0,3,0,0,0,0,57,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\x509\X509BrowserCRLTest.java,org.keycloak.testsuite.x509.X509BrowserCRLTest,class,11,12,1,11,15,3,0,40,105,0.93333334,0.0,0.0,15,0,13,2,0,0,13,0,0,0,2,1,1,1,0,0,0,0,10,126,0,0,0,1,0,49,7,33,8,34,1,0,0,0,96,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\testsuite\integration-arquillian\tests\base\src\main\java\org\keycloak\testsuite\pages\LoginPasswordResetPage.java,org.keycloak.testsuite.pages.LoginPasswordResetPage,class,4,4,0,4,14,3,0,8,41,0.87500006,0.0,0.0,10,0,10,0,0,0,10,0,0,0,8,0,0,8,0,0,0,0,1,57,10,0,1,3,0,11,0,0,0,8,1,0,0,0,51,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\common\src\main\java\org\keycloak\common\util\SecretGenerator.java,org.keycloak.common.util.SecretGenerator,class,3,8,5,3,19,1,0,14,72,0.9326923,0.0,0.0,13,4,11,2,0,0,11,0,0,0,8,8,6,2,0,0,8,0,8,69,12,2,1,0,21,3,38,14,17,13,1,0,0,0,85,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\crypto\default\src\main\java\org\keycloak\crypto\def\BCPemUtilsProvider.java,org.keycloak.crypto.def.BCPemUtilsProvider,class,7,9,2,7,10,2,0,11,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,4,3,0,1,0,5,0,5,2,0,0,0,51,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\federation\sssd\src\main\java\org\freedesktop\dbus\interfaces\Error.java,org.freedesktop.dbus.interfaces.Error,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\services\src\main\java\org\keycloak\protocol\oidc\grants\ciba\resolvers\DefaultCIBALoginUserResolverFactory.java,org.keycloak.protocol.oidc.grants.ciba.resolvers.DefaultCIBALoginUserResolverFactory,class,6,6,0,6,5,1,0,0,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,0,15,2,0,0,0,0,1,0,1,0,1,0,0,0,0,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\tests\base\src\test\java\org\keycloak\tests\admin\ComponentsTest.java,org.keycloak.tests.admin.ComponentsTest$CreateComponentWithFlatChildren,innerclass,4,4,0,4,4,2,0,7,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,4,1,2,1,2,1,0,0,0,32,2,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\services\src\main\java\org\keycloak\authentication\ExplainedVerificationException.java,org.keycloak.authentication.ExplainedVerificationException,class,1,2,1,1,5,2,0,0,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,22,1,0,0,0,0,0,0,4,0,1,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\keycloak\services\src\main\java\org\keycloak\services\resources\account\AccountCredentialResource.java,org.keycloak.services.resources.account.AccountCredentialResource$CredentialContainer,innerclass,3,3,0,3,12,1,0,9,46,0.8333334,0.0,0.0,12,0,12,0,0,0,12,0,0,0,10,0,0,10,0,0,0,0,0,56,10,0,0,0,0,0,0,10,0,10,0,0,0,0,29,9,0
