file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,"ResColorValue/2[int,java.lang.String]",true,21,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,encodeAsResXml/0,false,26,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/1[java.lang.Throwable],true,30,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/0,true,22,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/1[java.lang.String],true,26,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,"PathAlreadyExists/2[java.lang.String,java.lang.Throwable]",true,34,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\VectorDrawableTest.java,brut.androlib.VectorDrawableTest,checkIfDrawableFileDecodesProperly/0,false,36,3,4,0,4,1,3,7,0,2,0,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,16,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\VectorDrawableTest.java,brut.androlib.VectorDrawableTest,beforeClass/0,false,31,3,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXml/0,false,54,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"serializeExtraXmlAttrs/2[brut.androlib.res.data.value.XmlSerializer,brut.androlib.res.data.ResResource]",false,60,3,1,0,1,2,2,5,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,4,0,false
