file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,(initializer 1),false,52,0,11,0,11,2,0,8,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,14,8,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,multipleMatchesPayload/0,false,238,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,1,48,0,0,1,0,0,0,0,13,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyForMissingXResultDetailHeader/0,false,163,10,7,0,7,1,24,36,0,12,0,24,1,1,0,0,0,0,10,7,14,0,0,0,0,1,134,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswer/0,false,303,8,12,0,12,1,19,20,0,7,0,19,1,1,0,0,0,0,8,2,7,0,0,0,0,0,41,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswerMisMatchSha1/0,false,447,7,6,0,6,1,14,14,0,6,0,14,1,1,0,0,0,0,4,0,6,0,0,0,0,1,40,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswerWithoutSha256/0,false,67,7,10,0,10,1,17,19,0,7,0,17,0,0,0,0,0,1,33,2,7,1,0,0,0,0,44,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswerWithMultipleMatches/0,false,122,8,11,0,11,1,17,25,0,8,0,17,1,1,0,0,0,0,12,3,8,0,0,0,0,0,45,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,setUp/0,false,62,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswerMisMatchMd5/0,false,424,7,6,0,6,1,14,14,0,6,0,14,1,1,0,0,0,0,6,0,6,1,0,0,0,1,52,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldThrowNotFoundWhenPatternCannotBeParsed/0,false,491,7,6,0,6,1,15,14,0,6,0,15,1,1,0,0,0,0,6,0,6,0,0,0,0,1,51,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldProcessCorrectlyArtifactoryAnswerMisMatchSha256/0,false,469,7,6,0,6,1,14,14,0,6,0,14,1,1,0,0,0,0,4,0,6,0,0,0,0,1,39,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldHandleNoMatches/0,false,218,6,3,0,3,1,11,12,0,6,0,11,0,0,0,0,0,1,5,0,6,1,0,0,0,1,43,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,payloadWithSha256/0,false,391,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,14,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,noXResultDetailHeaderResponse/0,false,289,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,1,10,0,0,1,0,0,0,0,17,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,payloadMimicIssue5868/0,false,332,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,0,16,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\artifactory\ArtifactorySearchResponseHandlerTest.java,org.owasp.dependencycheck.data.artifactory.ArtifactorySearchResponseHandlerTest,shouldSkipResultsWherePatternCannotBeParsed/0,false,514,8,10,0,10,1,17,18,0,7,0,17,1,1,0,0,0,0,6,2,7,0,0,0,0,0,37,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,getAnalyzerEnabledSettingKey/0,false,114,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,getName/0,false,93,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,prepareAnalyzer/1[org.owasp.dependencycheck.Engine],false,125,3,2,0,2,2,2,9,0,0,1,2,1,1,0,0,1,0,2,0,0,0,1,0,0,0,28,1,1,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,loadHintRules/0,false,245,5,9,1,8,24,30,105,0,10,0,30,0,0,0,6,6,0,27,3,17,8,5,0,0,0,87,2,5,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,getAnalysisPhase/0,false,103,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,"analyzeDependency/2[org.owasp.dependencycheck.dependency.Dependency,org.owasp.dependencycheck.Engine]",false,145,8,25,0,25,19,28,62,0,7,2,28,2,1,9,0,0,0,4,0,5,1,4,0,0,6,56,4,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,"removeMatchingEvidences/3[org.owasp.dependencycheck.dependency.Dependency,org.owasp.dependencycheck.dependency.EvidenceType,org.owasp.dependencycheck.xml.hints.EvidenceMatcher]",false,232,4,4,1,3,3,3,7,0,0,3,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,21,2,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,"hasMatchingEvidence/2[java.util.Set<org.owasp.dependencycheck.dependency.Evidence>,org.owasp.dependencycheck.xml.hints.EvidenceMatcher]",false,216,2,2,1,1,3,1,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,19,2,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,isTraceEnabled/0,false,63,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"warn/2[java.lang.String,java.lang.Throwable]",false,230,0,0,0,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"trace/2[java.lang.String,java.lang.Throwable]",false,101,0,0,0,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"warn/3[java.lang.String,java.lang.Object,java.lang.Object]",false,222,1,0,0,0,2,3,6,0,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,debug/1[java.lang.String],false,113,0,0,0,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"warn/2[java.lang.String,java.lang.Object]",false,206,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"info/2[java.lang.String,java.lang.Object]",false,163,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"info/3[java.lang.String,java.lang.Object,java.lang.Object]",false,171,1,0,0,0,2,3,6,0,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"trace/3[java.lang.String,java.lang.Object,java.lang.Object]",false,85,1,0,0,0,2,3,6,0,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"trace/2[java.lang.String,java.lang.Object[]]",false,93,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"error/2[java.lang.String,java.lang.Object[]]",false,265,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,isInfoEnabled/0,false,151,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"error/2[java.lang.String,java.lang.Throwable]",false,273,0,0,0,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,warn/1[java.lang.String],false,199,0,0,0,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"info/2[java.lang.String,java.lang.Throwable]",false,187,0,0,0,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,error/1[java.lang.String],false,242,0,0,0,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"error/3[java.lang.String,java.lang.Object,java.lang.Object]",false,257,1,0,0,0,2,3,6,0,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"debug/2[java.lang.String,java.lang.Object]",false,120,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,isErrorEnabled/0,false,237,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,AntLoggerAdapter/1[org.owasp.dependencycheck.ant.logging.Task],true,48,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,isWarnEnabled/0,false,194,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"debug/2[java.lang.String,java.lang.Throwable]",false,144,0,0,0,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,trace/1[java.lang.String],false,70,0,0,0,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,"trace/2[java.lang.String,java.lang.Object]",false,77,1,0,0,0,2,3,6,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
