file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,"processTransparentGreyscale/2[byte,byte]",false,54,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,isFinished/0,false,58,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,"processScanline/2[byte[],int]",false,38,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,makeInflaterInputStream/1[java.io.InputStream],false,26,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,"processTransparentTruecolour/6[byte,byte,byte,byte,byte,byte]",false,56,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\ui\image\apng\reader\PngScanlineProcessor.java,org.jackhuang.hmcl.ui.image.apng.reader.PngScanlineProcessor,getBytesPerLine/0,false,52,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,getPrimaryDownloadProviderId/0,false,118,2,2,0,2,2,3,5,2,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,(initializer 1),false,64,8,95,0,95,3,13,16,0,4,0,13,0,0,0,1,0,0,7,0,10,0,1,0,0,1,41,8,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,getDownloadProvider/0,false,134,3,10,8,2,2,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,DownloadProviders/0,true,48,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,init/0,false,91,4,7,1,6,4,21,18,1,4,0,21,0,0,0,1,0,0,0,0,2,0,2,0,0,3,26,8,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,getDownloadProviderByPrimaryId/1[java.lang.String],false,126,1,0,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\HMCL\HMCL\src\main\java\org\jackhuang\hmcl\setting\DownloadProviders.java,org.jackhuang.hmcl.setting.DownloadProviders,localizeErrorMessage/1[java.lang.Throwable],false,138,4,3,0,3,11,8,39,11,2,1,8,0,0,0,0,0,2,19,0,2,7,3,0,0,0,28,9,0,false
