file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputArrays_testStrictModeFalse_shouldNotThrowAnyException/0,false,280,4,4,0,4,3,8,14,0,5,0,8,1,1,1,0,1,0,3,1,5,1,2,0,0,0,35,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenNonCompliantQuotesObject_testStrictModeTrue_shouldThrowJsonExceptionWithConcreteErrorDescription/0,false,431,4,2,0,2,1,4,15,0,9,0,4,0,0,0,0,0,0,8,0,9,0,0,0,0,4,46,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputObject_testStrictModeFalse_shouldNotThrowAnyException/0,false,390,3,3,0,3,1,1,5,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,23,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenCompliantJSONObjectFile_testStrictModeTrue_shouldNotThrowAnyException/0,false,269,3,3,0,3,1,5,7,0,3,0,5,0,0,0,0,1,0,1,0,3,0,1,0,0,0,28,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenNonCompliantQuotesArray_testStrictModeTrue_shouldThrowJsonExceptionWithConcreteErrorDescription/0,false,398,4,2,0,2,1,4,15,0,9,0,4,0,0,0,0,0,0,8,0,9,0,0,0,0,4,45,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenUnbalancedQuotesObject_testStrictModeFalse_shouldThrowJsonException/0,false,481,4,2,0,2,1,4,9,0,5,0,4,0,0,0,0,0,0,4,0,5,0,0,0,0,2,40,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,getNonCompliantJSONArrayList/0,false,563,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,29,2,0,true
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenValidEmptyArrayInsideArray_testStrictModeTrue_shouldNotThrowJsonException/0,false,176,3,4,0,4,1,3,6,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,25,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,givenInvalidInputArrayWithNumericStrings_testStrictModeTrue_shouldThrowInvalidCharacterErrorMessage/0,false,339,4,2,0,2,1,4,6,0,3,0,4,0,0,0,0,0,0,3,0,3,1,0,0,0,1,45,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSON-java\src\test\java\org\json\junit\JSONParserConfigurationTest.java,org.json.junit.JSONParserConfigurationTest,getNonCompliantJSONObjectList/0,false,597,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,29,2,0,true
