file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\util\validation\validator\OrderByValidatorTest.java,net.sf.jsqlparser.util.validation.validator.OrderByValidatorTest,testOrderByNullOrdering/0,false,25,2,1,0,1,1,1,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,26,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\util\validation\validator\OrderByValidatorTest.java,net.sf.jsqlparser.util.validation.validator.OrderByValidatorTest,testOrderBy/0,false,19,2,1,0,1,1,1,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,18,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\test\java\net\sf\jsqlparser\parser\CCJSqlParserTest.java,net.sf.jsqlparser.parser.CCJSqlParserTest,parserWithTimeout/0,false,20,2,0,0,0,1,5,5,0,2,0,5,0,0,0,0,0,0,1,2,2,0,0,0,0,0,15,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,IntegerDivision/0,true,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,getStringExpression/0,false,30,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,withLeftExpression/1[net.sf.jsqlparser.expression.Expression],false,35,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,"IntegerDivision/2[net.sf.jsqlparser.expression.Expression,net.sf.jsqlparser.expression.Expression]",true,20,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,"accept/2[net.sf.jsqlparser.expression.ExpressionVisitor<T>,S]",false,25,3,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\expression\operators\arithmetic\IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,withRightExpression/1[net.sf.jsqlparser.expression.Expression],false,40,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\JSqlParser\src\main\java\net\sf\jsqlparser\util\AddAliasesVisitor.java,net.sf.jsqlparser.util.AddAliasesVisitor,"visit/2[net.sf.jsqlparser.statement.select.WithItem<?>,S]",false,109,3,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,false
