file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\test_old\java\net\minecraftforge\debug\client\rendering\CustomItemDecorationsTest.java,net.minecraftforge.debug.client.rendering.CustomItemDecorationsTest,CustomItemDecorationsTest/0,true,29,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\common\util\NonNullSupplier.java,net.minecraftforge.common.util.NonNullSupplier,get/0,false,19,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"handleLocatedFiles/2[java.util.List<net.minecraftforge.fml.loading.moddiscovery.ModFile>,java.util.List<net.minecraftforge.fml.loading.moddiscovery.IModFile>]",false,196,2,1,1,0,2,9,7,0,1,2,9,0,0,1,0,0,0,1,0,1,0,1,0,0,0,15,10,1,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",true,45,2,1,1,0,4,24,21,0,8,1,24,0,0,2,0,0,0,8,0,5,0,1,0,0,10,20,1,2,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,discoverMods/0,false,72,15,11,1,10,16,35,101,1,23,0,35,1,1,3,0,4,2,18,0,25,0,5,0,0,6,93,1,16,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\client\extensions\IForgeBlockStateModel.java,net.minecraftforge.client.extensions.IForgeBlockStateModel,"getModelData/4[net.minecraftforge.client.extensions.BlockAndTintGetter,net.minecraftforge.client.extensions.BlockPos,net.minecraftforge.client.extensions.BlockState,net.minecraftforge.client.model.data.ModelData]",false,33,5,0,0,0,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\client\extensions\IForgeBlockStateModel.java,net.minecraftforge.client.extensions.IForgeBlockStateModel,self/0,false,29,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\client\extensions\IForgeBlockStateModel.java,net.minecraftforge.client.extensions.IForgeBlockStateModel,"getRenderTypes/3[net.minecraftforge.client.extensions.BlockState,net.minecraftforge.client.extensions.RandomSource,net.minecraftforge.client.model.data.ModelData]",false,47,5,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\client\extensions\IForgeBlockStateModel.java,net.minecraftforge.client.extensions.IForgeBlockStateModel,particleIcon/1[net.minecraftforge.client.model.data.ModelData],false,37,4,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,65536,0,false
D:\laboratorio-02-repositorios-java\.\repositories\MinecraftForge\src\main\java\net\minecraftforge\client\extensions\IForgeBlockStateModel.java,net.minecraftforge.client.extensions.IForgeBlockStateModel,"collectParts/4[net.minecraftforge.client.extensions.RandomSource,java.util.List<net.minecraftforge.client.extensions.BlockModelPart>,net.minecraftforge.client.model.data.ModelData,net.minecraftforge.client.extensions.ChunkSectionLayer]",false,67,6,2,1,1,1,2,3,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,65536,0,true
