file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"RedisLockProvider/4[net.javacrumbs.shedlock.provider.redis.spring.StringRedisTemplate,java.lang.String,java.lang.String,boolean]",true,94,3,2,1,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,SpringRedisLockTemplate/1[net.javacrumbs.shedlock.provider.redis.spring.StringRedisTemplate],false,142,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"setIfAbsent/3[java.lang.String,java.lang.String,long]",false,145,1,1,0,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"setIfPresent/3[java.lang.String,java.lang.String,long]",false,150,1,1,0,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,delete/1[java.lang.String],false,179,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"RedisLockProvider/2[net.javacrumbs.shedlock.provider.redis.spring.RedisConnectionFactory,java.lang.String]",true,58,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"RedisLockProvider/3[net.javacrumbs.shedlock.provider.redis.spring.RedisConnectionFactory,java.lang.String,java.lang.String]",true,74,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"RedisLockProvider/3[net.javacrumbs.shedlock.provider.redis.spring.StringRedisTemplate,java.lang.String,java.lang.String]",true,90,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"set/4[java.lang.String,java.lang.String,long,RedisStringCommands.SetOption]",false,154,2,2,2,0,2,7,8,2,3,4,7,0,0,0,1,0,2,0,0,2,0,1,0,0,1,12,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,RedisLockProvider/1[net.javacrumbs.shedlock.provider.redis.spring.RedisConnectionFactory],true,44,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,"eval/3[java.lang.String,java.lang.String,java.lang.String[]]",false,174,1,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\redis\shedlock-provider-redis-spring\src\main\java\net\javacrumbs\shedlock\provider\redis\spring\RedisLockProvider.java,net.javacrumbs.shedlock.provider.redis.spring.RedisLockProvider,lock/1[net.javacrumbs.shedlock.core.LockConfiguration],false,100,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\etcd\shedlock-provider-etcd-jetcd\src\test\java\net\javacrumbs\shedlock\provider\etcd\jetcd\EtcdLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.etcd.jetcd.EtcdLockProviderIntegrationTest,assertUnlocked/1[java.lang.String],false,88,0,0,0,0,1,5,3,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,9,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ShedLock\providers\etcd\shedlock-provider-etcd-jetcd\src\test\java\net\javacrumbs\shedlock\provider\etcd\jetcd\EtcdLockProviderIntegrationTest.java,net.javacrumbs.shedlock.provider.etcd.jetcd.EtcdLockProviderIntegrationTest,startCluster/0,false,42,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,false
