file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\proprietary\src\main\java\stirling\software\proprietary\security\filter\FirstLoginFilter.java,stirling.software.proprietary.security.filter.FirstLoginFilter,"doFilterInternal/3[stirling.software.proprietary.security.filter.HttpServletRequest,stirling.software.proprietary.security.filter.HttpServletResponse,stirling.software.proprietary.security.filter.FilterChain]",false,39,7,1,0,1,9,27,25,2,9,3,27,0,0,0,1,0,1,7,0,9,2,2,0,0,0,36,4,1,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\proprietary\src\main\java\stirling\software\proprietary\security\filter\FirstLoginFilter.java,stirling.software.proprietary.security.filter.FirstLoginFilter,FirstLoginFilter/1[stirling.software.proprietary.security.filter.UserService],true,32,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\core\src\main\java\stirling\software\SPDF\config\ExternalAppDepConfig.java,stirling.software.SPDF.config.ExternalAppDepConfig$Anonymous1,(initializer 1),false,36,0,1,0,1,1,2,10,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\test\java\stirling\software\common\util\ProcessExecutorTest.java,stirling.software.common.util.ProcessExecutorTest,setUp/0,false,20,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\test\java\stirling\software\common\util\ProcessExecutorTest.java,stirling.software.common.util.ProcessExecutorTest,testRunCommandWithOutputHandling/0,false,26,3,1,0,1,1,6,8,0,2,0,6,0,0,0,0,0,0,2,1,2,0,0,0,0,0,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\test\java\stirling\software\common\util\ProcessExecutorTest.java,stirling.software.common.util.ProcessExecutorTest,testRunCommandWithOutputHandling_Error/0,false,42,1,0,0,0,1,6,10,0,3,0,6,0,0,0,0,0,0,4,0,3,1,1,0,0,1,21,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getTokenUri/0,false,42,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getClientName/0,false,56,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getUserinfoUri/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getAuthorizationUri/0,false,38,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,toString/0,false,74,1,1,0,1,3,5,3,1,0,0,5,1,1,0,1,0,1,7,0,0,1,0,0,0,0,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getName/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,"GoogleProvider/4[java.lang.String,java.lang.String,java.util.Collection<java.lang.String>,stirling.software.common.model.enumeration.UsernameAttribute]",true,24,1,1,1,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\Stirling-PDF\app\common\src\main\java\stirling\software\common\model\oauth2\GoogleProvider.java,stirling.software.common.model.oauth2.GoogleProvider,getScopes/0,false,61,0,1,1,0,3,3,9,1,1,0,3,0,0,0,1,0,0,2,0,2,0,1,0,0,0,5,1,0,false
