file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\MethodCallBlocker.java,io.aeron.cluster.MethodCallBlocker$Controller,release/0,false,298,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\MethodCallBlocker.java,io.aeron.cluster.MethodCallBlocker$Controller,onEnter/0,false,266,0,1,1,0,3,3,7,0,0,0,3,0,0,1,1,0,0,0,1,0,0,2,0,0,0,9,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\MethodCallBlocker.java,io.aeron.cluster.MethodCallBlocker$Controller,blockNextEntry/0,false,277,0,1,1,0,2,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\MethodCallBlocker.java,io.aeron.cluster.MethodCallBlocker$Controller,awaitBlocked/0,false,285,0,1,1,0,3,2,8,0,0,0,2,0,0,1,2,0,0,1,1,0,0,1,0,0,0,17,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getUntetheredRestingTimeout/2[io.aeron.driver.ChannelUri,io.aeron.driver.MediaDriver.Context]",false,514,3,3,1,2,1,2,3,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getMaxResend/2[io.aeron.driver.ChannelUri,io.aeron.driver.MediaDriver.Context]",false,520,4,4,1,3,4,3,12,0,1,2,3,1,1,0,1,0,0,3,1,3,1,2,0,0,0,27,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"confirmMatch/8[io.aeron.driver.ChannelUri,io.aeron.driver.PublicationParams,io.aeron.driver.buffer.RawLog,int,java.lang.String,int,int,int]",false,295,3,5,2,3,13,7,21,0,1,8,7,1,1,0,6,0,0,0,0,1,0,1,0,0,0,38,8,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"parseInt/2[java.lang.String,java.lang.String]",false,541,1,5,4,1,2,1,8,1,0,2,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,14,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,toString/0,false,601,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,31,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,"getUntetheredWindowLimitTimeout/2[io.aeron.driver.ChannelUri,io.aeron.driver.MediaDriver.Context]",false,498,3,3,1,2,1,2,3,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,2,0,false
