file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,eliminateLoopsRec/1[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement],false,57,3,5,2,3,5,3,11,3,0,1,3,2,3,1,1,0,0,0,0,0,0,2,0,0,0,14,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"getNextBreakLift/4[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.StatEdge,java.util.HashMap<java.lang.Integer,java.lang.Boolean>,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,195,3,7,1,6,7,8,12,2,3,4,8,0,0,1,2,0,0,0,0,4,0,2,0,0,0,11,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"eliminateLoop/2[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,214,2,12,1,11,3,13,14,0,2,2,13,0,0,1,0,0,0,0,1,2,0,1,0,0,0,9,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"getMaxBreakLift/4[org.jetbrains.java.decompiler.modules.decompiler.stats.Statement,org.jetbrains.java.decompiler.modules.decompiler.StatEdge,java.util.HashMap<java.lang.Integer,java.lang.Boolean>,org.jetbrains.java.decompiler.modules.decompiler.stats.Statement]",false,183,3,2,1,1,2,1,8,1,2,4,1,1,1,1,1,0,1,0,0,4,0,1,0,0,0,11,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,"eliminateLoops/3[org.jetbrains.java.decompiler.modules.decompiler.stats.RootStatement,org.jetbrains.java.decompiler.struct.StructMethod,org.jetbrains.java.decompiler.struct.StructClass]",false,39,6,5,1,4,3,3,12,1,3,3,3,1,4,1,0,0,0,0,0,3,0,2,0,0,0,31,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\EliminateLoopsHelper.java,org.jetbrains.java.decompiler.modules.decompiler.EliminateLoopsHelper,findAndReduceRedundantLoop/1[org.jetbrains.java.decompiler.modules.decompiler.stats.DoStatement],false,72,7,18,1,17,29,36,83,6,19,1,36,2,2,10,11,0,1,0,9,21,0,4,0,0,1,33,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getGenericMap/1[org.jetbrains.java.decompiler.struct.gen.VarType],false,284,2,4,1,3,7,9,17,3,4,1,9,0,0,1,4,0,0,2,1,4,1,2,0,0,0,11,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,toString/0,false,271,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getMethod/1[java.lang.String],false,149,2,5,4,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getInterfaces/0,false,189,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion16/0,false,238,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isOwn/0,false,205,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion14/0,false,230,0,2,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,releaseResources/0,false,161,0,1,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion8/0,false,222,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getPermittedSubclasses/0,false,183,2,4,2,2,2,2,5,2,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getAllGenerics/0,false,304,5,8,2,6,22,22,70,2,11,0,22,2,1,7,8,0,0,2,0,12,1,6,0,0,0,21,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getSignature/0,false,280,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getType/0,false,276,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"getMethod/2[java.lang.String,java.lang.String]",false,153,3,7,5,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getInterfaceNames/0,false,193,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getRecordComponents/0,false,177,3,9,7,2,2,2,5,2,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,hasPatternsInInstanceofSupport/0,false,258,1,4,1,3,1,3,3,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getFields/0,false,201,2,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"hasField/2[java.lang.String,java.lang.String]",false,141,1,3,2,1,2,1,3,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"getField/2[java.lang.String,java.lang.String]",false,145,3,8,6,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion17/0,false,242,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
