file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\maker\java\src\main\java\org\lionsoul\ip2region\xdb\InvalidInetAddressException.java,org.lionsoul.ip2region.xdb.InvalidInetAddressException,InvalidInetAddressException/1[java.lang.String],true,9,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\maker\java\src\main\java\org\lionsoul\ip2region\xdb\Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,before/1[java.lang.String],false,163,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\maker\java\src\main\java\org\lionsoul\ip2region\xdb\Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,handle/1[org.lionsoul.ip2region.xdb.Segment],false,168,2,5,0,5,5,5,14,0,1,1,5,0,0,0,2,0,0,8,1,2,3,1,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\xdb\Header.java,org.lionsoul.ip2region.xdb.Header,toString/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,15,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\xdb\Header.java,org.lionsoul.ip2region.xdb.Header,Header/1[byte[]],true,22,2,4,2,2,2,2,11,0,0,1,2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,17,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\SearchApp.java,org.lionsoul.ip2region.SearchApp,printHelp/1[java.lang.String[]],false,22,0,1,1,0,1,1,7,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\SearchApp.java,org.lionsoul.ip2region.SearchApp,"createSearcher/2[java.lang.String,java.lang.String]",false,30,4,10,2,8,4,9,19,3,4,2,9,0,0,0,0,0,0,6,0,4,1,1,0,0,0,26,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\SearchApp.java,org.lionsoul.ip2region.SearchApp,main/1[java.lang.String[]],false,228,1,3,0,3,6,5,25,1,0,1,5,3,3,0,0,2,0,4,3,0,0,2,0,0,0,10,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\SearchApp.java,org.lionsoul.ip2region.SearchApp,searchTest/1[java.lang.String[]],false,56,2,6,1,5,12,21,60,3,11,1,21,1,1,2,1,1,1,19,6,13,3,2,0,0,0,44,9,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ip2region\binding\java\src\main\java\org\lionsoul\ip2region\SearchApp.java,org.lionsoul.ip2region.SearchApp,benchTest/1[java.lang.String[]],false,125,4,7,1,6,18,22,92,8,21,1,22,1,1,3,4,2,1,22,22,25,4,3,0,0,0,68,9,0,false
