file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,(initializer 1),false,33,0,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,onTestSkipped/1[com.provectus.kafka.ui.settings.listeners.ITestResult],false,58,1,0,0,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,"setupResultItem/3[com.provectus.kafka.ui.settings.listeners.ResultCreate,com.provectus.kafka.ui.settings.listeners.ITestResult,ResultCreate.StatusEnum]",false,77,5,0,0,0,4,27,14,0,11,3,27,0,0,0,2,0,0,0,0,9,0,1,0,0,3,27,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,onTestSuccess/1[com.provectus.kafka.ui.settings.listeners.ITestResult],false,51,1,0,0,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,onTestFailure/1[com.provectus.kafka.ui.settings.listeners.ITestResult],false,65,1,0,0,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,onFinish/1[com.provectus.kafka.ui.settings.listeners.ITestContext],false,72,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,createQaseListener/0,false,40,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\main\java\com\provectus\kafka\ui\settings\listeners\QaseResultListener.java,com.provectus.kafka.ui.settings.listeners.QaseResultListener,onTestStart/1[com.provectus.kafka.ui.settings.listeners.ITestResult],false,45,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\test\java\com\provectus\kafka\ui\smokesuite\ksqldb\KsqlDbTest.java,com.provectus.kafka.ui.smokesuite.ksqldb.KsqlDbTest,clearResultsForExecutedRequest/0,false,110,4,1,0,1,1,7,9,0,1,0,7,1,1,0,0,0,0,2,2,1,0,0,0,0,0,15,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\kafka-ui\kafka-ui-e2e-checks\src\test\java\com\provectus\kafka\ui\smokesuite\ksqldb\KsqlDbTest.java,com.provectus.kafka.ui.smokesuite.ksqldb.KsqlDbTest,checkShowStreamsRequestExecution/0,false,99,4,1,0,1,1,9,7,0,1,0,9,1,1,0,0,0,0,2,2,1,0,0,0,0,0,15,1,0,false
