file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-chat\src\main\java\org\ruoyi\common\chat\listener\WebSocketTopicListener.java,org.ruoyi.common.chat.listener.WebSocketTopicListener,getOrder/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-chat\src\main\java\org\ruoyi\common\chat\listener\WebSocketTopicListener.java,org.ruoyi.common.chat.listener.WebSocketTopicListener,run/1[org.ruoyi.common.chat.listener.ApplicationArguments],false,20,2,1,0,1,3,8,15,0,2,1,8,0,0,0,0,0,0,2,0,0,0,4,0,0,2,8,1,2,false
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,buildQueryWrapper/1[org.ruoyi.generator.domain.bo.SchemaGroupBo],false,59,3,2,2,0,1,6,6,1,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,queryList/1[org.ruoyi.generator.domain.bo.SchemaGroupBo],false,54,4,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,insertByBo/1[org.ruoyi.generator.domain.bo.SchemaGroupBo],false,70,3,1,0,1,3,5,9,1,2,1,5,1,1,0,0,0,0,0,1,2,0,1,0,0,0,13,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,"queryPageList/2[org.ruoyi.generator.domain.bo.SchemaGroupBo,org.ruoyi.generator.impl.PageQuery]",false,44,7,1,0,1,1,3,5,1,2,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,"deleteWithValidByIds/2[java.util.Collection<java.lang.Long>,java.lang.Boolean]",false,101,0,0,0,0,2,1,3,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,validEntityBeforeSave/1[org.ruoyi.generator.domain.SchemaGroup],false,93,1,2,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,queryById/1[java.lang.Long],false,36,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,updateByBo/1[org.ruoyi.generator.domain.bo.SchemaGroupBo],false,84,3,1,0,1,2,3,5,1,1,1,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,11,1,0,true
