file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\bidi\webextension\ExtensionBase64Encoded.java,org.openqa.selenium.bidi.webextension.ExtensionBase64Encoded,toMap/0,false,30,0,0,0,0,1,2,4,1,1,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\bidi\webextension\ExtensionBase64Encoded.java,org.openqa.selenium.bidi.webextension.ExtensionBase64Encoded,ExtensionBase64Encoded/1[java.lang.String],true,25,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\virtualauthenticator\HasVirtualAuthenticator.java,org.openqa.selenium.virtualauthenticator.HasVirtualAuthenticator,addVirtualAuthenticator/1[org.openqa.selenium.virtualauthenticator.VirtualAuthenticatorOptions],false,25,2,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\virtualauthenticator\HasVirtualAuthenticator.java,org.openqa.selenium.virtualauthenticator.HasVirtualAuthenticator,removeVirtualAuthenticator/1[org.openqa.selenium.virtualauthenticator.VirtualAuthenticator],false,32,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\interactions\CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,perform/0,false,30,1,1,0,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\interactions\CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,addAction/1[org.openqa.selenium.interactions.Action],false,36,3,1,0,1,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,getValue/0,false,532,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,NoDefaultConstructor/1[java.lang.String],true,528,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,setValue/1[java.lang.String],false,536,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getAriaRole/0,false,179,1,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,findElements/1[org.openqa.selenium.By],false,230,2,57,57,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,clear/0,false,74,0,11,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,isSelected/0,false,196,0,32,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getAttribute/1[java.lang.String],false,132,1,158,158,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getDomProperty/1[java.lang.String],false,104,1,22,22,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getTagName/0,false,83,0,15,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,findElement/1[org.openqa.selenium.By],false,250,2,33,33,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getShadowRoot/0,false,276,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getRect/0,false,308,1,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getAccessibleName/0,false,192,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,isEnabled/0,false,209,0,22,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getText/0,false,220,0,123,123,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,isDisplayed/0,false,280,0,32,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getLocation/0,false,288,1,24,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,submit/0,false,54,0,8,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,sendKeys/1[java.lang.CharSequence[]],false,63,0,48,48,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getDomAttribute/1[java.lang.String],false,128,1,29,29,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,65536,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,click/0,false,35,0,85,85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getCssValue/1[java.lang.String],false,315,0,39,39,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getSize/0,false,298,1,17,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,nestedMapIsFine/0,false,192,3,1,0,1,1,12,20,0,1,0,12,1,1,0,0,0,0,5,0,1,0,0,0,0,0,10,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,shouldParseBooleanValues/0,false,53,3,1,0,1,1,7,8,0,1,0,7,1,1,0,0,0,0,2,0,2,0,0,0,0,0,16,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,anArrayWithASingleElementHasNextButOnlyOneValue/0,false,118,3,1,0,1,1,6,6,0,1,0,6,1,1,0,0,0,0,2,0,1,0,0,0,0,0,18,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,shouldParseNonDecimalNumbersAsLongs/0,false,64,3,1,0,1,1,5,5,0,1,0,5,1,1,0,0,0,0,1,1,1,0,0,0,0,0,21,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,canReadAMapWithManyEntries/0,false,167,3,1,0,1,1,12,20,0,1,0,12,1,1,0,0,0,0,10,1,1,1,0,0,0,0,24,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,shouldBeAbleToReadNonWellFormedDataLongerThanReadBuffer/0,false,259,5,1,0,1,1,15,8,0,4,0,15,1,1,0,0,0,0,3,3,4,3,0,0,0,1,33,0,0,false
D:\laboratorio-02-repositorios-java\.\repositories\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,shouldBeAbleToReadAString/0,false,85,3,1,0,1,1,5,5,0,1,0,5,1,1,0,0,0,0,2,0,1,0,0,0,0,0,19,0,0,false
