file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,createChapterFile/1[com.pcdd.sonovel.model.Chapter],false,154,2,2,1,1,3,5,9,1,1,1,5,1,1,0,1,1,0,0,0,1,0,1,0,0,0,13,2,1,true
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,crawl/1[java.lang.String],false,49,3,6,3,3,2,5,10,2,2,1,5,1,3,0,0,0,0,2,2,2,0,1,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,generateChapterPath/1[com.pcdd.sonovel.model.Chapter],false,164,1,1,1,0,2,5,5,1,2,1,5,0,0,0,0,0,0,1,0,2,3,0,0,0,0,11,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,"crawl/2[java.lang.String,java.util.List<com.pcdd.sonovel.model.Chapter>]",false,67,14,17,2,15,7,49,50,2,12,2,49,1,2,0,4,2,0,11,9,14,1,3,0,0,2,45,1,3,true
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Crawler.java,com.pcdd.sonovel.core.Crawler,Crawler/1[com.pcdd.sonovel.model.AppConfig],true,45,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\action\AggregatedSearchAction.java,com.pcdd.sonovel.action.AggregatedSearchAction,getSearchResults/1[java.lang.String],false,52,8,9,3,6,6,21,28,1,6,1,21,0,0,1,1,2,0,3,1,6,0,5,0,0,1,22,9,1,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\action\AggregatedSearchAction.java,com.pcdd.sonovel.action.AggregatedSearchAction,execute/0,false,33,4,4,0,4,3,11,13,2,3,0,11,1,1,0,0,0,0,4,0,3,0,1,0,0,0,11,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\util\RandomUA.java,com.pcdd.sonovel.util.RandomUA,generate/0,false,30,0,8,8,0,1,1,8,1,5,0,1,0,0,0,0,0,0,0,3,5,3,0,0,0,0,20,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Source.java,com.pcdd.sonovel.core.Source,Source/1[com.pcdd.sonovel.model.AppConfig],true,19,2,6,5,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\so-novel\src\main\java\com\pcdd\sonovel\core\Source.java,com.pcdd.sonovel.core.Source,"Source/2[com.pcdd.sonovel.model.Rule,com.pcdd.sonovel.model.AppConfig]",true,27,4,1,0,1,8,16,25,0,1,2,16,0,0,0,7,0,0,0,0,3,0,2,0,0,0,6,1,0,false
