file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8107.java,com.genersoft.iot.vmp.jt1078.proc.response.J8107,encode/0,false,14,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,compareTo/1[com.genersoft.iot.vmp.gb28181.bean.RecordItem],false,54,2,0,0,0,3,5,15,3,4,1,5,0,0,0,0,0,0,0,3,4,0,1,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8105.java,com.genersoft.iot.vmp.jt1078.proc.response.J8105,setReset/1[java.lang.Boolean],false,65,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8105.java,com.genersoft.iot.vmp.jt1078.proc.response.J8105,setConnectionControl/1[com.genersoft.iot.vmp.jt1078.proc.response.JTDeviceConnectionControl],false,61,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8105.java,com.genersoft.iot.vmp.jt1078.proc.response.J8105,setFactoryReset/1[java.lang.Boolean],false,69,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8105.java,com.genersoft.iot.vmp.jt1078.proc.response.J8105,encode/0,false,32,1,0,0,0,6,17,24,1,2,0,17,0,0,0,4,0,0,11,3,2,8,3,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8105.java,com.genersoft.iot.vmp.jt1078.proc.response.J8105,toString/0,false,74,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8106.java,com.genersoft.iot.vmp.jt1078.proc.response.J8106,setParams/1[long[]],false,30,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8106.java,com.genersoft.iot.vmp.jt1078.proc.response.J8106,toString/0,false,35,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8106.java,com.genersoft.iot.vmp.jt1078.proc.response.J8106,encode/0,false,21,1,0,0,0,2,3,8,1,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,1,0,false
