file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\TypeScriptNestjsServerCodegen.java,org.openapitools.codegen.languages.TypeScriptNestjsServerCodegen,class,21,22,1,21,114,3,0,100,529,0.948276,0.0,0.0,34,0,21,12,1,0,22,0,0,0,29,16,14,7,8,0,15,0,16,408,34,11,14,0,0,126,12,98,12,67,6,0,0,1,268,1,2
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\client\petstore\java\retrofit2rx3\src\test\java\org\openapitools\client\model\AdditionalPropertiesNumberTest.java,org.openapitools.client.model.AdditionalPropertiesNumberTest,class,2,2,0,2,2,1,0,0,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\client\others\java\webclient-sealedInterface\src\main\java\org\openapitools\client\model\FruitType.java,org.openapitools.client.model.FruitType,enum,3,7,4,3,6,1,0,3,0,0.0,0.0,0.0,4,1,3,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,2,19,3,1,0,0,0,4,0,1,1,1,2,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\openapi3\client\petstore\java\jersey2-java8\src\test\java\org\openapitools\client\model\BananaTest.java,org.openapitools.client.model.BananaTest,class,2,2,0,2,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\TemplatingEngineLoader.java,org.openapitools.codegen.TemplatingEngineLoader,class,2,4,2,2,5,1,0,10,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,2,1,0,1,0,4,0,2,0,2,2,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\server\petstore\java-helidon-server\v4\se-uac\src\test\java\org\openapitools\server\model\ClientTest.java,org.openapitools.server.model.ClientTest,class,2,2,0,2,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\modules\openapi-generator\src\test\java\org\openapitools\codegen\java\jaxrs\JavaJaxrsBaseTest.java,org.openapitools.codegen.java.jaxrs.JavaJaxrsBaseTest,class,14,21,7,14,11,1,6,49,0,0.27272728,0.0,0.0,11,1,8,3,0,0,8,0,0,0,1,0,0,0,1,0,0,0,29,211,1,0,0,0,2,169,33,69,7,70,0,0,0,0,138,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\server\petstore\springboot-reactive\src\main\java\org\openapitools\api\FakeClassnameTestApiDelegate.java,org.openapitools.api.FakeClassnameTestApiDelegate,interface,5,11,3,8,4,1,0,11,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,0,0,0,5,0,3,0,2,2,0,0,0,48,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\server\petstore\java-helidon-server\v4\se-uac\src\test\java\org\openapitools\server\model\NameTest.java,org.openapitools.server.model.NameTest,class,2,2,0,2,5,1,0,0,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\openapi-generator\samples\server\petstore\java-helidon-server\v4\se-uac-group-by-file-path\src\main\java\org\openapitools\server\api\FakeService.java,TestBodyWithBinaryOp,innerclass,2,3,1,2,3,1,0,3,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,9,0
