file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-tools\pdfsam-simple-split\src\main\java\org\pdfsam\tools\split\SplitTool.java,org.pdfsam.tools.split.SplitTool,panel/0,false,68,2,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-tools\pdfsam-simple-split\src\main\java\org\pdfsam\tools\split\SplitTool.java,org.pdfsam.tools.split.SplitTool,descriptor/0,false,63,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-tools\pdfsam-simple-split\src\main\java\org\pdfsam\tools\split\SplitTool.java,org.pdfsam.tools.split.SplitTool,graphic/0,false,78,3,1,0,1,1,5,5,1,1,0,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-tools\pdfsam-simple-split\src\main\java\org\pdfsam\tools\split\SplitTool.java,org.pdfsam.tools.split.SplitTool,id/0,false,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\SelectionTableTest.java,org.pdfsam.ui.components.selection.multiple.SelectionTableTest$Anonymous4,onEvent/1[SetDestinationRequest],false,541,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-gui\src\test\java\org\pdfsam\gui\RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,setUp/0,false,48,5,1,0,1,1,5,8,0,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-gui\src\test\java\org\pdfsam\gui\RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,runRequestIfNoActiveModule/0,false,68,5,2,0,2,1,12,7,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-gui\src\test\java\org\pdfsam\gui\RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,runRequestIsSent/0,false,59,6,3,0,3,1,10,7,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,saveWorkspaceWithException/0,false,84,4,1,0,1,1,13,8,0,2,0,13,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,setUp/0,false,66,5,2,0,2,1,5,7,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,15,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,saveWorkspace/0,false,75,4,1,0,1,1,12,7,0,1,0,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,loadWorkspace/0,false,112,7,2,0,2,1,16,15,0,4,0,16,0,0,0,0,0,0,3,1,4,0,0,0,0,1,20,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,loadWorkspaceNoDataForModule/0,false,129,5,2,0,2,1,17,10,0,3,0,17,0,0,0,0,0,0,4,1,3,0,0,0,0,1,22,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,loadWorkspaceWithException/0,false,103,5,2,0,2,1,13,7,0,1,0,13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\pdfsam\pdfsam-service\src\test\java\org\pdfsam\service\ui\WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,loadEmptyWorkspace/0,false,94,5,2,0,2,1,15,7,0,1,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,14,1,0,false
