file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-tests\src\test\java\com\facebook\presto\tests\TestMinWorkerRequirement.java,com.facebook.presto.tests.TestMinWorkerRequirement,class,3,3,0,3,4,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,4,0,29,6,3,0,3,2,0,0,0,42,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-main-base\src\main\java\com\facebook\presto\sql\planner\sanity\VerifyOnlyOneOutputNode.java,com.facebook.presto.sql.planner.sanity.VerifyOnlyOneOutputNode,class,6,6,0,6,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,1,1,0,1,0,0,0,0,25,17,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-spi\src\main\java\com\facebook\presto\spi\eventlistener\QueryContext.java,com.facebook.presto.spi.eventlistener.QueryContext,class,3,6,3,3,17,1,0,6,104,0.8823529,0.0,0.0,17,0,17,0,0,0,17,0,0,0,16,0,0,16,0,0,16,0,16,84,16,0,0,0,0,16,0,16,0,16,0,0,0,0,41,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-main-base\src\main\java\com\facebook\presto\operator\PageBufferClient.java,com.facebook.presto.operator.PageBufferClient$PagesResponse,innerclass,2,2,0,2,9,1,0,6,2,0.5777778,0.0,0.0,9,2,8,1,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,38,8,0,0,0,0,4,0,5,0,5,0,0,0,0,22,9,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-hive\src\test\java\com\facebook\presto\hive\TestBackgroundHiveSplitLoader.java,com.facebook.presto.hive.TestBackgroundHiveSplitLoader$TestingHdfsFileSystem,innerclass,10,10,0,10,13,2,0,1,78,0.9230769,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,51,1,0,0,0,0,0,0,1,0,1,0,1,0,0,44,10,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-lark-sheets\src\main\java\com\facebook\presto\lark\sheets\api\LarkSheetsSchemaStore.java,com.facebook.presto.lark.sheets.api.LarkSheetsSchemaStore,interface,1,4,3,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-spark-base\src\main\java\com\facebook\presto\spark\execution\nativeprocess\NativeExecutionModule.java,com.facebook.presto.spark.execution.nativeprocess.NativeExecutionModule$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-proxy\src\main\java\com\facebook\presto\proxy\ProxyModule.java,com.facebook.presto.proxy.ProxyModule,class,6,8,2,6,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-spark-base\src\main\java\com\facebook\presto\spark\execution\nativeprocess\NativeExecutionModule.java,com.facebook.presto.spark.execution.nativeprocess.NativeExecutionModule$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-cassandra\src\main\java\com\facebook\presto\cassandra\CassandraConnectorFactory.java,com.facebook.presto.cassandra.CassandraConnectorFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryPageSourceProvider.java,com.facebook.presto.plugin.bigquery.BigQueryPageSourceProvider,class,21,24,3,21,3,1,0,9,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,7,0,7,1,0,0,0,38,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-main-base\src\main\java\com\facebook\presto\sql\planner\iterative\rule\AddExchangesBelowPartialAggregationOverGroupIdRuleSet.java,com.facebook.presto.sql.planner.iterative.rule.AddExchangesBelowPartialAggregationOverGroupIdRuleSet$BaseAddExchangesBelowExchangePartialAggregationGroupId,innerclass,18,18,0,18,16,1,0,66,21,0.0,0.0,0.0,7,0,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,15,63,12,1,1,0,0,1,4,22,7,27,1,0,0,8,106,1026,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-orc\src\main\java\com\facebook\presto\orc\OrcDataSource.java,com.facebook.presto.orc.OrcDataSource,interface,5,37,32,5,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-mongodb\src\main\java\com\facebook\presto\mongodb\MongoClientModule.java,com.facebook.presto.mongodb.MongoClientModule,class,14,15,1,14,4,1,0,34,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,1,0,0,1,0,2,0,2,1,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-main-base\src\main\java\com\facebook\presto\testing\DateTimeTestingUtils.java,com.facebook.presto.testing.DateTimeTestingUtils,class,10,11,1,10,15,1,0,28,55,0.0,0.0,0.0,11,10,8,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,54,14,0,0,0,0,0,1,4,1,4,1,0,0,0,44,17,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-parquet\src\main\java\com\facebook\presto\parquet\cache\ParquetMetadataSource.java,com.facebook.presto.parquet.cache.ParquetMetadataSource,interface,3,5,2,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-hive-function-namespace\src\main\java\com\facebook\presto\hive\functions\StaticHiveFunctionRegistry.java,com.facebook.presto.hive.functions.StaticHiveFunctionRegistry,class,6,7,1,6,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,14,1,0,0,1,0,3,0,2,1,2,1,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\presto\presto-jdbc\src\main\java\com\facebook\presto\jdbc\ConnectionProperties.java,com.facebook.presto.jdbc.ConnectionProperties$CustomHeaders,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0
