file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setAngleCenter/1[com.rnlineargradient.ReadableMap],false,165,3,2,1,1,1,2,4,0,0,1,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setBorderRadii/1[com.rnlineargradient.ReadableArray],false,175,3,3,1,2,2,5,9,0,2,1,5,2,3,1,0,0,0,0,1,4,0,1,0,0,0,13,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,LinearGradientView/1[com.rnlineargradient.Context],true,35,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,updatePath/0,false,239,2,2,2,0,2,3,9,0,0,0,3,0,0,0,1,0,0,0,4,2,0,1,0,0,0,10,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,"getHorizontalOrVerticalStartPoint/2[float,int[]]",false,72,2,1,1,0,4,0,16,4,2,2,0,0,0,0,3,0,0,0,11,2,2,1,0,0,0,33,10,0,true
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,"getGradientStartPoint/2[float,int[]]",false,97,3,3,1,2,3,3,14,2,6,2,3,2,1,0,1,0,1,0,9,8,10,1,0,0,0,36,10,0,true
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setEndPoint/1[com.rnlineargradient.ReadableMap],false,134,3,2,1,1,1,2,4,0,0,1,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,drawGradient/0,false,192,3,10,9,1,6,3,19,1,5,0,3,1,2,0,4,0,2,0,25,8,11,1,0,0,0,19,2,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,"getStartCornerToIntersect/2[float,int[]]",false,47,2,1,1,0,4,0,16,4,2,2,0,0,0,0,0,0,0,0,7,2,2,1,0,0,0,40,10,0,true
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setColors/1[com.rnlineargradient.ReadableArray],false,139,3,2,1,1,3,7,8,0,2,1,7,1,3,1,1,0,0,0,1,4,0,1,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setLocations/1[com.rnlineargradient.ReadableArray],false,151,3,2,1,1,2,3,8,0,2,1,3,1,3,1,0,0,0,0,1,4,0,1,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setUseAngle/1[boolean],false,160,1,2,1,1,1,1,4,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setStartPoint/1[com.rnlineargradient.ReadableMap],false,129,3,2,1,1,1,2,4,0,0,1,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,"onSizeChanged/4[int,int,int,int]",false,186,2,2,0,2,1,2,5,0,0,4,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,onDraw/1[com.rnlineargradient.Canvas],false,253,1,0,0,0,2,3,9,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,4,0,false
D:\laboratorio-02-repositorios-java\.\repositories\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,setAngle/1[float],false,170,1,2,1,1,1,1,4,0,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
