file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-system-api\src\main\java\org\ruoyi\system\domain\bo\SysOssConfigBo.java,org.ruoyi.system.domain.bo.SysOssConfigBo,class,10,13,3,10,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,16,0,0,0,0,0,12,10,0,0,14,0,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-chat\src\main\java\org\ruoyi\common\chat\listener\WebSocketTopicListener.java,org.ruoyi.common.chat.listener.WebSocketTopicListener,class,5,6,1,5,4,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,2,1,0,0,2,4,0,0,2,16,1,2
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\impl\SchemaGroupServiceImpl.java,org.ruoyi.generator.impl.SchemaGroupServiceImpl,class,12,13,1,12,12,1,0,18,0,0.25,0.0,0.0,8,0,6,2,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,40,7,0,0,0,0,0,3,7,0,8,1,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-chat\src\main\java\org\ruoyi\common\chat\config\WebSocketConfig.java,org.ruoyi.common.chat.config.WebSocketConfig,class,12,12,0,12,6,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,4,0,0,0,1,1,0,0,1,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-system-api\src\main\java\org\ruoyi\system\mapper\SysRoleMenuMapper.java,org.ruoyi.system.mapper.SysRoleMenuMapper,interface,2,5,3,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules\ruoyi-generator\src\main\java\org\ruoyi\generator\domain\bo\SchemaGroupBo.java,org.ruoyi.generator.domain.bo.SchemaGroupBo,class,7,10,3,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-system-api\src\main\java\org\ruoyi\system\domain\SysDictData.java,org.ruoyi.system.domain.SysDictData,class,5,9,4,5,1,2,0,1,0,0.9,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,0,0,10,0,0,0,0,0,15,1,0,0,0,0,2,0,0,0,10,0,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-chat-api\src\main\java\org\ruoyi\domain\ChatModel.java,org.ruoyi.domain.ChatModel,class,5,10,5,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,0,0,1,0,0,15,0,0,0,0,0,2,1,1,0,13,0,0,0,0,35,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-system-api\src\main\java\org\ruoyi\system\domain\SysNotice.java,org.ruoyi.system.domain.SysNotice,class,5,10,5,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,6,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-core\src\main\java\org\ruoyi\common\core\utils\file\FileUtils.java,org.ruoyi.common.core.utils.file.FileUtils,class,5,7,2,5,8,2,0,17,4,0.5,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,4,30,5,0,1,0,0,8,1,8,3,8,1,0,0,0,59,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-modules-api\ruoyi-system-api\src\main\java\org\ruoyi\system\domain\bo\ChatConfigBo.java,org.ruoyi.system.domain.bo.ChatConfigBo,class,9,11,2,9,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,7,0,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-chat\src\main\java\org\ruoyi\common\chat\constant\WebSocketConstants.java,org.ruoyi.common.chat.constant.WebSocketConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\ruoyi-ai\ruoyi-common\ruoyi-common-redis\src\main\java\org\ruoyi\common\redis\manager\PlusSpringCacheManager.java,org.ruoyi.common.redis.manager.PlusSpringCacheManager,class,9,12,3,9,25,1,1,22,23,0.71999997,0.0,0.0,10,0,7,2,1,0,8,0,0,0,5,0,0,3,0,2,0,0,4,91,8,1,8,0,0,2,10,25,0,14,2,0,0,0,73,1,0
