file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,of/1[smile.data.SparseArray[]],false,212,3,0,0,0,1,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,nz/0,false,112,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"get/2[int,int]",false,147,2,3,0,3,5,5,6,1,0,2,5,0,0,0,0,0,0,2,2,0,1,1,0,0,0,16,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,nz/1[int],false,121,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,toMatrix/0,false,179,5,6,0,6,3,7,23,1,13,0,7,0,0,2,0,0,0,0,4,14,4,2,0,0,1,25,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"from/2[java.nio.file.Path,int]",false,281,2,1,0,1,4,11,26,1,13,2,11,0,0,2,1,1,0,2,5,14,3,3,0,0,0,102,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,unitize1/0,false,168,1,1,0,1,1,7,7,0,4,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,2,14,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,unitize/0,false,158,1,1,0,1,1,8,7,0,5,0,8,0,0,0,0,0,0,0,0,1,2,1,0,0,3,13,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,from/1[java.nio.file.Path],false,240,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,ncol/0,false,137,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"of/2[smile.data.SparseArray[],int]",false,225,3,0,0,0,1,3,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,9,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,nrow/0,false,129,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"SparseDataset/2[java.util.Collection<smile.data.SampleInstance<smile.data.SparseArray,T>>,int]",true,75,2,0,0,0,6,6,29,0,3,2,6,0,0,2,1,0,0,2,7,8,3,4,0,0,0,25,1,1,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"SparseDataset/1[java.util.Collection<smile.data.SampleInstance<smile.data.SparseArray,T>>]",true,63,1,0,0,0,1,6,3,0,1,1,6,0,0,0,0,0,0,0,2,0,1,0,0,0,1,6,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\interpolation\CubicSplineInterpolation2D.java,smile.interpolation.CubicSplineInterpolation2D,"interpolate/2[double,double]",false,74,2,2,0,2,2,1,7,1,2,2,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,10,1,0,false
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\interpolation\CubicSplineInterpolation2D.java,smile.interpolation.CubicSplineInterpolation2D,"CubicSplineInterpolation2D/3[double[],double[],double[][]]",true,53,2,1,0,1,4,0,15,0,1,3,0,0,0,1,2,0,0,2,2,6,0,1,0,0,0,25,1,0,true
D:\laboratorio-02-repositorios-java\.\repositories\smile\base\src\main\java\smile\interpolation\CubicSplineInterpolation2D.java,smile.interpolation.CubicSplineInterpolation2D,toString/0,false,85,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
