file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,innerclass,3,3,0,3,4,3,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,24,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,class,6,15,9,6,17,1,0,15,0,0.63095236,0.0,0.0,12,0,9,3,0,0,9,0,0,0,7,0,0,7,0,0,3,0,1,65,3,0,3,0,0,2,7,11,7,7,1,0,0,0,45,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\gui\options\binding\OptionBinding.java,net.caffeinemc.mods.sodium.client.gui.options.binding.OptionBinding,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\neoforge\src\main\java\net\caffeinemc\mods\sodium\neoforge\render\ForgeColorProviders.java,net.caffeinemc.mods.sodium.neoforge.render.ForgeColorProviders$ForgeFluidAdapter,innerclass,8,8,0,8,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,10,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\shader\ShaderBindingContext.java,net.caffeinemc.mods.sodium.client.render.chunk.shader.ShaderBindingContext,interface,5,11,6,5,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\util\FlawlessFrames.java,net.caffeinemc.mods.sodium.client.util.FlawlessFrames,class,0,2,2,0,3,1,0,4,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,22,3,0,0,0,0,0,0,3,0,5,2,0,0,2,69,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\api\java\net\caffeinemc\mods\sodium\api\util\ColorMixer.java,net.caffeinemc.mods.sodium.api.util.ColorMixer,class,3,12,9,3,6,1,0,3,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,37,6,0,0,0,92,0,74,19,68,19,0,0,0,0,141,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\terrain\DefaultTerrainRenderPasses.java,net.caffeinemc.mods.sodium.client.render.chunk.terrain.DefaultTerrainRenderPasses,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,17,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\features\options\render_layers\ItemBlockRenderTypesMixin.java,net.caffeinemc.mods.sodium.mixin.features.options.render_layers.ItemBlockRenderTypesMixin,class,7,7,0,7,3,1,0,2,0,0.0,-1.0,-1.0,2,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,0,0,0,8,1,1,0,1,0,0,0,0,25,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\mesh\EncodingFormat.java,net.caffeinemc.mods.sodium.client.render.frapi.mesh.EncodingFormat,class,10,13,3,10,35,1,0,12,210,0.92838526,0.0,0.0,24,23,0,2,0,22,24,0,0,0,64,64,5,46,0,13,64,0,12,159,23,0,6,0,38,3,29,67,47,67,0,0,0,0,106,17,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\boot\java\net\caffeinemc\mods\sodium\client\platform\NativeWindowHandle.java,net.caffeinemc.mods.sodium.client.platform.NativeWindowHandle,interface,0,8,8,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\features\render\particle\SingleQuadParticleMixin.java,net.caffeinemc.mods.sodium.mixin.features.render.particle.SingleQuadParticleMixin,class,16,17,1,16,12,2,0,28,30,0.6666667,0.0,0.0,9,0,1,1,7,0,8,5,0,0,2,2,0,2,0,0,2,0,7,71,2,0,2,1,3,4,7,35,28,31,1,0,0,0,87,1025,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\fabric\src\main\java\net\caffeinemc\mods\sodium\fabric\render\FabricColorProviders.java,net.caffeinemc.mods.sodium.fabric.render.FabricColorProviders,class,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\AbstractBlockRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.AbstractBlockRenderContext$BlockEmitter,innerclass,7,7,0,7,5,3,0,3,6,0.75,0.0,0.0,4,0,4,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,19,1,0,0,0,0,0,0,3,0,1,0,0,0,0,23,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\model\quad\BakedQuadView.java,net.caffeinemc.mods.sodium.client.model.quad.BakedQuadView,interface,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\gl\tessellation\GlTessellation.java,net.caffeinemc.mods.sodium.client.gl.tessellation.GlTessellation,interface,2,9,7,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\model\quad\properties\ModelQuadOrientation.java,net.caffeinemc.mods.sodium.client.model.quad.properties.ModelQuadOrientation,enum,4,6,2,4,10,1,0,1,4,0.5,0.0,0.0,4,2,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,44,9,0,0,0,0,0,24,9,8,9,1,0,0,0,54,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\util\iterator\WrappedIterator.java,net.caffeinemc.mods.sodium.client.util.iterator.WrappedIterator,class,3,5,2,3,6,4,0,3,0,0.25,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,30,3,0,0,2,0,2,0,1,0,1,1,0,1,0,14,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\compile\estimation\LimitedResourceBudget.java,net.caffeinemc.mods.sodium.client.render.chunk.compile.estimation.LimitedResourceBudget,class,1,2,1,1,5,1,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,15,1,0,0,0,0,0,2,4,0,2,0,0,0,0,9,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\features\render\immediate\matrix_stack\VertexConsumerMixin.java,net.caffeinemc.mods.sodium.mixin.features.render.immediate.matrix_stack.VertexConsumerMixin,interface,8,9,1,8,5,1,0,11,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,23,2,0,0,0,0,0,0,11,1,8,1,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\model\color\DefaultColorProviders.java,net.caffeinemc.mods.sodium.client.model.color.DefaultColorProviders$FoliageColorProvider,innerclass,7,7,0,7,2,2,0,1,1,1.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,8,1,0,0,0,0,0,1,1,0,1,0,0,0,0,19,9,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\mesh\MeshImpl.java,net.caffeinemc.mods.sodium.client.render.frapi.mesh.MeshImpl,class,4,5,1,4,2,2,0,1,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,1,9,0,0,0,0,0,0,0,3,0,1,0,0,0,0,29,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\RenderSectionManager.java,net.caffeinemc.mods.sodium.client.render.chunk.RenderSectionManager,class,79,81,2,79,141,1,0,206,758,0.9227941,0.0,0.0,48,1,29,19,0,0,29,0,0,0,34,5,0,34,0,0,21,0,39,582,35,19,42,1,4,9,30,159,11,127,3,0,0,0,250,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\translucent_sorting\trigger\SortTriggering.java,net.caffeinemc.mods.sodium.client.render.chunk.translucent_sorting.trigger.SortTriggering,class,18,25,7,18,28,1,0,36,3,0.68686867,0.0,0.0,11,0,5,4,0,2,7,0,0,0,9,0,0,9,0,0,4,0,2,129,6,0,5,0,0,2,7,24,0,14,3,0,1,0,172,1,0
D:\laboratorio-02-repositorios-java\.\repositories\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\core\gui\LevelLoadStatusManagerMixin.java,net.caffeinemc.mods.sodium.mixin.core.gui.LevelLoadStatusManagerMixin,class,6,6,0,6,1,1,0,4,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,19,1,0
